table_id,row_id,_b_field_and_sex_b_full_path,_b_field_and_sex_b_level_1,_b_field_and_sex_b_level_2,_b_field_and_sex_b_level_3,_b_field_and_sex_b_hierarchy_depth,field_1991_number,field_1991_percent,field_1996_number,field_1996_percent,field_2001_number,field_2001_percent,field_2006_number,field_2006_percent,field_2011_number,field_2011_percent,field_2016_number,field_2016_percent,field_2021_number,field_2021_percent
7521,r001,All fields<sup>a</sup>,All fields<sup>a</sup>,,,1,37530,100.0,42437,100.0,40744,100.0,45620,100.0,48909,100.0,54809,100.0,52250,100.0
7521,r002,All fields<sup>a</sup> -> Male,All fields<sup>a</sup>,Male,,2,23521,62.7,25288,59.6,22780,55.9,25020,54.8,26188,53.5,29572,54.0,28082,53.7
7521,r003,All fields<sup>a</sup> -> Female,All fields<sup>a</sup>,Female,,2,13873,37.0,16956,40.0,17887,43.9,20559,45.1,22699,46.4,25222,46.0,24156,46.2
7521,r004,All fields<sup>a</sup> -> Life sciences<sup>b</sup>,All fields<sup>a</sup>,Life sciences<sup>b</sup>,,2,6967,100.0,8337,100.0,8369,100.0,9703,100.0,11535,100.0,12539,100.0,11814,100.0
7521,r005,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Male,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Male,3,4242,60.9,4688,56.2,4417,52.8,4690,48.3,5243,45.5,5628,44.9,5236,44.3
7521,r006,All fields<sup>a</sup> -> Life sciences<sup>b</sup> -> Female,All fields<sup>a</sup>,Life sciences<sup>b</sup>,Female,3,2701,38.8,3616,43.4,3926,46.9,5006,51.6,6289,54.5,6908,55.1,6576,55.7
7521,r007,All fields<sup>a</sup> -> Physical sciences and earth sciences,All fields<sup>a</sup>,Physical sciences and earth sciences,,2,4406,100.0,4550,100.0,4024,100.0,4686,100.0,5271,100.0,6251,100.0,5757,100.0
7521,r008,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Male,All fields<sup>a</sup>,Physical sciences and earth sciences,Male,3,3545,80.5,3525,77.5,2992,74.4,3321,70.9,3629,68.8,4285,68.5,3737,64.9
7521,r009,All fields<sup>a</sup> -> Physical sciences and earth sciences -> Female,All fields<sup>a</sup>,Physical sciences and earth sciences,Female,3,845,19.2,991,21.8,1026,25.5,1360,29.0,1640,31.1,1963,31.4,2018,35.1
7521,r010,All fields<sup>a</sup> -> Mathematics and computer sciences,All fields<sup>a</sup>,Mathematics and computer sciences,,2,1838,100.0,2042,100.0,1840,100.0,2778,100.0,3273,100.0,3954,100.0,4373,100.0
7521,r011,All fields<sup>a</sup> -> Mathematics and computer sciences -> Male,All fields<sup>a</sup>,Mathematics and computer sciences,Male,3,1514,82.4,1656,81.1,1407,76.5,2074,74.7,2456,75.0,2994,75.7,3230,73.9
7521,r012,All fields<sup>a</sup> -> Mathematics and computer sciences -> Female,All fields<sup>a</sup>,Mathematics and computer sciences,Female,3,316,17.2,370,18.1,431,23.4,704,25.3,813,24.8,959,24.3,1143,26.1
7521,r013,All fields<sup>a</sup> -> Psychology and social sciences,All fields<sup>a</sup>,Psychology and social sciences,,2,6470,100.0,7167,100.0,7151,100.0,7231,100.0,8220,100.0,9037,100.0,8675,100.0
7521,r014,All fields<sup>a</sup> -> Psychology and social sciences -> Male,All fields<sup>a</sup>,Psychology and social sciences,Male,3,3247,50.2,3452,48.2,3234,45.2,3072,42.5,3332,40.5,3741,41.4,3488,40.2
