table_id,row_id,broad_field_of_study_and_primary_source_of_support_full_path,broad_field_of_study_and_primary_source_of_support_level_1,broad_field_of_study_and_primary_source_of_support_level_2,broad_field_of_study_and_primary_source_of_support_level_3,broad_field_of_study_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1770,r001,All fields (number),All fields (number),,,1,49005,26522,22483,32726,16110,2367,98,3075,2213,23468,1074,272,159
1770,r002,All fields (number) -> Teaching assistantships,All fields (number),Teaching assistantships,,2,21.5,21.9,21.1,20.6,23.5,18.3,8.2,18.8,10.8,22.1,19.2,18.4,18.2
1770,r003,All fields (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Research assistantships or traineeships<sup>b</sup>,,2,33.0,38.0,27.1,26.4,46.4,18.8,,33.7,15.0,27.5,25.0,,26.4
1770,r004,"All fields (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),"Fellowships, scholarships, or dissertation grants",,2,25.3,23.6,27.2,27.8,20.1,37.3,37.8,32.0,27.9,26.0,34.2,26.5,24.5
1770,r005,All fields (number) -> Own resources,All fields (number),Own resources,,2,15.2,11.3,19.8,20.7,4.0,21.3,32.7,12.3,41.2,19.8,17.8,30.1,23.3
1770,r006,All fields (number) -> Employer,All fields (number),Employer,,2,2.9,2.7,3.1,4.0,0.6,3.5,,2.8,4.4,4.2,3.0,,6.9
1770,r007,All fields (number) -> Other,All fields (number),Other,,2,2.1,2.5,1.6,0.5,5.4,0.8,0.0,0.4,0.8,0.5,0.9,1.5,0.6
1770,r008,All fields (number) -> Life sciences (number)<sup>c</sup>,All fields (number),Life sciences (number)<sup>c</sup>,,2,11581,5117,6464,8441,3113,621,20,926,539,5947,280,74,34
1770,r009,All fields (number) -> Life sciences (number)<sup>c</sup> -> Teaching assistantships,All fields (number),Life sciences (number)<sup>c</sup>,Teaching assistantships,3,13.4,14.4,12.6,12.3,16.1,8.2,,11.6,5.9,13.5,,8.1,8.8
1770,r010,All fields (number) -> Life sciences (number)<sup>c</sup> -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Life sciences (number)<sup>c</sup>,Research assistantships or traineeships<sup>b</sup>,3,35.9,38.4,34.0,32.9,44.2,25.0,25.0,35.3,23.2,34.3,32.1,28.4,29.4
1770,r011,"All fields (number) -> Life sciences (number)<sup>c</sup> -> Fellowships, scholarships, or dissertation grants",All fields (number),Life sciences (number)<sup>c</sup>,"Fellowships, scholarships, or dissertation grants",3,33.7,33.6,33.9,36.3,26.9,50.6,25.0,40.9,36.5,33.9,40.4,35.1,32.4
1770,r012,All fields (number) -> Life sciences (number)<sup>c</sup> -> Own resources,All fields (number),Life sciences (number)<sup>c</sup>,Own resources,3,11.9,8.6,14.5,14.8,3.9,13.0,,9.3,31.4,14.3,,25.7,20.6
1770,r013,All fields (number) -> Life sciences (number)<sup>c</sup> -> Employer,All fields (number),Life sciences (number)<sup>c</sup>,Employer,3,2.6,2.1,3.0,3.2,1.0,2.6,0.0,2.6,2.6,3.4,2.1,1.4,8.8
1770,r014,All fields (number) -> Life sciences (number)<sup>c</sup> -> Other,All fields (number),Life sciences (number)<sup>c</sup>,Other,3,2.5,3.0,2.1,0.5,7.9,0.6,0.0,0.3,0.4,0.6,0.7,1.4,0.0
1770,r015,All fields (number) -> Physical sciences and earth sciences (number),All fields (number),Physical sciences and earth sciences (number),,2,5775,3832,1943,3560,2201,203,7,340,92,2786,99,19,14
1770,r016,All fields (number) -> Physical sciences and earth sciences (number) -> Teaching assistantships,All fields (number),Physical sciences and earth sciences (number),Teaching assistantships,3,25.4,25.2,25.7,23.5,28.4,18.2,,27.4,,23.3,22.2,21.1,21.4
1770,r017,All fields (number) -> Physical sciences and earth sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Physical sciences and earth sciences (number),Research assistantships or traineeships<sup>b</sup>,3,50.8,53.3,46.0,48.0,55.5,35.5,,,25.0,50.0,39.4,52.6,64.3
1770,r018,"All fields (number) -> Physical sciences and earth sciences (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Physical sciences and earth sciences (number),"Fellowships, scholarships, or dissertation grants",3,18.6,16.0,23.7,22.6,12.1,39.4,,19.1,44.6,20.9,,10.5,14.3
1770,r019,All fields (number) -> Physical sciences and earth sciences (number) -> Own resources,All fields (number),Physical sciences and earth sciences (number),Own resources,3,3.1,3.1,3.1,4.5,0.7,,0.0,5.0,,4.4,5.1,10.5,0.0
1770,r020,All fields (number) -> Physical sciences and earth sciences (number) -> Employer,All fields (number),Physical sciences and earth sciences (number),Employer,3,0.9,1.0,0.7,1.3,0.4,,0.0,,,1.4,,0.0,0.0
1770,r021,All fields (number) -> Physical sciences and earth sciences (number) -> Other,All fields (number),Physical sciences and earth sciences (number),Other,3,1.2,1.4,0.8,0.1,2.9,0.0,0.0,0.3,0.0,0.05,0.0,5.3,0.0
1770,r022,All fields (number) -> Mathematics and computer sciences (number),All fields (number),Mathematics and computer sciences (number),,2,3612,2744,868,1632,1961,89,,220,62,1176,54,,11
