table_id,row_id,sex_and_demographic_characteristic_full_path,sex_and_demographic_characteristic_level_1,sex_and_demographic_characteristic_level_2,sex_and_demographic_characteristic_level_3,sex_and_demographic_characteristic_level_4,sex_and_demographic_characteristic_level_5,sex_and_demographic_characteristic_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3401,r001,Employed scientists and engineers (number),Employed scientists and engineers (number),,,,,1,28627000,2646000,89000,3869000,2065000,82000,19225000,650000
3401,r002,Employed scientists and engineers (number) -> Age (years),Employed scientists and engineers (number),Age (years),,,,2,,,,,,,,
3401,r003,Employed scientists and engineers (number) -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Age (years),29 and younger,,,3,15.7,19.3,12.6,19.0,14.9,11.2,14.5,23.6
3401,r004,Employed scientists and engineers (number) -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Age (years),30&#8211;39,,,3,27.4,30.3,34.5,29.6,27.0,19.0,26.4,34.9
3401,r005,Employed scientists and engineers (number) -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Age (years),40&#8211;49,,,3,23.1,23.7,22.7,27.5,25.5,43.8,21.8,21.9
3401,r006,Employed scientists and engineers (number) -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Age (years),50&#8211;75,,,3,33.7,26.7,30.1,23.9,32.5,26.0,37.4,19.6
3401,r007,Employed scientists and engineers (number) -> Disability status,Employed scientists and engineers (number),Disability status,,,,2,,,,,,,,
3401,r008,Employed scientists and engineers (number) -> Disability status -> Without disability,Employed scientists and engineers (number),Disability status,Without disability,,,3,89.8,86.6,93.6,92.3,88.8,86.4,89.8,90.6
3401,r009,Employed scientists and engineers (number) -> Disability status -> With disability,Employed scientists and engineers (number),Disability status,With disability,,,3,10.2,13.4,6.4,7.7,11.2,13.6,10.2,9.4
3401,r010,Employed scientists and engineers (number) -> Marital status,Employed scientists and engineers (number),Marital status,,,,2,,,,,,,,
3401,r011,Employed scientists and engineers (number) -> Marital status -> Married<sup>b</sup>,Employed scientists and engineers (number),Marital status,Married<sup>b</sup>,,,3,70.6,63.9,61.2,71.7,52.6,69.0,73.7,61.7
3401,r012,Employed scientists and engineers (number) -> Marital status -> Widowed,Employed scientists and engineers (number),Marital status,Widowed,,,3,0.8,0.7,,0.4,0.6,,0.9,0.2
3401,r013,Employed scientists and engineers (number) -> Marital status -> Separated,Employed scientists and engineers (number),Marital status,Separated,,,3,0.8,1.4,,0.6,2.2,,0.6,1.0
3401,r014,Employed scientists and engineers (number) -> Marital status -> Divorced,Employed scientists and engineers (number),Marital status,Divorced,,,3,7.2,8.2,5.6,3.3,10.9,S,7.4,7.9
3401,r015,Employed scientists and engineers (number) -> Marital status -> Never married,Employed scientists and engineers (number),Marital status,Never married,,,3,20.6,25.7,32.7,24.0,33.8,23.5,17.4,29.1
3401,r016,"Employed scientists and engineers (number) -> If married, spouse's employment status",Employed scientists and engineers (number),"If married, spouse's employment status",,,,2,,,,,,,,
3401,r017,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,,,3,78.1,79.0,84.8,74.9,77.8,91.9,78.5,78.2
3401,r018,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed -> Yes, full time",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,"Yes, full time",,4,65.9,68.4,79.2,65.5,65.9,67.2,65.6,66.4
