table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12660,r001,All R&D fields,All R&D fields,,,,1,108681008,59603993,5437566,27654829,6221128,6671012,3092480
12660,r002,All R&D fields -> Science,All R&D fields,Science,,,2,84307571,46947867,3999425,20710669,4729099,5523920,2396591
12660,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,3617348,2417938,92811,746035,184448,102976,73140
12660,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,4032534,2693891,256518,744177,91593,160734,85621
12660,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,723727,583161,19012,89160,8111,14336,9947
12660,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,1488300,921482,75003,336752,50694,61060,43309
12660,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,1365092,891194,130518,237128,21338,62096,22818
12660,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,455415,298054,31985,81137,11450,23242,9547
12660,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,62204360,33896235,3161287,14981678,4118928,4173988,1872244
12660,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,4285689,1458868,1055262,1312589,163362,153390,142218
12660,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,19526385,11753581,605856,4541078,909293,1239276,477301
12660,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,35724571,19390822,1245027,8327824,2967948,2644523,1148427
12660,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,1079516,512675,166015,303113,19284,48391,30038
12660,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1588199,780289,89127,497074,59041,88408,74260
12660,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,1060700,661446,30663,293464,13942,52785,8400
12660,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,6944769,4621763,129636,1520045,216254,302363,154708
12660,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,967125,659781,6716,174140,2870,71341,52277
