table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
3879,r001,All agencies,All agencies,,,,1,2753554.0,17523.2,52740.1,2683290.7
3879,r002,All agencies -> Departments,All agencies,Departments,,,2,,,,
3879,r003,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,3,86.6,86.6,0.0,0.0
3879,r004,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,4,86.6,86.6,0.0,0.0
3879,r005,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,3,103516.1,4929.4,13497.3,85089.4
3879,r006,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,4,1198.6,0.0,386.7,811.8
3879,r007,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,4,72836.5,0.0,0.0,72836.5
3879,r008,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,4,24961.6,3049.3,11230.3,10681.9
3879,r009,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,4,4519.5,1880.1,1880.2,759.2
3879,r010,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,3,2430121.6,417.0,7382.5,2422322.1
3879,r011,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,4,7799.5,417.0,7382.5,0.0
3879,r012,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,4,2422322.1,0.0,0.0,2422322.1
3879,r013,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,3,57.2,0.0,0.0,57.2
3879,r014,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,4,57.2,0.0,0.0,57.2
3879,r015,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,3,4160.2,942.3,2668.7,549.3
3879,r016,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,4,4160.2,942.3,2668.7,549.3
3879,r017,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,3,21745.8,0.0,21745.8,0.0
3879,r018,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,4,21745.8,0.0,21745.8,0.0
3879,r019,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,3,157624.3,0.0,0.0,157624.3
3879,r020,All agencies -> Other agencies,All agencies,Other agencies,,,2,,,,
3879,r021,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,3,36242.3,11148.0,7445.9,17648.4
