table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_assets_total,field_worldwide_assets_property_plant_and_equipment,field_worldwide_assets_goodwill,field_worldwide_assets_identifiable_intangible_assets,field_accumulated_depreciation_and_amortization_total,field_accumulated_depreciation_and_amortization_property_plant_and_equipment,field_accumulated_depreciation_and_amortization_identifiable_intangible_assets,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_total,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_property_plant_and_equipment,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_goodwill,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_identifiable_intangible_assets,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_total,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_property_plant_and_equipment,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_goodwill,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_identifiable_intangible_assets
12327,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['446,123', '  ']","['333,052', '  ']","['73,148', '  ']","['39,923', '  ']","['221,821', '  ']","['201,321', '  ']","['20,500', '  ']","['6,863', '  ']","['2,540', '  ']","['3,966', '  ']","['357', '  ']","['1,696', '  ']","['820', '  ']","['507', '  ']","['370', '  ']"
12327,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['88,324', '  ']","['61,499', '  ']","['17,028', '  ']","['9,797', '  ']","['89,894', '  ']","['81,814', '  ']","['8,080', '  ']","['1,122', '  ']","['226', '  ']","['856', '  ']","['40', '  ']","['2,431', '  ']","['2,092', '  ']","['55', '  ']","['284', '  ']"
12327,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['48,971', '  ']","['20,591', '  ']","['17,137', '  ']","['11,243', '  ']","['29,395', '  ']","['24,065', '  ']","['5,330', '  ']","['3,108', '  ']","['1,956', '  ']","['761', '  ']","['391', '  ']","['740', '  ']","['108', '  ']","['395', '  ']","['237', '  ']"
12327,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,053,913', '  ']","['218,609', '  ']","['367,756', '  ']","['467,548', '  ']","['535,133', '  ']","['173,139', '  ']","['361,994', '  ']","['40,725', '  ']","['20,722', 'r ']","['4,586', '  ']","['15,417', '  ']","['80,146', '  ']","['11,855', '  ']","['17,819', '  ']","['50,472', '  ']"
12327,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['173,171', '  ']","['50,673', '  ']","['75,314', '  ']","['47,183', '  ']","['80,600', '  ']","['64,357', '  ']","['16,243', '  ']","['828', '  ']","['484', '  ']","['1', '  ']","['342', '  ']","['2,121', '  ']","['78', '  ']","['1,127', '  ']","['916', '  ']"
12327,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['64,143', '  ']","['22,580', '  ']","['27,804', '  ']","['13,759', '  ']","['34,116', '  ']","['25,736', '  ']","['8,381', '  ']","['2,137', '  ']","['387', '  ']","['57', '  ']","['1,694', '  ']","['2,125', '  ']","['245', '  ']","['1,077', '  ']","['804', '  ']"
12327,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['214,791', '  ']","['132,364', '  ']","['54,759', '  ']","['27,668', '  ']","['130,116', '  ']","['115,697', '  ']","['14,419', '  ']","['7,717', 'i ']","['4,234', 'i ']","['3,001', 'i ']","['481', 'i ']","['10,732', '  ']","['3,802', '  ']","['3,814', '  ']","['3,116', '  ']"
12327,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['89,079', '  ']","['63,803', '  ']","['15,374', '  ']","['9,902', '  ']","['49,492', '  ']","['46,626', '  ']","['2,866', '  ']","['2,225', '  ']","['2,103', '  ']","['44', '  ']","['77', '  ']","['4,039', '  ']","['1,127', '  ']","['1,490', '  ']","['1,422', '  ']"
12327,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['82,680', '  ']","['61,651', '  ']","['11,149', '  ']","['9,880', '  ']","['60,051', '  ']","['55,670', '  ']","['4,382', '  ']","['5,683', 'i ']","['3,450', 'i ']","['962', 'i ']","['1,271', '  ']","['2,866', '  ']","['1,280', '  ']","['1,512', '  ']","['74', '  ']"
12327,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['103,230', '  ']","['59,372', '  ']","['30,557', '  ']","['13,302', '  ']","['61,725', '  ']","['55,832', '  ']","['5,894', '  ']","['2,012', '  ']","['1,771', '  ']","['191', '  ']","['50', '  ']","['7,396', '  ']","['2,997', '  ']","['2,728', '  ']","['1,672', '  ']"
