table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_assets_total,field_worldwide_assets_property_plant_and_equipment,field_worldwide_assets_goodwill,field_worldwide_assets_identifiable_intangible_assets,field_accumulated_depreciation_and_amortization_total,field_accumulated_depreciation_and_amortization_property_plant_and_equipment,field_accumulated_depreciation_and_amortization_identifiable_intangible_assets,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_total,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_property_plant_and_equipment,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_goodwill,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_identifiable_intangible_assets,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_total,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_property_plant_and_equipment,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_goodwill,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_identifiable_intangible_assets
12327,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['7,493,893', '  ']","['3,856,501', '  ']","['2,271,378', '  ']","['1,366,014', '  ']","['2,916,583', '  ']","['2,467,249', '  ']","['449,334', '  ']","['178,062', '  ']","['68,801', '  ']","['90,224', '  ']","['19,037', '  ']","['295,621', '  ']","['12,471', '  ']","['179,992', '  ']","['103,158', '  ']"
12327,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['515,315', '  ']","['503,149', '  ']","['7,742', '  ']","['4,423', '  ']","['368,434', '  ']","['365,929', '  ']","['2,505', '  ']","['4,024', 'i ']","['3,924', 'i ']","['77', 'i ']","['24', 'i ']","['2,409', '  ']","['2,068', '  ']","['D', '  ']","['D', '&nbsp;']"
12327,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['1,474,048', '  ']","['1,373,964', '  ']","['86,878', '  ']","['13,206', '  ']","['477,041', '  ']","['471,570', '  ']","['5,471', '  ']","['11,811', '  ']","['10,372', '  ']","['430', '  ']","['1,009', '  ']","['3,678', '  ']","['2,101', '  ']","['284', '  ']","['1,292', '  ']"
12327,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['136,600', 'i ']","['67,285', 'i ']","['50,938', 'i ']","['18,377', 'i ']","['81,062', 'i ']","['73,031', 'i ']","['8,031', 'i ']","['2,999', 'i ']","['2,627', 'i ']","['236', 'i ']","['135', 'i ']","['7,071', 'i ']","['1,940', '  ']","['3,382', 'i ']","['1,750', 'i ']"
12327,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['249,083', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['118,498', '  ']","['112,593', '  ']","['5,905', '  ']","['3,081', '  ']","['1,813', '  ']","['1,264', '  ']","['4', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']"
12327,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['300,770', '  ']","['238,271', '  ']","['48,916', '  ']","['13,583', '  ']","['147,882', '  ']","['138,068', '  ']","['9,814', '  ']","['5,946', '  ']","['4,871', '  ']","['875', '  ']","['201', '  ']","['5,293', '  ']","['182', '  ']","['3,500', '  ']","['1,612', '  ']"
12327,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,127,735', '  ']","['977,414', '  ']","['1,154,958', '  ']","['995,363', '  ']","['1,183,015', '  ']","['931,807', '  ']","['251,208', '  ']","['84,822', '  ']","['21,471', '  ']","['57,256', '  ']","['6,094', '  ']","['219,373', '  ']","['3,508', '  ']","['132,761', '  ']","['83,103', '  ']"
12327,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['631,104', '  ']","['174,216', '  ']","['333,066', '  ']","['123,822', '  ']","['202,063', '  ']","['122,312', '  ']","['79,751', '  ']","['7,297', '  ']","['3,980', '  ']","['D', '  ']","['D', '  ']","['105,181', '  ']","['1,325', '  ']","['68,048', '  ']","['35,807', '  ']"
12327,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['1,208', '  ']","['164', '  ']","['981', '  ']","['62', '  ']","['653', '  ']","['221', '  ']","['432', '  ']","['11', '  ']","['6', '  ']","['0', '  ']","['5', 'r ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12327,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['629,896', '  ']","['174,051', '  ']","['332,086', '  ']","['123,759', '  ']","['201,410', '  ']","['122,091', '  ']","['79,319', '  ']","['7,286', '  ']","['3,974', '  ']","['D', '  ']","['D', '  ']","['105,181', '  ']","['1,325', '  ']","['68,048', '  ']","['35,807', '  ']"
12327,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['1,107,759', '  ']","['391,905', '  ']","['166,228', '  ']","['549,626', '  ']","['611,034', '  ']","['559,847', '  ']","['51,187', '  ']","['36,740', '  ']","['11,280', '  ']","['25,273', '  ']","['187', '  ']","['18,255', '  ']","['D', '  ']","['D', '&nbsp;']","['15,910', '  ']"
12327,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['753,062', '  ']","['86,088', '  ']","['499,959', '  ']","['167,016', '  ']","['180,381', '  ']","['95,099', '  ']","['85,281', '  ']","['11,696', '  ']","['1,681', '  ']","['6,928', '  ']","['3,088', '  ']","['38,800', '  ']","['446', '  ']","['20,047', '  ']","['18,306', '  ']"
12327,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['635,810', '  ']","['325,205', '  ']","['155,705', '  ']","['154,900', '  ']","['189,537', '  ']","['154,549', '  ']","['34,988', '  ']","['29,088', '  ']","['4,530', '  ']","['D', '  ']","['D', '  ']","['57,138', '  ']","['D', '  ']","['D', '  ']","['13,081', '  ']"
12327,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['604,127', '  ']","['99,058', '  ']","['405,027', '  ']","['100,041', '  ']","['142,762', '  ']","['98,368', '  ']","['44,394', '  ']","['32,890', '  ']","['9,017', '  ']","['22,056', '  ']","['1,816', 'i ']","['16,440', '  ']","['1,363', '  ']","['12,135', '  ']","['2,943', '  ']"
12327,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['46,510', '  ']","['39,442', '  ']","['5,235', '  ']","['1,833', '  ']","['21,307', '  ']","['20,729', '  ']","['577', '  ']","['2,105', 'i ']","['1,623', 'i ']","['185', 'i ']","['298', 'i ']","['164', '  ']","['D', '  ']","['102', '  ']","['D', '  ']"
12327,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['628', 'i ']","['162', 'i ']","['18', 'i ']","['448', 'i ']","['157', 'i ']","['118', 'i ']","['39', 'i ']","['3', 'i ']","['2', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12327,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['45,881', '  ']","['39,280', '  ']","['5,216', '  ']","['1,385', '  ']","['21,149', '  ']","['20,611', '  ']","['538', '  ']","['2,103', 'i ']","['1,620', 'i ']","['185', 'i ']","['297', 'i ']","['164', '  ']","['D', '  ']","['102', '  ']","['D', '  ']"
12327,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['641,580', '  ']","['118,872', '  ']","['377,052', '  ']","['145,656', '  ']","['238,560', '  ']","['140,512', '  ']","['98,049', '  ']","['15,183', '  ']","['4,966', '  ']","['5,929', '  ']","['4,289', '  ']","['30,553', '  ']","['595', '  ']","['19,232', '  ']","['10,727', '  ']"
12327,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['37,004', '  ']","['18,837', '  ']","['11,813', '  ']","['6,355', '  ']","['22,837', '  ']","['19,976', '  ']","['2,862', '  ']","['1,511', '  ']","['1,218', '  ']","['59', '  ']","['234', 'i ']","['599', '  ']","['165', '  ']","['350', '  ']","['85', '  ']"
12327,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['293,782', '  ']","['46,594', '  ']","['190,160', '  ']","['57,029', '  ']","['100,232', '  ']","['73,115', '  ']","['27,117', '  ']","['6,657', '  ']","['2,182', '  ']","['2,374', '  ']","['2,101', '  ']","['15,563', '  ']","['78', '  ']","['10,284', '  ']","['5,200', '  ']"
12327,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['201,470', '  ']","['38,433', '  ']","['113,069', '  ']","['49,968', '  ']","['62,219', '  ']","['29,533', '  ']","['32,686', '  ']","['4,660', '  ']","['864', 'i ']","['2,384', '  ']","['1,412', '  ']","['10,009', '  ']","['248', '  ']","['5,727', '  ']","['4,034', '  ']"
12327,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['428', '  ']","['334', '  ']","['6', '  ']","['88', '  ']","['162', '  ']","['156', '  ']","['7', '  ']","['10', '  ']","['9', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
12327,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['48,016', '  ']","['11,070', '  ']","['23,260', '  ']","['13,686', '  ']","['9,014', '  ']","['5,578', '  ']","['3,437', '  ']","['2,028', '  ']","['231', '  ']","['413', '  ']","['1,383', '  ']","['6,555', '  ']","['34', '  ']","['3,736', '  ']","['2,784', '  ']"
12327,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['152,748', '  ']","['26,877', '  ']","['89,694', '  ']","['36,177', '  ']","['52,834', '  ']","['23,637', '  ']","['29,197', '  ']","['2,208', '  ']","['210', '  ']","['1,970', '  ']","['28', '  ']","['3,428', '  ']","['212', '  ']","['1,970', '  ']","['1,247', '  ']"
12327,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['278', '  ']","['153', '  ']","['108', '  ']","['17', '  ']","['209', '  ']","['162', '  ']","['46', '  ']","['414', 'i ']","['414', 'i ']","['0', '  ']","['0', '  ']","['25', 'i ']","['2', 'i ']","['21', 'i ']","['2', 'i ']"
12327,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['109,324', '  ']","['15,009', '  ']","['62,011', '  ']","['32,304', '  ']","['53,272', 'i ']","['17,888', '  ']","['35,384', 'i ']","['2,355', '  ']","['701', '  ']","['1,112', '  ']","['542', '  ']","['4,383', '  ']","['103', '  ']","['2,871', '  ']","['1,409', '  ']"
12327,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['55,247', '  ']","['14,806', '  ']","['31,732', '  ']","['8,710', '  ']","['20,611', '  ']","['14,764', '  ']","['5,847', '  ']","['1,250', '  ']","['432', '  ']","['744', '  ']","['73', '  ']","['1,595', '  ']","['182', '  ']","['1,208', '  ']","['205', '  ']"
12327,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['342,878', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['117,410', '  ']","['99,877', '  ']","['17,533', '  ']","['13,951', '  ']","['7,685', 'i ']","['1,172', '  ']","['5,095', '  ']","['D', '  ']","['468', '  ']","['D', '  ']","['D', '  ']"
12327,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['14,106,170', '  ']","['6,714,274', '  ']","['4,494,155', '  ']","['2,897,741', '  ']","['6,496,309', '  ']","['5,161,964', '  ']","['1,334,345', '  ']","['359,245', '  ']","['165,981', '  ']","['129,126', '  ']","['64,138', '  ']","['583,517', '  ']","['71,503', '  ']","['303,550', '  ']","['208,465', '  ']"
12327,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12327,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['34,938', '  ']","['17,169', '  ']","['12,206', 'r ']","['5,563', '  ']","['24,871', '  ']","['22,934', '  ']","['1,936', '  ']","['518', 'i ']","['320', '  ']","['113', 'i ']","['85', 'i ']","['106', '  ']","['73', '  ']","['17', '  ']","['16', '  ']"
12327,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['77,578', '  ']","['43,671', '  ']","['15,732', '  ']","['18,175', '  ']","['60,346', '  ']","['53,949', '  ']","['6,397', '  ']","['2,333', '  ']","['935', 'i ']","['444', 'i ']","['954', 'r ']","['2,639', '  ']","['1,064', '  ']","['1,052', 'r ']","['523', '  ']"
12327,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12327,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['93,554', '  ']","['50,229', '  ']","['22,698', '  ']","['20,627', '  ']","['73,891', '  ']","['62,063', '  ']","['11,828', '  ']","['2,882', 'i ']","['1,835', '  ']","['448', 'i ']","['600', '  ']","['6,641', '  ']","['3,446', '  ']","['2,120', '  ']","['1,075', '  ']"
12327,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['229,651', '  ']","['115,079', '  ']","['62,295', '  ']","['52,278', '  ']","['120,050', '  ']","['99,277', '  ']","['20,773', '  ']","['23,445', 'r ']","['19,789', 'r ']","['2,127', '  ']","['1,528', 'i ']","['17,901', '  ']","['1,438', '  ']","['13,971', '  ']","['2,491', '  ']"
12327,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12327,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['266,768', '  ']","['122,816', '  ']","['89,006', '  ']","['54,945', '  ']","['120,737', '  ']","['94,146', '  ']","['26,592', '  ']","['8,170', '  ']","['4,124', '  ']","['2,683', '  ']","['1,363', '  ']","['34,543', '  ']","['2,798', '  ']","['21,935', '  ']","['9,809', '  ']"
12327,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['451,930', '  ']","['169,043', '  ']","['176,823', '  ']","['106,064', '  ']","['162,480', '  ']","['122,276', '  ']","['40,204', '  ']","['13,007', '  ']","['4,990', '  ']","['2,682', '  ']","['5,336', '  ']","['23,790', '  ']","['3,874', '  ']","['13,178', '  ']","['6,738', '  ']"
12327,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['2,156,999', '  ']","['917,326', '  ']","['758,105', '  ']","['481,568', '  ']","['831,071', '  ']","['579,550', '  ']","['251,522', '  ']","['85,506', '  ']","['29,674', '  ']","['43,551', '  ']","['12,281', '  ']","['196,757', '  ']","['10,759', '  ']","['109,800', '  ']","['76,198', '  ']"
12327,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['1,645,590', '  ']","['914,174', '  ']","['457,559', '  ']","['273,858', '  ']","['742,661', '  ']","['628,210', '  ']","['114,452', '  ']","['38,950', '  ']","['22,649', '  ']","['13,698', '  ']","['2,603', '  ']","['53,881', '  ']","['4,686', '  ']","['39,571', '  ']","['9,623', '  ']"
12327,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['3,580,719', '  ']","['1,932,275', '  ']","['999,333', '  ']","['649,112', '  ']","['1,795,906', '  ']","['1,429,274', '  ']","['366,632', '  ']","['78,041', '  ']","['27,827', '  ']","['31,442', '  ']","['18,772', '  ']","['107,858', '  ']","['36,728', '  ']","['35,436', '  ']","['35,695', '  ']"
12327,r087,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['5,568,442', '  ']","['2,432,492', '  ']","['1,900,399', '  ']","['1,235,551', '  ']","['2,564,296', '  ']","['2,070,285', '  ']","['494,010', '  ']","['106,392', '  ']","['53,838', '  ']","['31,936', '  ']","['20,617', '  ']","['139,402', '  ']","['6,637', '  ']","['66,468', '  ']","['66,297', '  ']"
