table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_designed_goods_that_were_contracted_out_number_yes,field_designed_goods_that_were_contracted_out_number_no,field_designed_goods_that_were_contracted_out_percent_yes,field_designed_goods_that_were_contracted_out_percent_no
11272,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['169,829', '&nbsp;']","['100,089', '&nbsp;']","['69,740', '&nbsp;']","['59.0', '&nbsp;']","['41.0', '&nbsp;']"
11272,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['32,557', '&nbsp;']","['19,726', '&nbsp;']","['12,831', '&nbsp;']","['60.6', '&nbsp;']","['39.4', '&nbsp;']"
11272,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,571', '&nbsp;']","['809', '&nbsp;']","['762', '&nbsp;']","['51.5', '&nbsp;']","['48.5', '&nbsp;']"
11272,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,100', '&nbsp;']","['609', '&nbsp;']","['491', '&nbsp;']","['55.4', '&nbsp;']","['44.6', '&nbsp;']"
11272,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['2,042', '&nbsp;']","['1,418', '&nbsp;']","['624', '&nbsp;']","['69.4', '&nbsp;']","['30.6', '&nbsp;']"
11272,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['622', '&nbsp;']","['319', '&nbsp;']","['303', '&nbsp;']","['51.3', '&nbsp;']","['48.7', '&nbsp;']"
11272,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['187', '&nbsp;']","['99', '&nbsp;']","['88', '&nbsp;']","['52.9', '&nbsp;']","['47.1', '&nbsp;']"
11272,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3,897', '&nbsp;']","['2,229', '&nbsp;']","['1,668', '&nbsp;']","['57.2', '&nbsp;']","['42.8', '&nbsp;']"
11272,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['8', 'r']","['S', '&nbsp;']","['S', '&nbsp;']","['S', 'r']","['S', '&nbsp;']"
11272,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,231', '&nbsp;']","['764', '&nbsp;']","['467', '&nbsp;']","['62.1', '&nbsp;']","['37.9', '&nbsp;']"
11272,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['121', '&nbsp;']","['33', '&nbsp;']","['88', 'r']","['27.3', 'r']","['72.7', '&nbsp;']"
11272,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['284', '&nbsp;']","['192', '&nbsp;']","['92', '&nbsp;']","['67.6', '&nbsp;']","['32.4', '&nbsp;']"
11272,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['247', '&nbsp;']","['181', '&nbsp;']","['66', '&nbsp;']","['73.3', '&nbsp;']","['26.7', '&nbsp;']"
11272,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['579', '&nbsp;']","['358', '&nbsp;']","['221', '&nbsp;']","['61.8', '&nbsp;']","['38.2', '&nbsp;']"
11272,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['967', '&nbsp;']","['526', '&nbsp;']","['441', '&nbsp;']","['54.4', '&nbsp;']","['45.6', '&nbsp;']"
11272,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['481', '&nbsp;']","['356', '&nbsp;']","['125', '&nbsp;']","['74.0', '&nbsp;']","['26.0', '&nbsp;']"
11272,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['432', '&nbsp;']","['212', '&nbsp;']","['220', '&nbsp;']","['49.1', '&nbsp;']","['50.9', '&nbsp;']"
