table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
7398,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['14,878', '&nbsp;']","['5,218,911', '&nbsp;']","['9,384', '&nbsp;']","['2,350,322', '&nbsp;']","['5,495', '&nbsp;']","['2,868,589', '&nbsp;']"
7398,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,573', '&nbsp;']","['622,220', '&nbsp;']","['877', '&nbsp;']","['271,171', '&nbsp;']","['697', '&nbsp;']","['351,049', '&nbsp;']"
7398,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['29', '&nbsp;']","['5,896', '&nbsp;']","['16', 'r']","['4,038', 'r']","['13', '&nbsp;']","['1,858', 'r']"
7398,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['3', 'r']","['236', 'r']","['3', 'r']","['236', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7398,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['2', 'r']","['4,065', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'r']","['4,065', 'r']"
7398,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7398,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['4', '&nbsp;']","['555', '&nbsp;']","['2', 'r']","['141', 'r']","['2', '&nbsp;']","['414', '&nbsp;']"
7398,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7398,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['321', '&nbsp;']","['178,170', '&nbsp;']","['212', '&nbsp;']","['87,050', '&nbsp;']","['110', '&nbsp;']","['91,119', '&nbsp;']"
7398,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['163', '&nbsp;']","['117,508', '&nbsp;']","['105', '&nbsp;']","['56,251', '&nbsp;']","['57', '&nbsp;']","['61,258', '&nbsp;']"
