table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013
10886,r001,All fields,All fields,,,1,51072,53358,53738,53536,54094,53894,63692,63728,58065,61986,59533
10886,r002,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,2672,2949,2983,2815,2946,3047,3612,3412,3374,3528,3427
10886,r003,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,2053,2145,2157,1988,2078,2053,2422,2362,2192,2392,2362
10886,r004,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,453,618,687,669,709,783,928,835,892,925,864
10886,r005,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,167,187,140,158,159,211,262,214,291,210,201
10886,r006,All fields -> Engineering,All fields,Engineering,,2,8405,8866,8553,8679,8990,8976,10285,11081,10057,11403,10948
10886,r007,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,1732,1641,1276,1229,929,810,908,830,845,1815,1842
10886,r008,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,702,665,494,476,341,288,370,390,410,690,737
10886,r009,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,328,319,284,295,354,346,447,510,475,350,419
10886,r010,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,340,330,279,353,462,488,679,700,617,514,447
10886,r011,All fields -> Engineering -> Electrical engineering,All fields,Engineering,Electrical engineering,3,950,891,1033,1035,1027,1046,1254,1361,1235,1325,1163
10886,r012,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,298,302,324,298,337,292,314,364,310,372,549
10886,r013,All fields -> Engineering -> Metallurgy and materials engineering,All fields,Engineering,Metallurgy and materials engineering,3,1084,1037,1184,1250,1480,1624,1722,1759,1621,1699,1729
10886,r014,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,2971,3682,3678,3742,4060,4081,4591,5168,4544,4639,4062
10886,r015,All fields -> Environmental sciences,All fields,Environmental sciences,,2,3741,3742,3503,3431,3170,2985,3751,3339,3207,3884,4041
10886,r016,All fields -> Environmental sciences -> Atmospheric sciences,All fields,Environmental sciences,Atmospheric sciences,3,1259,1260,1185,1167,965,884,1018,954,954,1469,1542
10886,r017,All fields -> Environmental sciences -> Geological sciences,All fields,Environmental sciences,Geological sciences,3,725,704,674,654,638,517,754,530,598,726,627
10886,r018,All fields -> Environmental sciences -> Oceanography,All fields,Environmental sciences,Oceanography,3,846,809,772,746,788,789,834,744,724,814,788
10886,r019,All fields -> Environmental sciences -> Other environmental sciences,All fields,Environmental sciences,Other environmental sciences,3,910,968,872,864,780,794,1145,1111,932,876,1084
10886,r020,All fields -> Life sciences,All fields,Life sciences,,2,27772,27728,28128,27928,29464,28919,33267,33909,29450,31006,29663
10886,r021,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,1046,1087,1094,1108,1139,1020,1120,1132,1085,943,903
10886,r022,All fields -> Life sciences -> Biological sciences (excluding environmental biology),All fields,Life sciences,Biological sciences (excluding environmental biology),3,18643,13092,13352,13691,14430,14443,17377,17214,15178,15458,14588
10886,r023,All fields -> Life sciences -> Environmental biology,All fields,Life sciences,Environmental biology,3,718,670,699,687,757,858,964,816,855,797,782
10886,r024,All fields -> Life sciences -> Medical sciences,All fields,Life sciences,Medical sciences,3,6160,10899,10862,10592,10791,10387,11393,11677,10202,11078,10917
10886,r025,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1205,1981,2121,1850,2347,2210,2414,3070,2129,2730,2472
10886,r026,All fields -> Physical sciences,All fields,Physical sciences,,2,5022,5211,5494,5351,5136,5073,5821,5871,5427,6408,6282
10886,r027,All fields -> Physical sciences -> Astronomy,All fields,Physical sciences,Astronomy,3,872,921,885,792,656,528,672,560,555,1099,1147
10886,r028,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,1138,1191,1198,1126,1150,1148,1274,1311,1106,1103,982
10886,r029,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,2500,2599,3041,3002,2939,2969,3356,3470,3269,3708,3482
10886,r030,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,512,501,370,430,391,427,520,530,496,497,671
10886,r031,All fields -> Psychology,All fields,Psychology,,2,1104,1855,1892,1747,1838,1741,2086,2156,1887,2087,1935
10886,r032,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,23,6,2,3,4,22,2,14,16,14,14
10886,r033,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,51,52,47,41,37,19,51,75,54,62,65
10886,r034,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1031,1797,1843,1703,1797,1700,2033,2067,1816,2011,1856
10886,r035,All fields -> Social sciences,All fields,Social sciences,,2,1026,1090,1097,1124,1147,977,1157,1197,1262,1125,1237
10886,r036,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,15,15,18,15,16,17,29,25,26,30,26
10886,r037,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,234,205,216,203,250,212,230,274,399,344,333
10886,r038,All fields -> Social sciences -> Political science,All fields,Social sciences,Political science,3,19,19,33,45,41,29,25,14,12,13,11
10886,r039,All fields -> Social sciences -> Sociology,All fields,Social sciences,Sociology,3,125,120,70,144,218,95,139,132,133,155,137
10886,r040,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,634,731,760,717,622,623,734,752,693,583,730
10886,r041,All fields -> Other sciences nec,All fields,Other sciences nec,,2,1329,1916,2089,2461,1403,2177,3713,2763,3401,2546,1999
