table_id,row_id,major_field_of_study_full_path,major_field_of_study_level_1,major_field_of_study_level_2,major_field_of_study_level_3,major_field_of_study_hierarchy_depth,field_all_undergraduates,field_without_disability,field_with_disability
1292,r001,All fields (number),All fields (number),,,1,18489900,14889300,3600600
1292,r002,All fields,All fields,,,1,,,
1292,r003,All fields -> S&E,All fields,S&E,,2,,,
1292,r004,All fields -> S&E -> Computer and information sciences,All fields,S&E,Computer and information sciences,3,4.68,4.47,5.54
1292,r005,All fields -> S&E -> Engineering,All fields,S&E,Engineering,3,6.27,6.42,5.66
1292,r006,All fields -> S&E -> Life sciences,All fields,S&E,Life sciences,3,7.72,7.83,7.26
1292,r007,All fields -> S&E -> Mathematics,All fields,S&E,Mathematics,3,0.64,0.67,0.51
1292,r008,All fields -> S&E -> Physical sciences,All fields,S&E,Physical sciences,3,1.16,1.22,0.92
1292,r009,All fields -> S&E -> Social and behavioral sciences,All fields,S&E,Social and behavioral sciences,3,7.21,7.0,8.08
1292,r010,All fields -> Non-S&E,All fields,Non-S&E,,2,,,
1292,r011,All fields -> Non-S&E -> Business or management,All fields,Non-S&E,Business or management,3,16.26,16.6,14.82
1292,r012,All fields -> Non-S&E -> Education,All fields,Non-S&E,Education,3,4.61,4.7,4.21
1292,r013,All fields -> Non-S&E -> Health,All fields,Non-S&E,Health,3,18.9,19.15,17.83
1292,r014,All fields -> Non-S&E -> Humanities,All fields,Non-S&E,Humanities,3,16.74,16.31,18.54
1292,r015,All fields -> Non-S&E -> Other ,All fields,Non-S&E,Other ,3,15.82,15.62,16.64
