table_id,row_id,occupation_and_employment_status_full_path,occupation_and_employment_status_level_1,occupation_and_employment_status_level_2,occupation_and_employment_status_level_3,occupation_and_employment_status_level_4,occupation_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_male_number,field_male_se,field_female_number,field_female_se
3698,r001,All occupations,All occupations,,,,1,1008750,1475,644550,1400,364200,1025
3698,r002,All occupations -> Full time,All occupations,Full time,,,2,763350,2000,496700,1925,266650,1325
3698,r003,All occupations -> Part time,All occupations,Part time,,,2,93900,1525,49350,1275,44550,925
3698,r004,All occupations -> Unemployed<sup>a</sup>,All occupations,Unemployed<sup>a</sup>,,,2,14100,650,8500,575,5600,350
3698,r005,All occupations -> Retired,All occupations,Retired,,,2,120000,1400,84700,1275,35300,650
3698,r006,All occupations -> Not employed or not seeking work<sup>b</sup>,All occupations,Not employed or not seeking work<sup>b</sup>,,,2,17450,625,5300,375,12100,475
3698,r007,All occupations -> Science occupations&#160;,All occupations,Science occupations&#160;,,,2,578050,2425,358950,2050,219100,1350
3698,r008,All occupations -> Science occupations&#160; -> Full time,All occupations,Science occupations&#160;,Full time,,3,438250,2325,275700,1975,162550,1300
3698,r009,All occupations -> Science occupations&#160; -> Part time,All occupations,Science occupations&#160;,Part time,,3,54500,1225,28350,925,26150,750
3698,r010,All occupations -> Science occupations&#160; -> Unemployed<sup>a</sup>,All occupations,Science occupations&#160;,Unemployed<sup>a</sup>,,3,7250,425,4050,350,3200,250
3698,r011,All occupations -> Science occupations&#160; -> Retired,All occupations,Science occupations&#160;,Retired,,3,67750,1125,47950,1025,19750,550
3698,r012,All occupations -> Science occupations&#160; -> Not employed or not seeking work<sup>b</sup>,All occupations,Science occupations&#160;,Not employed or not seeking work<sup>b</sup>,,3,10300,450,2850,275,7450,375
3698,r013,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160;",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",,3,183050,1625,106250,1275,76850,975
3698,r014,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Full time",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Full time,4,145900,1575,83650,1225,62250,950
3698,r015,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Part time",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Part time,4,10750,525,6350,450,4400,275
3698,r016,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Unemployed<sup>a</sup>",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Unemployed<sup>a</sup>,4,2950,300,1700,250,1250,150
3698,r017,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Retired",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Retired,4,19650,725,13600,600,6050,325
3698,r018,"All occupations -> Science occupations&#160; -> Biological, agricultural, and other life scientist&#160; -> Not employed or not seeking work<sup>b</sup>",All occupations,Science occupations&#160;,"Biological, agricultural, and other life scientist&#160;",Not employed or not seeking work<sup>b</sup>,4,3750,275,900,150,2850,225
3698,r019,All occupations -> Science occupations&#160; -> Computer and information scientist&#160;,All occupations,Science occupations&#160;,Computer and information scientist&#160;,,3,71350,1075,59100,1000,12250,475
3698,r020,All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Full time,All occupations,Science occupations&#160;,Computer and information scientist&#160;,Full time,4,59750,1075,50200,1000,9550,450
3698,r021,All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Part time,All occupations,Science occupations&#160;,Computer and information scientist&#160;,Part time,4,3250,350,2450,300,750,125
3698,r022,All occupations -> Science occupations&#160; -> Computer and information scientist&#160; -> Unemployed<sup>a</sup>,All occupations,Science occupations&#160;,Computer and information scientist&#160;,Unemployed<sup>a</sup>,4,750,125,550,100,200,75
