table_id,row_id,state_or_location_and_institution_full_path,state_or_location_and_institution_level_1,state_or_location_and_institution_level_2,state_or_location_and_institution_level_3,state_or_location_and_institution_hierarchy_depth,field_all_fields,field_science_life_sciences_total,field_science_life_sciences_agricultural_sciences_and_natural_resources,field_science_life_sciences_biological_and_biomedical_sciences,field_science_life_sciences_health_sciences,field_science_physical_sciences_and_earth_sciences_total,field_science_physical_sciences_and_earth_sciences_chemistry,field_science_physical_sciences_and_earth_sciences_geosciences_atmospheric_sciences_and_ocean_sciences,field_science_physical_sciences_and_earth_sciences_physics_and_astronomy,field_science_mathematics_and_computer_sciences_total,field_science_mathematics_and_computer_sciences_computer_and_information_sciences,field_science_mathematics_and_computer_sciences_mathematics_and_statistics,field_science_psychology_and_social_sciences_total,field_science_psychology_and_social_sciences_psychology,field_science_psychology_and_social_sciences_anthropology,field_science_psychology_and_social_sciences_economics,field_science_psychology_and_social_sciences_political_science_and_government,field_science_psychology_and_social_sciences_sociology,field_science_psychology_and_social_sciences_other_social_sciences,field_engineering_total,field_engineering_aerospace_aeronautical_and_astronautical,field_engineering_bioengineering_and_biomedical,field_engineering_chemical,field_engineering_civil,field_engineering_electrical_electronics_and_communications,field_engineering_industrial_and_manufacturing,field_engineering_materials_science,field_engineering_mechanical,field_engineering_other_engineering
1052,r001,All institutions,All institutions,,,1,54664,12592,1606,8477,2509,6081,2697,1165,2219,3843,1987,1856,9079,3960,455,1237,752,689,1986,9843,378,1041,936,741,1900,253,958,1409,2227
1052,r002,All institutions -> Alabama,All institutions,Alabama,,2,707,188,32,122,34,59,23,7,29,48,20,28,89,67,1,10,8,1,2,131,5,4,14,17,22,6,13,18,32
1052,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,5,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,284,63,24,29,10,16,6,0,10,18,6,12,39,30,0,7,2,0,0,65,2,3,11,7,12,6,2,9,13
1052,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,12,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
1052,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,127,76,2,60,14,9,5,1,3,12,7,5,9,8,0,0,0,1,0,10,0,1,0,3,0,0,1,1,4
1052,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,42,6,0,5,1,9,0,1,8,3,2,1,0,0,0,0,0,0,0,24,1,0,2,1,4,0,1,3,12
1052,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,199,19,0,10,9,22,12,3,7,15,5,10,31,19,1,3,6,0,2,29,2,0,1,6,6,0,6,5,3
1052,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,32,9,0,9,0,2,0,2,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,r011,All institutions -> Alaska,All institutions,Alaska,,2,52,10,4,6,0,20,2,15,3,0,0,0,17,6,2,2,0,0,7,3,0,0,0,2,0,0,0,0,1
