table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doc,field_doe,field_hhs,field_nsf
10401,r001,All states and outlying areas,All states and outlying areas,,,1,418694,16,5338,88469,324871
10401,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,4331,0,0,3330,1001
10401,r003,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,346,0,0,0,346
10401,r004,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,3546,0,0,3330,216
10401,r005,"All states and outlying areas -> Alabama -> U. Alabama, The, Huntsville",All states and outlying areas,Alabama,"U. Alabama, The, Huntsville",3,439,0,0,0,439
10401,r006,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,679,0,0,0,679
10401,r007,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks",All states and outlying areas,Alaska,"U. Alaska, Fairbanks",3,679,0,0,0,679
10401,r008,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,10737,0,0,0,10737
10401,r009,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,7144,0,0,0,7144
10401,r010,All states and outlying areas -> Arizona -> U. Arizona,All states and outlying areas,Arizona,U. Arizona,3,3593,0,0,0,3593
10401,r011,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,2714,0,0,0,2714
10401,r012,"All states and outlying areas -> Arkansas -> Arkansas State U., Jonesboro",All states and outlying areas,Arkansas,"Arkansas State U., Jonesboro",3,346,0,0,0,346
10401,r013,"All states and outlying areas -> Arkansas -> U. Arkansas, Fayetteville",All states and outlying areas,Arkansas,"U. Arkansas, Fayetteville",3,2368,0,0,0,2368
10401,r014,All states and outlying areas -> California,All states and outlying areas,California,,2,54566,0,0,1997,52569
