table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_level_5,occupation_hierarchy_depth,field_all_degreesa_total,field_all_degreesa_without_disability,field_all_degreesa_with_disability,field_bachelor_s_total,field_bachelor_s_without_disability,field_bachelor_s_with_disability,field_master_s_total,field_master_s_without_disability,field_master_s_with_disability,field_doctorate_total,field_doctorate_without_disability,field_doctorate_with_disability
3315,r027,All occupations -> S&E occupations -> Science occupations -> Social scientist -> Anthropologist,All occupations,S&E occupations,Science occupations,Social scientist,Anthropologist,5,16000,13000,3000,3000,3000,S,5000,4000,S,7000,7000,S
3315,r028,"All occupations -> S&E occupations -> Science occupations -> Social scientist -> Other social scientist, including sociologist",All occupations,S&E occupations,Science occupations,Social scientist,"Other social scientist, including sociologist",5,142000,133000,9000,59000,53000,5000,60000,58000,2000,21000,20000,S
3315,r029,All occupations -> S&E occupations -> Science occupations -> Social scientist -> Postsecondary teacher,All occupations,S&E occupations,Science occupations,Social scientist,Postsecondary teacher,5,151000,131000,20000,10000,8000,,50000,41000,9000,87000,78000,9000
3315,r030,All occupations -> S&E occupations -> Engineering occupations,All occupations,S&E occupations,Engineering occupations,,,3,1921000,1745000,177000,1158000,1048000,111000,619000,565000,54000,139000,129000,10000
3315,r031,"All occupations -> S&E occupations -> Engineering occupations -> Aerospace, aeronautical, or astronautical engineer",All occupations,S&E occupations,Engineering occupations,"Aerospace, aeronautical, or astronautical engineer",,4,126000,114000,13000,68000,60000,8000,51000,46000,S,8000,7000,
3315,r032,All occupations -> S&E occupations -> Engineering occupations -> Chemical engineer,All occupations,S&E occupations,Engineering occupations,Chemical engineer,,4,84000,76000,7000,50000,46000,5000,20000,18000,S,13000,13000,
3315,r033,"All occupations -> S&E occupations -> Engineering occupations -> Civil, architectural, or sanitary engineer",All occupations,S&E occupations,Engineering occupations,"Civil, architectural, or sanitary engineer",,4,294000,267000,28000,191000,173000,18000,94000,84000,10000,9000,9000,
3315,r034,All occupations -> S&E occupations -> Engineering occupations -> Electrical or computer hardware engineer,All occupations,S&E occupations,Engineering occupations,Electrical or computer hardware engineer,,4,412000,374000,38000,226000,202000,24000,153000,141000,12000,32000,31000,S
3315,r035,All occupations -> S&E occupations -> Engineering occupations -> Industrial engineer,All occupations,S&E occupations,Engineering occupations,Industrial engineer,,4,95000,81000,14000,62000,55000,7000,32000,25000,S,S,S,
3315,r036,All occupations -> S&E occupations -> Engineering occupations -> Mechanical engineer,All occupations,S&E occupations,Engineering occupations,Mechanical engineer,,4,377000,350000,27000,247000,227000,20000,114000,109000,5000,13000,12000,1000
3315,r037,All occupations -> S&E occupations -> Engineering occupations -> Other engineer,All occupations,S&E occupations,Engineering occupations,Other engineer,,4,472000,432000,41000,308000,279000,29000,139000,130000,9000,24000,21000,3000
3315,r038,All occupations -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All occupations,S&E occupations,Engineering occupations,Postsecondary teacher,,4,61000,51000,10000,7000,6000,,16000,10000,S,38000,34000,3000
3315,r039,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,,2,8893000,8148000,745000,4794000,4325000,470000,2332000,2139000,193000,387000,354000,33000
3315,r040,All occupations -> S&E-related occupations -> Health-related occupation,All occupations,S&E-related occupations,Health-related occupation,,,3,5728000,5327000,401000,2978000,2731000,247000,1213000,1120000,93000,259000,241000,18000
3315,r041,"All occupations -> S&E-related occupations -> S&E manager, including health",All occupations,S&E-related occupations,"S&E manager, including health",,,3,999000,906000,92000,501000,450000,52000,347000,321000,26000,61000,52000,9000
3315,r042,All occupations -> S&E-related occupations -> S&E pre-college teacher,All occupations,S&E-related occupations,S&E pre-college teacher,,,3,925000,817000,108000,395000,336000,59000,493000,447000,47000,27000,25000,S
3315,r043,All occupations -> S&E-related occupations -> S&E technician/ technologist,All occupations,S&E-related occupations,S&E technician/ technologist,,,3,973000,851000,122000,738000,643000,95000,193000,171000,22000,39000,35000,S
3315,r044,All occupations -> S&E-related occupations -> Other S&E-related occupation,All occupations,S&E-related occupations,Other S&E-related occupation,,,3,270000,247000,23000,182000,165000,17000,86000,79000,6000,1000,1000,
3315,r045,All occupations -> Non-S&E occupations<sup>b</sup>,All occupations,Non-S&E occupations<sup>b</sup>,,,,2,12267000,10755000,1512000,7072000,6178000,894000,4005000,3526000,479000,436000,390000,46000
3315,r046,"All occupations -> Non-S&E occupations<sup>b</sup> -> Arts, humanities, and related occupation",All occupations,Non-S&E occupations<sup>b</sup>,"Arts, humanities, and related occupation",,,3,305000,283000,22000,157000,143000,14000,123000,116000,7000,14000,13000,
3315,r047,All occupations -> Non-S&E occupations<sup>b</sup> -> Management-related occupation,All occupations,Non-S&E occupations<sup>b</sup>,Management-related occupation,,,3,2534000,2240000,294000,1531000,1359000,172000,907000,793000,113000,69000,65000,4000
3315,r048,All occupations -> Non-S&E occupations<sup>b</sup> -> Non-S&E manager,All occupations,Non-S&E occupations<sup>b</sup>,Non-S&E manager,,,3,2003000,1794000,209000,1026000,917000,109000,778000,695000,83000,137000,122000,15000
3315,r049,All occupations -> Non-S&E occupations<sup>b</sup> -> Non-S&E postsecondary teacher,All occupations,Non-S&E occupations<sup>b</sup>,Non-S&E postsecondary teacher,,,3,191000,167000,24000,23000,18000,S,61000,54000,8000,91000,79000,11000
3315,r050,All occupations -> Non-S&E occupations<sup>b</sup> -> Non-S&E precollege teacher,All occupations,Non-S&E occupations<sup>b</sup>,Non-S&E precollege teacher,,,3,924000,801000,122000,371000,322000,49000,534000,467000,67000,10000,8000,
3315,r051,All occupations -> Non-S&E occupations<sup>b</sup> -> Sales and marketing occupation,All occupations,Non-S&E occupations<sup>b</sup>,Sales and marketing occupation,,,3,1444000,1289000,155000,1082000,957000,125000,320000,292000,29000,12000,12000,
3315,r052,All occupations -> Non-S&E occupations<sup>b</sup> -> Social service and related occupation,All occupations,Non-S&E occupations<sup>b</sup>,Social service and related occupation,,,3,1057000,930000,127000,418000,370000,48000,582000,511000,71000,37000,29000,8000
3315,r053,All occupations -> Non-S&E occupations<sup>b</sup> -> Other non-S&E occupation,All occupations,Non-S&E occupations<sup>b</sup>,Other non-S&E occupation,,,3,3810000,3251000,559000,2464000,2092000,372000,701000,599000,102000,66000,61000,5000
