table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
7397,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,401', '&nbsp;']","['7,245,649', '&nbsp;']","['9,774', '&nbsp;']","['3,215,024', '&nbsp;']","['5,627', '&nbsp;']","['4,030,625', '&nbsp;']"
7397,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,659', '&nbsp;']","['888,998', '&nbsp;']","['945', '&nbsp;']","['413,607', '&nbsp;']","['715', '&nbsp;']","['475,391', '&nbsp;']"
7397,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['29', '&nbsp;']","['6,315', '&nbsp;']","['16', 'r']","['4,218', 'r']","['13', '&nbsp;']","['2,096', 'r']"
7397,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['3', 'r']","['236', 'r']","['3', 'r']","['236', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
7397,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['2', 'r']","['4,065', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'r']","['4,065', 'r']"
7397,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7397,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['4', '&nbsp;']","['555', '&nbsp;']","['2', 'r']","['141', 'r']","['2', '&nbsp;']","['414', '&nbsp;']"
7397,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7397,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['374', '&nbsp;']","['345,503', '&nbsp;']","['261', '&nbsp;']","['163,854', '&nbsp;']","['114', '&nbsp;']","['181,649', '&nbsp;']"
7397,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['165', '&nbsp;']","['259,782', '&nbsp;']","['106', '&nbsp;']","['110,653', '&nbsp;']","['59', '&nbsp;']","['149,129', '&nbsp;']"
