table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field_isic_rev_4_industry_code,field_value_added_billions_,field_share_of_global_kti_,field_share_of_global_gdp_
6201,r001,All KTI industries,All KTI industries,,,1,,9220.0,100.0,11.5
6201,r002,All KTI industries -> Manufacturing,All KTI industries,Manufacturing,,2,,6407.5,69.5,8.0
6201,r003,All KTI industries -> Manufacturing -> Chemicals and chemical products,All KTI industries,Manufacturing,Chemicals and chemical products,3,20,1052.9,11.4,1.3
6201,r004,All KTI industries -> Manufacturing -> Pharmaceuticals,All KTI industries,Manufacturing,Pharmaceuticals,3,21,658.0,7.1,0.8
6201,r005,"All KTI industries -> Manufacturing -> Computer, electronic, and optical products",All KTI industries,Manufacturing,"Computer, electronic, and optical products",3,26,1255.0,13.6,1.6
6201,r006,All KTI industries -> Manufacturing -> Electrical equipment,All KTI industries,Manufacturing,Electrical equipment,3,27,666.2,7.2,0.8
6201,r007,All KTI industries -> Manufacturing -> Machinery and equipment nec,All KTI industries,Manufacturing,Machinery and equipment nec,3,28,1163.4,12.6,1.5
6201,r008,"All KTI industries -> Manufacturing -> Motor vehicles, trailers, and semi-trailers",All KTI industries,Manufacturing,"Motor vehicles, trailers, and semi-trailers",3,29,1060.8,11.5,1.3
6201,r009,All KTI industries -> Manufacturing -> Air and spacecraft and related machinery,All KTI industries,Manufacturing,Air and spacecraft and related machinery,3,303,258.9,2.8,0.3
6201,r010,"All KTI industries -> Manufacturing -> Railroad, military vehicles, and transport nec",All KTI industries,Manufacturing,"Railroad, military vehicles, and transport nec",3,"302, 304, and 309",117.2,1.3,0.1
6201,r011,All KTI industries -> Manufacturing -> Medical and dental instruments,All KTI industries,Manufacturing,Medical and dental instruments,3,325,175.1,1.9,0.2
6201,r012,All KTI industries -> Services,All KTI industries,Services,,2,,2812.6,30.5,3.5
6201,r013,All KTI industries -> Services -> IT and other information services,All KTI industries,Services,IT and other information services,3,62 - 63,1720.7,18.7,2.1
6201,r014,All KTI industries -> Services -> Software publishing,All KTI industries,Services,Software publishing,3,58,390.5,4.2,0.5
6201,r015,All KTI industries -> Services -> Scientific research and development,All KTI industries,Services,Scientific research and development,3,72,701.3,7.6,0.9
