table_id,row_id,field,female,male
4911,r001,Computer and information sciences,1950,9350
4911,r002,Mathematics or statistics,3750,10450
4911,r003,"Biological, agricultural, and other life sciences",35050,44400
4911,r004,Health,12050,5750
4911,r005,Physical sciences,13050,35750
4911,r006,Social sciences,18800,23900
4911,r007,Psychology ,27900,13200
4911,r008,Engineering,10900,53750
