table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8320,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,4,36972,4.9,30804,6.6,6168,2.1,185,0.3,111,0.4
8320,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,4,8743,1.2,8401,1.8,342,0.1,9,0.05,18,0.1
8320,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,40717,5.4,30361,6.5,10356,3.5,521,0.8,209,0.7
8320,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,4,14449,1.9,13098,2.8,1351,0.5,56,0.1,19,0.1
8320,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,4,7994,1.1,7527,1.6,467,0.2,6,0.05,13,0.05
8320,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,4,7664,1.0,7504,1.6,160,0.1,71,0.1,48,0.2
8320,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,12290,1.6,5520,1.2,6770,2.3,1797,2.8,2308,7.6
8320,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,1389,0.2,487,0.1,902,0.3,248,0.4,471,1.5
8320,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,7871,1.0,3534,0.8,4337,1.5,869,1.4,1121,3.7
8320,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,3030,0.4,1499,0.3,1531,0.5,373,0.6,360,1.2
8320,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,ne,ne,ne,ne,ne,ne,307,0.5,356,1.2
8320,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,3,34258,4.5,20639,4.4,13619,4.6,1112,1.8,235,0.8
8320,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,4,11154,1.5,8899,1.9,2255,0.8,202,0.3,66,0.2
8320,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,4,12128,1.6,4164,0.9,7964,2.7,721,1.1,110,0.4
8320,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,4,10976,1.4,7576,1.6,3400,1.2,189,0.3,59,0.2
