table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10437,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,3295,3207,3216,-2.7,0.3
10437,r002,R&D and R&D plant -> Agricultural research and services (352),R&D and R&D plant,Agricultural research and services (352),,,,2,3295,3207,3216,-2.7,0.3
10437,r003,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,,,3,3295,3207,3216,-2.7,0.3
10437,r004,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service,,4,1798,1892,1994,5.2,5.4
10437,r005,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,,4,45,49,49,8.9,0.0
10437,r006,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Economic Research Service,,4,88,93,98,5.7,5.4
10437,r007,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,,4,11,11,11,0.0,0.0
10437,r008,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture,,4,1353,1162,1064,-14.1,-8.4
10437,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,3000,2893,2990,-3.6,3.4
10437,r010,R&D and R&D plant -> R&D -> Agricultural research and services (352),R&D and R&D plant,R&D,Agricultural research and services (352),,,3,3000,2893,2990,-3.6,3.4
10437,r011,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,,4,3000,2893,2990,-3.6,3.4
10437,r012,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service,5,1503,1578,1768,5.0,12.0
10437,r013,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,5,45,49,49,8.9,0.0
10437,r014,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Economic Research Service,5,88,93,98,5.7,5.4
10437,r015,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,5,11,11,11,0.0,0.0
10437,r016,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture,5,1353,1162,1064,-14.1,-8.4
