table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
7082,r001,All FFRDCs,All FFRDCs,,,1,24509691,5459887,12983595,1300799,538975,250334,2629810,315920,1030371
7082,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,6700555,1132607,2587693,38095,84437,34884,2448098,307909,66832
7082,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,34016,0,33919,0,0,0,0,0,97
7082,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,832400,28310,746382,5550,25883,5181,400,2420,18274
7082,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,317812,57,317755,0,0,0,0,0,0
7082,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,8629,0,0,0,0,0,0,8629,0
7082,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,2388355,0,0,0,0,0,2388355,0,0
7082,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,910428,14845,860091,24463,738,573,4166,0,5552
7082,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,1110465,999818,3121,0,23677,23548,38680,0,21621
7082,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,161163,5841,3665,232,0,5357,12627,120193,13248
7082,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,93313,540,0,0,0,0,347,92425,1
7082,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,17680,35,0,0,0,0,1032,16613,0
7082,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory,All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory,3,73393,16,5304,0,0,0,779,67294,0
7082,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,113591,77,112975,0,0,0,440,99,0
7082,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,382252,3049,366771,6741,1609,0,785,236,3061
7082,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,120443,80019,1095,1109,32530,225,487,0,4978
7082,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,136615,0,136615,0,0,0,0,0,0
7082,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,8215876,2948125,3428488,383901,358749,213850,122770,7971,752022
7082,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,1121569,983248,14972,0,1922,1018,80019,153,40237
7082,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,38304,38304,0,0,0,0,0,0,0
7082,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,620000,1259,590230,3431,1189,0,8600,77,15214
7082,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,207828,0,0,0,0,207518,125,0,185
7082,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,65255,65255,0,0,0,0,0,0,0
7082,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,263661,0,150,0,0,0,651,0,262860
7082,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,96391,96391,0,0,0,0,0,0,0
7082,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,5233,54,391,0,0,80,38,0,4670
7082,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,348269,0,0,348269,0,0,0,0,0
7082,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,34888,0,0,0,34888,0,0,0,0
7082,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,182413,0,0,0,182413,0,0,0,0
7082,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,5493,0,0,0,0,0,0,0,5493
7082,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,44968,487,0,1146,30305,0,0,0,13030
7082,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,33671,0,0,0,0,0,0,0,33671
7082,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,66170,64452,0,0,0,0,0,0,1718
7082,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,497047,17333,463952,0,2147,917,285,0,12413
7082,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,1463965,1238466,0,0,0,0,42,0,225457
7082,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,1746756,68364,1509726,7092,11087,4317,31100,0,115070
7082,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,1142925,170244,848956,22567,83872,0,1612,815,14859
