table_id,row_id,selected_industry_naics_code_and_company_size_full_path,selected_industry_naics_code_and_company_size_level_1,selected_industry_naics_code_and_company_size_level_2,selected_industry_naics_code_and_company_size_level_3,selected_industry_naics_code_and_company_size_level_4,selected_industry_naics_code_and_company_size_hierarchy_depth,field_totalb,field_used_for_domestic_r_da_totalb_c,field_used_for_domestic_r_da_land_acquisition,field_used_for_domestic_r_da_buildings_and_land_improvementd,field_used_for_domestic_r_da_equipment,field_used_for_domestic_r_da_capitalized_software,field_used_for_domestic_r_da_other_intellectual_property,field_used_for_domestic_r_da_all_other_and_undistributede
11768,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['869,538', '  ']","['36,069', '  ']","['155', '  ']","['5,135', '  ']","['22,228', '  ']","['2,743', '  ']","['3,726', '  ']","['2,082', '  ']"
11768,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['310,111', '  ']","['23,717', '  ']","['100', '  ']","['3,790', '  ']","['14,713', '  ']","['1,466', '  ']","['2,144', '  ']","['1,504', '  ']"
11768,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['62,932', '  ']","['6,121', '  ']","['52', '  ']","['1,611', '  ']","['2,988', '  ']","['323', '  ']","['884', '  ']","['263', '  ']"
11768,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['28,479', '  ']","['5,234', '  ']","['41', '  ']","['1,332', '  ']","['2,453', '  ']","['290', '  ']","['877', '  ']","['241', '  ']"
11768,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['34,453', '&nbsp;']","['887', '&nbsp;']","['11', '&nbsp;']","['279', '&nbsp;']","['535', '&nbsp;']","['33', '&nbsp;']","['7', '&nbsp;']","['22', '&nbsp;']"
11768,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['16,324', '  ']","['1,788', '  ']","['1', 'i ']","['255', '  ']","['978', '  ']","['167', '  ']","['39', '  ']","['349', '  ']"
11768,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['47,559', '  ']","['8,444', 'i ']","['2', '  ']","['721', '  ']","['6,106', 'i ']","['514', '  ']","['788', 'i ']","['312', 'i ']"
11768,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Communication equipment, 3342","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Communication equipment, 3342",4,"['3,855', '  ']","['482', '  ']","['1', '  ']","['D', '&nbsp;']","['307', '  ']","['71', 'i ']","['D', '  ']","['D', '  ']"
11768,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Semiconductor and other electronic products, 3344","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Semiconductor and other electronic products, 3344",4,"['26,434', 'i']","['4,981', 'i ']","['1', 'i ']","['185', 'i ']","['3,846', 'i ']","['239', 'i ']","['491', 'i ']","['220', 'i ']"
11768,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Other 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",Other 334,4,"['17,270', '&nbsp;']","['2,981', 'i ']","['0', '&nbsp;']","['D', '&nbsp;']","['1,953', 'i ']","['204', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
