table_id,row_id,ethnicity_race_and_citizenship_status_full_path,ethnicity_race_and_citizenship_status_level_1,ethnicity_race_and_citizenship_status_level_2,ethnicity_race_and_citizenship_status_level_3,ethnicity_race_and_citizenship_status_level_4,ethnicity_race_and_citizenship_status_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1745,r001,All doctorate recipients,All doctorate recipients,,,,1,23187,22488,22700,23526,24365,24815,25347,25215,25452,25368
1745,r002,All doctorate recipients -> U.S. citizen or permanent resident,All doctorate recipients,U.S. citizen or permanent resident,,,2,16818,16327,16329,16909,17414,17344,17852,18142,18183,18068
1745,r003,All doctorate recipients -> Temporary visa holder,All doctorate recipients,Temporary visa holder,,,2,5167,4868,5056,5224,5571,5633,5734,5803,5687,6282
1745,r004,All doctorate recipients -> Unknown citizenship,All doctorate recipients,Unknown citizenship,,,2,1202,1293,1315,1393,1380,1838,1761,1270,1582,1018
1745,r005,All doctorate recipients -> Hispanic or Latino,All doctorate recipients,Hispanic or Latino,,,2,1365,1319,1421,1515,1550,1559,1663,1806,1761,1730
1745,r006,All doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,All doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,1027,1027,1096,1196,1230,1191,1329,1414,1384,1379
1745,r007,All doctorate recipients -> Hispanic or Latino -> Temporary visa holder,All doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,329,286,324,317,309,364,330,386,363,350
1745,r008,All doctorate recipients -> Hispanic or Latino -> Unknown citizenship,All doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,9,6,1,2,11,4,4,6,14,1
1745,r009,All doctorate recipients -> Not Hispanic or Latino,All doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,
1745,r010,All doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,78,65,79,65,64,55,77,73,62,72
