table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_isic_rev_4_industry_code,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6246,r001,Billions of dollars,Billions of dollars,,,,1,,,,,,,,,,,,,,,,,,,,
6246,r002,Gross domestic product,Gross domestic product,,,,1,,10929.1,11456.5,12217.2,13039.2,13815.6,14474.2,14769.9,14478.1,15049.0,15599.7,16254.0,16843.2,17550.7,18206.0,18695.1,19479.6,20527.2,21372.6,20893.7
6246,r003,Gross domestic product -> All KTI industries,Gross domestic product,All KTI industries,,,2,,1052.6,1096.6,1152.8,1202.6,1294.7,1350.3,1376.2,1356.6,1484.1,1570.1,1622.6,1709.1,1782.2,1883.5,1960.0,2058.0,2209.2,2336.2,2387.0
6246,r004,Gross domestic product -> All KTI industries -> Manufacturing,Gross domestic product,All KTI industries,Manufacturing,,3,,752.3,784.4,812.5,842.0,909.8,944.7,925.1,891.4,975.7,1007.7,1033.5,1076.6,1107.0,1149.3,1170.2,1210.8,1268.3,1301.7,1272.8
6246,r005,Gross domestic product -> All KTI industries -> Manufacturing -> Chemicals and chemical products,Gross domestic product,All KTI industries,Manufacturing,Chemicals and chemical products,4,20,110.4,110.1,121.1,119.2,135.9,144.8,141.6,144.2,172.1,175.5,181.0,188.4,190.1,185.6,198.6,200.8,210.3,208.6,199.5
6246,r006,Gross domestic product -> All KTI industries -> Manufacturing -> Pharmaceuticals,Gross domestic product,All KTI industries,Manufacturing,Pharmaceuticals,4,21,97.4,100.6,105.7,103.8,117.9,123.1,124.1,143.8,131.2,130.5,124.0,133.1,140.0,147.6,158.4,162.1,165.5,182.4,195.1
6246,r007,"Gross domestic product -> All KTI industries -> Manufacturing -> Computer, electronic, and optical products",Gross domestic product,All KTI industries,Manufacturing,"Computer, electronic, and optical products",4,26,174.1,194.7,202.8,212.5,225.6,230.1,234.1,225.5,242.1,239.8,243.4,246.8,253.4,269.5,270.2,282.0,307.0,310.1,319.6
6246,r008,Gross domestic product -> All KTI industries -> Manufacturing -> Electrical equipment,Gross domestic product,All KTI industries,Manufacturing,Electrical equipment,4,27,43.7,45.5,42.1,43.2,51.4,50.3,55.5,50.6,50.8,48.3,52.2,58.1,54.4,63.7,58.5,60.8,65.1,65.0,63.6
6246,r009,Gross domestic product -> All KTI industries -> Manufacturing -> Machinery and equipment nec,Gross domestic product,All KTI industries,Manufacturing,Machinery and equipment nec,4,28,99.3,98.0,105.0,115.2,122.7,130.3,132.9,119.2,127.8,145.3,152.6,157.9,161.0,152.5,143.8,153.4,161.4,167.0,156.9
6246,r010,"Gross domestic product -> All KTI industries -> Manufacturing -> Motor vehicles, trailers, and semi-trailers",Gross domestic product,All KTI industries,Manufacturing,"Motor vehicles, trailers, and semi-trailers",4,29,126.7,134.3,130.4,127.5,125.9,116.4,83.6,44.2,83.4,98.0,108.7,115.4,124.6,137.6,146.2,149.1,148.2,149.4,145.9
6246,r011,Gross domestic product -> All KTI industries -> Manufacturing -> Air and spacecraft and related machinery,Gross domestic product,All KTI industries,Manufacturing,Air and spacecraft and related machinery,4,303,57.7,56.7,58.9,71.2,77.2,92.4,90.5,95.4,99.5,103.6,102.8,107.8,114.9,124.4,121.6,129.2,134.9,142.3,108.1
6246,r012,"Gross domestic product -> All KTI industries -> Manufacturing -> Railroad, military vehicles, and transport nec",Gross domestic product,All KTI industries,Manufacturing,"Railroad, military vehicles, and transport nec",4,"302, 304, and 309",7.9,8.3,8.9,10.0,10.5,12.6,14.7,12.4,12.0,13.3,13.2,14.3,13.7,13.4,14.3,11.9,11.7,11.3,11.6
6246,r013,Gross domestic product -> All KTI industries -> Manufacturing -> Medical and dental instruments,Gross domestic product,All KTI industries,Manufacturing,Medical and dental instruments,4,325,34.9,36.2,37.6,39.5,42.7,44.7,48.1,56.1,57.0,53.5,55.7,54.8,54.9,55.0,58.8,61.6,64.3,65.7,72.4
6246,r014,Gross domestic product -> All KTI industries -> Services ,Gross domestic product,All KTI industries,Services ,,3,,300.3,312.1,340.3,360.6,384.8,405.5,451.1,465.2,508.3,562.4,589.1,632.6,675.3,734.2,789.8,847.1,940.9,1034.5,1114.2
6246,r015,Gross domestic product -> All KTI industries -> Services  -> IT and other information services,Gross domestic product,All KTI industries,Services ,IT and other information services,4,62 - 63,171.4,178.9,197.1,206.8,230.9,232.3,264.2,275.1,304.0,339.6,358.1,386.9,415.5,454.7,500.1,535.3,596.5,655.8,684.9
6246,r016,Gross domestic product -> All KTI industries -> Services  -> Software publishing,Gross domestic product,All KTI industries,Services ,Software publishing,4,582,57.5,61.9,70.7,79.2,79.0,98.8,103.3,105.0,115.2,128.0,135.4,147.9,156.6,164.1,176.2,195.1,215.9,239.3,273.0
6246,r017,Gross domestic product -> All KTI industries -> Services  -> Scientific research and development,Gross domestic product,All KTI industries,Services ,Scientific research and development,4,72,71.5,71.3,72.5,74.6,75.0,74.4,83.5,85.0,89.2,94.7,95.6,97.8,103.1,115.4,113.5,116.7,128.6,139.3,156.3
6246,r018,Industry share of total KTI value added,Industry share of total KTI value added,,,,1,,,,,,,,,,,,,,,,,,,,
6246,r019,Industry share of total KTI value added -> All KTI industries,Industry share of total KTI value added,All KTI industries,,,2,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6246,r020,Industry share of total KTI value added -> All KTI industries -> Manufacturing,Industry share of total KTI value added,All KTI industries,Manufacturing,,3,,71.5,71.5,70.5,70.0,70.3,70.0,67.2,65.7,65.7,64.2,63.7,63.0,62.1,61.0,59.7,58.8,57.4,55.7,53.3
6246,r021,Industry share of total KTI value added -> All KTI industries -> Manufacturing -> Chemicals and chemical products,Industry share of total KTI value added,All KTI industries,Manufacturing,Chemicals and chemical products,4,20,10.5,10.0,10.5,9.9,10.5,10.7,10.3,10.6,11.6,11.2,11.2,11.0,10.7,9.9,10.1,9.8,9.5,8.9,8.4
6246,r022,Industry share of total KTI value added -> All KTI industries -> Manufacturing -> Pharmaceuticals,Industry share of total KTI value added,All KTI industries,Manufacturing,Pharmaceuticals,4,21,9.3,9.2,9.2,8.6,9.1,9.1,9.0,10.6,8.8,8.3,7.6,7.8,7.9,7.8,8.1,7.9,7.5,7.8,8.2
