table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
12469,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['5,710,570', '&nbsp;']","['397,004', '&nbsp;']","['2,032,893', '&nbsp;']","['3,280,674', '&nbsp;']"
12469,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['694,247', '&nbsp;']","['34,705', '&nbsp;']","['275,018', '&nbsp;']","['384,524', '&nbsp;']"
12469,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['17,426', '&nbsp;']","['1,410', 'r']","['13,400', '&nbsp;']","['2,616', 'r']"
12469,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['9,268', 'r']","['602', 'r']","['2,002', 'r']","['6,665', 'r']"
12469,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12469,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['898', 'r']","['0', '&nbsp;']","['134', 'r']","['764', 'r']"
12469,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12469,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['159', '&nbsp;']","['0', '&nbsp;']","['159', '&nbsp;']","['0', '&nbsp;']"
12469,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['168,564', '&nbsp;']","['11,202', '&nbsp;']","['54,145', '&nbsp;']","['103,217', '&nbsp;']"
12469,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['125,474', '&nbsp;']","['4,688', '&nbsp;']","['34,497', '&nbsp;']","['86,290', '&nbsp;']"
12469,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['43,090', '&nbsp;']","['6,514', '&nbsp;']","['19,648', '&nbsp;']","['16,928', '&nbsp;']"
