table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_artificial_intelligence_r_d_total_companiesa_number_,field_artificial_intelligence_r_d_total_amount,field_artificial_intelligence_r_d_paid_for_by_the_company_companiesa_number_,field_artificial_intelligence_r_d_paid_for_by_the_company_amount,field_artificial_intelligence_r_d_paid_for_by_others_companiesa_number_,field_artificial_intelligence_r_d_paid_for_by_others_amount
9667,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['31,490', '  ']","['602,499', '  ']","['3,790', 'i ']","['28,875', 'i ']","['3,380', 'i ']","['25,267', 'i ']","['610', 'i ']","['3,609', 'i ']"
9667,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['15,620', '  ']","['326,060', '  ']","['1,220', 'i ']","['10,716', 'i ']","['1,180', 'i ']","['10,079', 'i ']","['90', '  ']","['637', '  ']"
9667,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['890', '  ']","['5,266', '  ']","['40', 'i ']","['48', '  ']","['40', 'i ']","['47', '  ']","['10', '  ']","['1', '  ']"
9667,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['190', '  ']","['1,247', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9667,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['310', '  ']","['829', '  ']","['10', 'r ']","['16', 'r ']","['10', 'r ']","['16', 'r ']","['0', '  ']","['0', '  ']"
9667,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['150', '  ']","['444', '  ']","['10', '  ']","['0 - 28', '  ']","['10', '  ']","['0 - 28', '  ']","['0', '  ']","['0', '  ']"
9667,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['120', '  ']","['1,139', '  ']","['10', 'i ']","['32', 'i ']","['10', 'i ']","['32', 'i ']","['0', '  ']","['0', '  ']"
9667,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['170', '  ']","['204', 'i ']","['10', '  ']","['0 - 28', '  ']","['10', '  ']","['0 - 28', '  ']","['0', '  ']","['0', '  ']"
9667,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['110', '  ']","['957', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9667,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,250', '  ']","['109,490', '  ']","['60', 'i ']","['448', 'i ']","['50', 'i ']","['444', 'i ']","['10', '  ']","['4', '  ']"
9667,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['250', '  ']","['2,713', '  ']","['10', '  ']","['15', '  ']","['10', '  ']","['12', '  ']","['10', '  ']","['3', '  ']"
