table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
7123,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    5,218,911 ', '&nbsp;']","['    342,418 ', '&nbsp;']","['    2,145,921 ', '&nbsp;']","['    2,730,571 ', '&nbsp;']"
7123,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    622,220 ', '&nbsp;']","['    17,647 ', '&nbsp;']","['    298,567 ', '&nbsp;']","['    306,007 ', '&nbsp;']"
7123,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    5,896 ', '&nbsp;']","['    747 ', 'r']","['    2,704 ', 'r']","['    2,445 ', '&nbsp;']"
7123,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    236 ', 'r']","['-', '&nbsp;']","['-', '&nbsp;']","['    236 ', 'r']"
7123,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    4,065 ', 'r']","['-', '&nbsp;']","['    3,252 ', 'r']","['    813 ', 'r']"
7123,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7123,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    555 ', '&nbsp;']","['-', '&nbsp;']","['    102 ', 'r']","['    453 ', '&nbsp;']"
7123,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7123,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    178,170 ', '&nbsp;']","['    6,009 ', '&nbsp;']","['    96,560 ', '&nbsp;']","['    75,601 ', '&nbsp;']"
7123,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    117,508 ', '&nbsp;']","['    2,745 ', '&nbsp;']","['    67,870 ', '&nbsp;']","['    46,893 ', '&nbsp;']"
