table_id,row_id,_b_capitalization_thresholds_b_full_path,_b_capitalization_thresholds_b_level_1,_b_capitalization_thresholds_b_level_2,_b_capitalization_thresholds_b_hierarchy_depth,field_all_institutions,field_highest_degree_granted_doctorate,field_highest_degree_granted_nondoctorate,field_institutional_control_public,field_institutional_control_private
10204,r001,Equipment,Equipment,,1,,,,,
10204,r002,Equipment -> Do not capitalize,Equipment,Do not capitalize,2,8,4,4,5,3
10204,r003,Equipment -> 500,Equipment,500,2,2,2,0,0,2
10204,r004,"Equipment -> 1,000",Equipment,"1,000",2,11,8,3,3,8
10204,r005,"Equipment -> 1,500",Equipment,"1,500",2,1,1,0,0,1
10204,r006,"Equipment -> 2,000",Equipment,"2,000",2,4,2,2,1,3
10204,r007,"Equipment -> 2,500",Equipment,"2,500",2,7,5,2,1,6
10204,r008,"Equipment -> 3,000",Equipment,"3,000",2,12,10,2,1,11
10204,r009,"Equipment -> 3,500",Equipment,"3,500",2,1,1,0,1,0
10204,r010,"Equipment -> 5,000",Equipment,"5,000",2,526,413,113,371,155
10204,r011,"Equipment -> 7,500",Equipment,"7,500",2,1,1,0,0,1
10204,r012,"Equipment -> 10,000",Equipment,"10,000",2,15,10,5,3,12
10204,r013,"Equipment -> 15,000",Equipment,"15,000",2,1,0,1,0,1
10204,r014,"Equipment -> 25,000",Equipment,"25,000",2,9,3,6,1,8
10204,r015,"Equipment -> 50,000",Equipment,"50,000",2,1,1,0,0,1
10204,r016,"Equipment -> 100,000",Equipment,"100,000",2,1,0,1,1,0
10204,r017,"Equipment -> 250,000",Equipment,"250,000",2,4,2,2,4,0
10204,r018,"Equipment -> 1,000,000",Equipment,"1,000,000",2,1,1,0,0,1
10204,r019,"Equipment -> 5,000,000",Equipment,"5,000,000",2,1,0,1,0,1
10204,r020,Software,Software,,1,,,,,
10204,r021,Software -> Do not capitalize,Software,Do not capitalize,2,97,70,27,59,38
10204,r022,Software -> 500,Software,500,2,1,1,0,0,1
10204,r023,"Software -> 1,000",Software,"1,000",2,11,6,5,3,8
10204,r024,"Software -> 1,500",Software,"1,500",2,1,1,0,0,1
10204,r025,"Software -> 2,000",Software,"2,000",2,1,1,0,0,1
10204,r026,"Software -> 2,500",Software,"2,500",2,3,2,1,0,3
10204,r027,"Software -> 3,000",Software,"3,000",2,12,8,4,3,9
10204,r028,"Software -> 5,000",Software,"5,000",2,270,199,71,164,106
10204,r029,"Software -> 7,500",Software,"7,500",2,1,1,0,0,1
10204,r030,"Software -> 10,000",Software,"10,000",2,18,11,7,6,12
10204,r031,"Software -> 15,000",Software,"15,000",2,1,0,1,0,1
10204,r032,"Software -> 20,000",Software,"20,000",2,1,0,1,0,1
10204,r033,"Software -> 25,000",Software,"25,000",2,13,8,5,3,10
10204,r034,"Software -> 50,000",Software,"50,000",2,11,11,0,5,6
10204,r035,"Software -> 75,000",Software,"75,000",2,2,2,0,1,1
10204,r036,"Software -> 100,000",Software,"100,000",2,98,84,14,91,7
10204,r037,"Software -> 140,000",Software,"140,000",2,1,1,0,1,0
10204,r038,"Software -> 200,000",Software,"200,000",2,3,3,0,3,0
10204,r039,"Software -> 250,000",Software,"250,000",2,17,15,2,14,3
10204,r040,"Software -> 300,000",Software,"300,000",2,1,1,0,0,1
10204,r041,"Software -> 400,000",Software,"400,000",2,3,3,0,3,0
10204,r042,"Software -> 500,000",Software,"500,000",2,14,14,0,11,3
10204,r043,"Software -> 1,000,000",Software,"1,000,000",2,22,18,4,21,1
10204,r044,"Software -> 4,000,000",Software,"4,000,000",2,2,2,0,2,0
10204,r045,"Software -> 5,000,000",Software,"5,000,000",2,1,1,0,1,0
