table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed
12593,r001,All functions conducting R&D,All functions conducting R&D,,1,6.2,6.5,6.1
12593,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,12.5,13.0,11.6
12593,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,55.6,43.7,34.5
12593,r004,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,89.2,87.6,87.0
12593,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,44.6,45.1,44.7
12593,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,16.3,21.8,20.4
12593,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,6.4,5.2,5.2
12593,r008,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,4.9,4.7,4.7
12593,r009,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,18.4,17.7,15.6
12593,r010,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,3.2,3.2,3.8
12593,r011,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,1.0,0.9,1.2
12593,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,0.7,1.0,0.9
12593,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,1.3,1.4,1.5
12593,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.3,0.3,0.3
12593,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.1,0.1,0.1
12593,r016,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.0,0.0
12593,r017,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.1,0.1,0.1
