table_id,row_id,source_of_funds_full_path,source_of_funds_level_1,source_of_funds_level_2,source_of_funds_hierarchy_depth,field_total_funds_for_r_d
7159,r001,Total ,Total ,,1,10528134
7159,r002,Total  -> Internal funds,Total ,Internal funds,2,5050277
7159,r003,Total  -> Federal,Total ,Federal,2,1921504
7159,r004,Total  -> Individual donors,Total ,Individual donors,2,1450523
7159,r005,Total  -> Nonprofits,Total ,Nonprofits,2,952692
7159,r006,Total  -> Businesses,Total ,Businesses,2,651918
7159,r007,Total  -> All other sources,Total ,All other sources,2,501218
