table_id,row_id,field_of_study_and_time_to_degree_full_path,field_of_study_and_time_to_degree_level_1,field_of_study_and_time_to_degree_level_2,field_of_study_and_time_to_degree_level_3,field_of_study_and_time_to_degree_hierarchy_depth,field_1992,field_1997,field_2002,field_2007,field_2012,field_2017
974,r001,All fields,All fields,,,1,,,,,,
974,r002,All fields -> Since bachelor's,All fields,Since bachelor's,,2,10.6,10.6,10.3,9.5,9.0,8.8
974,r003,All fields -> Since starting graduate school,All fields,Since starting graduate school,,2,8.7,8.7,8.6,7.9,7.7,7.5
974,r004,All fields -> Since starting doctoral program<sup>a</sup>,All fields,Since starting doctoral program<sup>a</sup>,,2,na,na,na,na,na,5.8
974,r005,All fields -> Life sciences<sup>b</sup>,All fields,Life sciences<sup>b</sup>,,2,,,,,,
974,r006,All fields -> Life sciences<sup>b</sup> -> Since bachelor's,All fields,Life sciences<sup>b</sup>,Since bachelor's,3,9.5,9.4,9.0,8.6,8.5,8.3
974,r007,All fields -> Life sciences<sup>b</sup> -> Since starting graduate school,All fields,Life sciences<sup>b</sup>,Since starting graduate school,3,7.9,7.7,7.4,7.0,6.9,6.8
974,r008,All fields -> Life sciences<sup>b</sup> -> Since starting doctoral program<sup>a</sup>,All fields,Life sciences<sup>b</sup>,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.8
974,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,,,,,,
974,r010,All fields -> Physical sciences and earth sciences -> Since bachelor's,All fields,Physical sciences and earth sciences,Since bachelor's,3,7.8,7.8,7.5,7.5,7.3,6.9
974,r011,All fields -> Physical sciences and earth sciences -> Since starting graduate school,All fields,Physical sciences and earth sciences,Since starting graduate school,3,6.7,6.7,6.7,6.5,6.4,6.2
974,r012,All fields -> Physical sciences and earth sciences -> Since starting doctoral program<sup>a</sup>,All fields,Physical sciences and earth sciences,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.7
974,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,,,,,,
974,r014,All fields -> Mathematics and computer sciences -> Since bachelor's,All fields,Mathematics and computer sciences,Since bachelor's,3,9.0,9.2,8.4,8.3,8.0,7.9
974,r015,All fields -> Mathematics and computer sciences -> Since starting graduate school,All fields,Mathematics and computer sciences,Since starting graduate school,3,7.7,7.8,7.3,7.0,7.0,7.0
974,r016,All fields -> Mathematics and computer sciences -> Since starting doctoral program<sup>a</sup>,All fields,Mathematics and computer sciences,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.7
974,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,,,,,,
974,r018,All fields -> Psychology and social sciences -> Since bachelor's,All fields,Psychology and social sciences,Since bachelor's,3,10.9,10.2,10.0,9.7,9.5,9.3
974,r019,All fields -> Psychology and social sciences -> Since starting graduate school,All fields,Psychology and social sciences,Since starting graduate school,3,8.7,8.2,8.2,8.0,7.7,7.8
974,r020,All fields -> Psychology and social sciences -> Since starting doctoral program<sup>a</sup>,All fields,Psychology and social sciences,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,6.0
974,r021,All fields -> Engineering,All fields,Engineering,,2,,,,,,
974,r022,All fields -> Engineering -> Since bachelor's,All fields,Engineering,Since bachelor's,3,8.9,8.9,8.6,8.0,7.6,7.3
974,r023,All fields -> Engineering -> Since starting graduate school,All fields,Engineering,Since starting graduate school,3,7.2,7.2,7.2,6.7,6.7,6.7
974,r024,All fields -> Engineering -> Since starting doctoral program<sup>a</sup>,All fields,Engineering,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.3
974,r025,All fields -> Education,All fields,Education,,2,,,,,,
974,r026,All fields -> Education -> Since bachelor's,All fields,Education,Since bachelor's,3,19.0,20.0,19.0,16.6,15.0,15.0
974,r027,All fields -> Education -> Since starting graduate school,All fields,Education,Since starting graduate school,3,15.6,15.7,14.1,12.6,11.9,12.0
974,r028,All fields -> Education -> Since starting doctoral program<sup>a</sup>,All fields,Education,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,6.3
974,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,,,,,,
974,r030,All fields -> Humanities and arts -> Since bachelor's,All fields,Humanities and arts,Since bachelor's,3,12.3,12.0,11.7,11.5,11.0,11.0
974,r031,All fields -> Humanities and arts -> Since starting graduate school,All fields,Humanities and arts,Since starting graduate school,3,10.5,9.7,9.7,9.7,9.2,9.4
974,r032,All fields -> Humanities and arts -> Since starting doctoral program<sup>a</sup>,All fields,Humanities and arts,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,7.1
974,r033,All fields -> Other<sup>c</sup>,All fields,Other<sup>c</sup>,,2,,,,,,
974,r034,All fields -> Other<sup>c</sup> -> Since bachelor's,All fields,Other<sup>c</sup>,Since bachelor's,3,13.2,13.4,13.0,12.2,11.5,11.4
974,r035,All fields -> Other<sup>c</sup> -> Since starting graduate school,All fields,Other<sup>c</sup>,Since starting graduate school,3,10.7,10.2,10.2,9.4,8.9,9.3
974,r036,All fields -> Other<sup>c</sup> -> Since starting doctoral program<sup>a</sup>,All fields,Other<sup>c</sup>,Since starting doctoral program<sup>a</sup>,3,na,na,na,na,na,5.8
