table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_u_s_citizens_and_permanent_residents_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
7546,r001,All fields,All fields,,,,1,31674,100.0,9.0,0.3,9.5,7.7,67.4,3.4,1.2,1.5
7546,r002,All fields -> Science and engineering,All fields,Science and engineering,,,2,23906,100.0,9.1,0.3,10.7,6.1,67.9,3.5,1.2,1.3
7546,r003,All fields -> Science and engineering -> Agricultural sciences and natural resources,All fields,Science and engineering,Agricultural sciences and natural resources,,3,695,100.0,6.3,0.6,5.8,4.3,77.4,1.7,1.4,2.4
7546,r004,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,440,100.0,5.5,0.0,5.2,3.6,80.7,1.1,1.4,2.5
7546,r005,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,255,100.0,7.8,1.6,6.7,5.5,71.8,2.7,1.6,2.4
7546,r006,All fields -> Science and engineering -> Biological and biomedical sciences,All fields,Science and engineering,Biological and biomedical sciences,,3,5876,100.0,9.7,0.2,11.9,4.6,68.1,3.6,0.9,1.0
7546,r007,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,882,100.0,9.3,0.1,11.1,4.5,70.1,3.9,0.8,0.2
7546,r008,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,296,100.0,7.8,0.3,22.0,3.4,59.1,3.7,2.0,1.7
7546,r009,All fields -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,All fields,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,455,100.0,12.5,0.2,13.6,4.0,62.6,5.3,1.1,0.7
7546,r010,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,793,100.0,7.7,0.0,8.4,5.7,74.5,2.5,0.6,0.5
