table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_1996_top_1_,field_1996_top_5_,field_1996_top_10_,field_1997_top_1_,field_1997_top_5_,field_1997_top_10_,field_1998_top_1_,field_1998_top_5_,field_1998_top_10_,field_1999_top_1_,field_1999_top_5_,field_1999_top_10_,field_2000_top_1_,field_2000_top_5_,field_2000_top_10_,field_2001_top_1_,field_2001_top_5_,field_2001_top_10_,field_2002_top_1_,field_2002_top_5_,field_2002_top_10_,field_2003_top_1_,field_2003_top_5_,field_2003_top_10_,field_2004_top_1_,field_2004_top_5_,field_2004_top_10_,field_2005_top_1_,field_2005_top_5_,field_2005_top_10_,field_2006_top_1_,field_2006_top_5_,field_2006_top_10_,field_2007_top_1_,field_2007_top_5_,field_2007_top_10_,field_2008_top_1_,field_2008_top_5_,field_2008_top_10_,field_2009_top_1_,field_2009_top_5_,field_2009_top_10_,field_2010_top_1_,field_2010_top_5_,field_2010_top_10_,field_2011_top_1_,field_2011_top_5_,field_2011_top_10_,field_2012_top_1_,field_2012_top_5_,field_2012_top_10_,field_2013_top_1_,field_2013_top_5_,field_2013_top_10_,field_2014_top_1_,field_2014_top_5_,field_2014_top_10_,field_2015_top_1_,field_2015_top_5_,field_2015_top_10_,field_2016_top_1_,field_2016_top_5_,field_2016_top_10_
1853,r001,World,World,,,,1,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0,1.0,5.0,10.0
1853,r002,World -> Not United States,World,Not United States,,,2,0.62,3.5,7.46,0.62,3.54,7.53,0.62,3.55,7.55,0.63,3.59,7.65,0.64,3.63,7.72,0.64,3.65,7.78,0.65,3.72,7.84,0.64,3.66,7.81,0.65,3.71,7.89,0.67,3.77,7.99,0.67,3.81,8.02,0.69,3.84,8.09,0.68,3.86,8.12,0.69,3.88,8.16,0.69,3.88,8.19,0.69,3.92,8.26,0.7,3.94,8.26,0.71,3.98,8.35,0.71,3.98,8.36,0.72,4.0,8.4,0.74,4.09,8.52
1853,r003,World -> North America,World,North America,,,2,1.65,7.58,14.39,1.67,7.62,14.47,1.7,7.7,14.58,1.7,7.67,14.51,1.68,7.67,14.5,1.72,7.78,14.63,1.69,7.59,14.44,1.71,7.67,14.47,1.69,7.65,14.44,1.68,7.67,14.45,1.73,7.72,14.61,1.75,7.81,14.67,1.79,7.9,14.85,1.82,8.0,14.97,1.84,8.08,15.09,1.86,8.04,14.99,1.83,7.96,14.91,1.81,7.92,14.75,1.82,7.94,14.78,1.79,7.88,14.66,1.77,7.73,14.48
1853,r004,World -> North America -> Canada,World,North America,Canada,,3,1.5,7.02,13.73,1.47,7.13,13.74,1.43,7.05,13.9,1.5,6.94,13.63,1.34,6.97,13.68,1.41,6.99,13.85,1.35,6.75,13.35,1.46,7.04,13.82,1.53,7.13,13.97,1.56,7.41,14.34,1.67,7.65,14.72,1.75,7.69,14.54,1.74,7.88,15.02,1.8,8.0,15.11,1.87,8.05,15.25,2.01,8.44,15.7,2.0,8.2,15.13,1.94,8.3,15.33,2.01,8.41,15.5,2.07,8.46,15.44,2.12,8.62,15.61
1853,r005,World -> North America -> Greenland,World,North America,Greenland,,3,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,0.0,5.41,7.68,0.0,0.0,6.38,0.0,6.52,17.39,0.0,8.0,16.0,0.0,1.92,3.85,3.92,7.12,20.57,2.56,12.82,20.51,4.29,10.0,17.5,1.27,12.66,20.25,3.03,11.11,19.27,3.64,10.0,21.82,1.89,6.6,16.28,2.4,9.6,18.52,5.66,9.43,17.21
1853,r006,World -> North America -> Mexico,World,North America,Mexico,,3,0.32,2.87,6.46,0.46,3.04,6.48,0.48,2.6,6.41,0.65,2.8,6.76,0.56,3.1,6.71,0.58,2.88,6.58,0.41,2.62,6.17,0.42,2.86,6.5,0.47,2.96,6.84,0.52,3.06,6.93,0.64,2.99,6.65,0.56,3.03,6.8,0.71,3.42,6.88,0.69,3.48,6.92,0.75,3.27,7.01,0.82,3.76,7.64,0.92,3.68,7.35,0.95,3.9,7.58,0.93,3.57,6.81,0.98,3.58,7.11,0.91,3.86,7.49
1853,r007,World -> North America -> United States,World,North America,United States,,3,1.71,7.79,14.73,1.75,7.86,14.85,1.78,7.96,14.98,1.78,7.94,14.89,1.77,7.93,14.89,1.81,8.05,15.03,1.78,7.88,14.87,1.8,7.97,14.9,1.78,7.95,14.87,1.77,7.94,14.84,1.83,8.02,15.04,1.84,8.12,15.14,1.9,8.23,15.34,1.92,8.34,15.5,1.95,8.43,15.6,1.96,8.35,15.46,1.94,8.31,15.47,1.93,8.27,15.28,1.93,8.31,15.34,1.91,8.27,15.25,1.88,8.08,15.02
1853,r008,World -> Central America and Caribbean,World,Central America and Caribbean,,,2,0.92,3.67,7.37,0.63,3.51,6.88,0.66,3.44,7.42,0.74,3.48,7.0,0.46,3.01,6.29,0.67,3.39,6.6,0.66,3.58,6.8,0.74,3.2,6.72,0.65,3.4,7.12,0.83,4.06,8.1,0.93,3.74,7.9,0.85,3.52,7.78,1.07,4.21,7.89,1.08,4.34,8.03,0.98,4.27,8.47,1.33,5.05,9.21,1.35,4.94,9.09,1.53,4.82,9.11,1.49,5.21,9.02,1.78,5.9,9.93,1.5,5.8,10.62
1853,r009,World -> Central America and Caribbean -> Antigua and Barbuda,World,Central America and Caribbean,Antigua and Barbuda,,3,na,na,na,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
1853,r010,"World -> Central America and Caribbean -> Bahamas, The",World,Central America and Caribbean,"Bahamas, The",,3,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,0.0,4.44,11.11,0.0,9.76,14.63,0.0,2.44,7.32,2.94,3.35,11.76
