table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_received_as_a_subrecipient_total,field_received_as_a_subrecipient_federally_financed,field_received_as_a_subrecipient_nonfederally_financed,field_passed_through_to_subrecipients_total,field_passed_through_to_subrecipients_federally_financed,field_passed_through_to_subrecipients_nonfederally_financed
12734,r001,United States,United States,,,,1,"['18,865', '']","['17,078', '']","['1,787', '']","['2,850', '']","['1,807', '']","['1,043', '']"
12734,r002,United States -> Alabama,United States,Alabama,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r004,"United States -> Alabama -> Public -> Auburn U., Montgomery",United States,Alabama,Public,"Auburn U., Montgomery",4,"['52', '']","['52', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r005,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['177', '']","['177', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r006,United States -> Alabama -> Public -> U. North Alabama,United States,Alabama,Public,U. North Alabama,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r007,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r008,"United States -> Alabama -> Private -> Alabama C., Osteopathic Medicine",United States,Alabama,Private,"Alabama C., Osteopathic Medicine",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r009,United States -> Alabama -> Private -> Oakwood U.,United States,Alabama,Private,Oakwood U.,4,"['53', '']","['53', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r010,United States -> Arizona,United States,Arizona,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r011,United States -> Arizona -> Private,United States,Arizona,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r012,United States -> Arizona -> Private -> Sonoran U. Health Sciences,United States,Arizona,Private,Sonoran U. Health Sciences,4,"['0', '']","['0', '']","['0', '']","['50', '']","['0', '']","['50', '']"
12734,r013,United States -> Arkansas,United States,Arkansas,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r014,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r015,United States -> Arkansas -> Public -> Arkansas Tech U.,United States,Arkansas,Public,Arkansas Tech U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r016,United States -> Arkansas -> Public -> Southern Arkansas U.,United States,Arkansas,Public,Southern Arkansas U.,4,"['69', '']","['69', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r017,United States -> Arkansas -> Private,United States,Arkansas,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r018,United States -> Arkansas -> Private -> Arkansas C. of Health Education,United States,Arkansas,Private,Arkansas C. of Health Education,4,"['69', '']","['69', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r019,United States -> Arkansas -> Private -> Hendrix C.,United States,Arkansas,Private,Hendrix C.,4,"['350', '']","['350', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r020,United States -> Arkansas -> Private -> Ouachita Baptist U.,United States,Arkansas,Private,Ouachita Baptist U.,4,"['378', '']","['378', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r021,United States -> California,United States,California,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r022,United States -> California -> Public,United States,California,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r023,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['25', '']","['10', '']","['15', '']","['5', '']","['5', '']","['0', '']"
12734,r024,United States -> California -> Private,United States,California,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r025,United States -> California -> Private -> California Baptist U.,United States,California,Private,California Baptist U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r026,United States -> California -> Private -> California Lutheran U.,United States,California,Private,California Lutheran U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r027,United States -> California -> Private -> Dominican U. California,United States,California,Private,Dominican U. California,4,"['60', 'i']","['60', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12734,r028,United States -> California -> Private -> Fuller Theological Seminary,United States,California,Private,Fuller Theological Seminary,4,"['75', '']","['75', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r029,United States -> California -> Private -> Life Chiropractic C.-West,United States,California,Private,Life Chiropractic C.-West,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r030,United States -> California -> Private -> Palo Alto U.,United States,California,Private,Palo Alto U.,4,"['189', 'i']","['189', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12734,r031,United States -> California -> Private -> Pitzer C.,United States,California,Private,Pitzer C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r032,United States -> California -> Private -> Point Loma Nazarene U.,United States,California,Private,Point Loma Nazarene U.,4,"['20', '']","['20', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r033,United States -> California -> Private -> Southern California U. of Health Sciences,United States,California,Private,Southern California U. of Health Sciences,4,"['101', '']","['101', '']","['0', '']","['60', '']","['60', '']","['0', '']"
12734,r034,United States -> California -> Private -> Westmont C.,United States,California,Private,Westmont C.,4,"['116', 'i']","['116', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12734,r035,United States -> California -> Private -> Whittier C.,United States,California,Private,Whittier C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r036,United States -> Colorado,United States,Colorado,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r037,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r038,United States -> Colorado -> Public -> Colorado Mesa U.,United States,Colorado,Public,Colorado Mesa U.,4,"['89', '']","['89', '']","['0', '']","['28', '']","['28', '']","['0', '']"
12734,r039,United States -> Colorado -> Public -> Metropolitan State U. of Denver,United States,Colorado,Public,Metropolitan State U. of Denver,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r040,United States -> Colorado -> Public -> Western Colorado U.,United States,Colorado,Public,Western Colorado U.,4,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12734,r041,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r042,United States -> Colorado -> Private -> Regis U.,United States,Colorado,Private,Regis U.,4,"['119', '']","['119', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r043,United States -> Connecticut,United States,Connecticut,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r044,United States -> Connecticut -> Public,United States,Connecticut,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r045,United States -> Connecticut -> Public -> Western Connecticut State U.,United States,Connecticut,Public,Western Connecticut State U.,4,"['24', '']","['24', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r046,United States -> Connecticut -> Private,United States,Connecticut,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r047,United States -> Connecticut -> Private -> Quinnipiac U.,United States,Connecticut,Private,Quinnipiac U.,4,"['92', 'i']","['88', 'i']","['4', 'i']","['50', 'i']","['47', 'i']","['3', 'i']"
12734,r048,United States -> Connecticut -> Private -> U. Bridgeport,United States,Connecticut,Private,U. Bridgeport,4,"['52', '']","['52', '']","['0', '']","['43', '']","['43', '']","['0', '']"
12734,r049,United States -> Florida,United States,Florida,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r050,United States -> Florida -> Private,United States,Florida,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r051,United States -> Florida -> Private -> Barry U.,United States,Florida,Private,Barry U.,4,"['72', '']","['24', '']","['48', '']","['53', '']","['0', '']","['53', '']"
12734,r052,United States -> Florida -> Private -> Bethune-Cookman U.,United States,Florida,Private,Bethune-Cookman U.,4,"['463', '']","['463', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r053,United States -> Florida -> Private -> Eckerd C.,United States,Florida,Private,Eckerd C.,4,"['29', '']","['27', '']","['2', '']","['25', '']","['25', '']","['0', '']"
12734,r054,United States -> Florida -> Private -> Jacksonville U.,United States,Florida,Private,Jacksonville U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r055,United States -> Florida -> Private -> Keiser U.,United States,Florida,Private,Keiser U.,4,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12734,r056,United States -> Florida -> Private -> Rollins C.,United States,Florida,Private,Rollins C.,4,"['77', '']","['77', '']","['0', '']","['24', '']","['24', '']","['0', '']"
12734,r057,United States -> Florida -> Private -> Stetson U.,United States,Florida,Private,Stetson U.,4,"['126', '']","['126', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r058,United States -> Florida -> Private -> U. Tampa,United States,Florida,Private,U. Tampa,4,"['0', '']","['0', '']","['0', '']","['10', '']","['10', '']","['0', '']"
12734,r059,United States -> Georgia,United States,Georgia,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r060,United States -> Georgia -> Public,United States,Georgia,Public,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r061,United States -> Georgia -> Public -> Clayton State U.,United States,Georgia,Public,Clayton State U.,4,"['344', '']","['307', '']","['37', '']","['0', '']","['0', '']","['0', '']"
12734,r062,United States -> Georgia -> Public -> Columbus State U.,United States,Georgia,Public,Columbus State U.,4,"['16', '']","['16', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r063,United States -> Georgia -> Public -> Georgia C. and State U.,United States,Georgia,Public,Georgia C. and State U.,4,"['17', '']","['10', '']","['7', '']","['7', '']","['7', '']","['0', '']"
12734,r064,United States -> Georgia -> Public -> Georgia Gwinnett C.,United States,Georgia,Public,Georgia Gwinnett C.,4,"['38', '']","['38', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r065,United States -> Georgia -> Public -> U. West Georgia,United States,Georgia,Public,U. West Georgia,4,"['0', '']","['0', '']","['0', '']","['55', '']","['12', '']","['43', '']"
12734,r066,United States -> Georgia -> Public -> Valdosta State U.,United States,Georgia,Public,Valdosta State U.,4,"['66', '']","['66', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r067,United States -> Georgia -> Private,United States,Georgia,Private,,3,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12734,r068,United States -> Georgia -> Private -> Agnes Scott C.,United States,Georgia,Private,Agnes Scott C.,4,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12734,r069,United States -> Georgia -> Private -> Berry C.,United States,Georgia,Private,Berry C.,4,"['30', '']","['30', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12734,r070,United States -> Georgia -> Private -> Life U.,United States,Georgia,Private,Life U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
