table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
4576,r001,2001,Total,All R&D expenditures,,2,10071
4576,r002,2001,Total,Basic research,Amount,3,3875
4576,r003,2001,Total,Basic research,Percent,3,38.5
4576,r004,2001,Total,Applied research,Amount,3,na
4576,r005,2001,Total,Applied research,Percent,3,na
4576,r006,2001,Total,Experimental development,Amount,3,na
4576,r007,2001,Total,Experimental development,Percent,3,na
4576,r008,2001,Federally financed,All R&D expenditures,,2,9709
4576,r009,2001,Federally financed,Basic research,Amount,3,3726
4576,r010,2001,Federally financed,Basic research,Percent,3,38.4
4576,r011,2001,Federally financed,Applied research,Amount,3,na
4576,r012,2001,Federally financed,Applied research,Percent,3,na
4576,r013,2001,Federally financed,Experimental development,Amount,3,na
4576,r014,2001,Federally financed,Experimental development,Percent,3,na
4576,r015,2002,Total,All R&D expenditures,,2,11536
4576,r016,2002,Total,Basic research,Amount,3,4744
4576,r017,2002,Total,Basic research,Percent,3,41.1
4576,r018,2002,Total,Applied research,Amount,3,na
4576,r019,2002,Total,Applied research,Percent,3,na
4576,r020,2002,Total,Experimental development,Amount,3,na
4576,r021,2002,Total,Experimental development,Percent,3,na
4576,r022,2002,Federally financed,All R&D expenditures,,2,11095
4576,r023,2002,Federally financed,Basic research,Amount,3,4523
4576,r024,2002,Federally financed,Basic research,Percent,3,40.8
4576,r025,2002,Federally financed,Applied research,Amount,3,na
4576,r026,2002,Federally financed,Applied research,Percent,3,na
4576,r027,2002,Federally financed,Experimental development,Amount,3,na
4576,r028,2002,Federally financed,Experimental development,Percent,3,na
4576,r029,2003,Total,All R&D expenditures,,2,12127
4576,r030,2003,Total,Basic research,Amount,3,5122
4576,r031,2003,Total,Basic research,Percent,3,42.2
4576,r032,2003,Total,Applied research,Amount,3,na
4576,r033,2003,Total,Applied research,Percent,3,na
4576,r034,2003,Total,Experimental development,Amount,3,na
4576,r035,2003,Total,Experimental development,Percent,3,na
4576,r036,2003,Federally financed,All R&D expenditures,,2,11681
4576,r037,2003,Federally financed,Basic research,Amount,3,4880
4576,r038,2003,Federally financed,Basic research,Percent,3,41.8
4576,r039,2003,Federally financed,Applied research,Amount,3,na
4576,r040,2003,Federally financed,Applied research,Percent,3,na
4576,r041,2003,Federally financed,Experimental development,Amount,3,na
4576,r042,2003,Federally financed,Experimental development,Percent,3,na
4576,r043,2004,Total,All R&D expenditures,,2,12632
4576,r044,2004,Total,Basic research,Amount,3,4931
4576,r045,2004,Total,Basic research,Percent,3,39.0
4576,r046,2004,Total,Applied research,Amount,3,na
4576,r047,2004,Total,Applied research,Percent,3,na
4576,r048,2004,Total,Experimental development,Amount,3,na
4576,r049,2004,Total,Experimental development,Percent,3,na
4576,r050,2004,Federally financed,All R&D expenditures,,2,12322
4576,r051,2004,Federally financed,Basic research,Amount,3,4790
4576,r052,2004,Federally financed,Basic research,Percent,3,38.9
4576,r053,2004,Federally financed,Applied research,Amount,3,na
4576,r054,2004,Federally financed,Applied research,Percent,3,na
4576,r055,2004,Federally financed,Experimental development,Amount,3,na
4576,r056,2004,Federally financed,Experimental development,Percent,3,na
4576,r057,2005,Total,All R&D expenditures,,2,13255
4576,r058,2005,Total,Basic research,Amount,3,5110
4576,r059,2005,Total,Basic research,Percent,3,38.5
4576,r060,2005,Total,Applied research,Amount,3,na
4576,r061,2005,Total,Applied research,Percent,3,na
4576,r062,2005,Total,Experimental development,Amount,3,na
4576,r063,2005,Total,Experimental development,Percent,3,na
4576,r064,2005,Federally financed,All R&D expenditures,,2,12917
4576,r065,2005,Federally financed,Basic research,Amount,3,4977
4576,r066,2005,Federally financed,Basic research,Percent,3,38.5
4576,r067,2005,Federally financed,Applied research,Amount,3,na
4576,r068,2005,Federally financed,Applied research,Percent,3,na
4576,r069,2005,Federally financed,Experimental development,Amount,3,na
4576,r070,2005,Federally financed,Experimental development,Percent,3,na
4576,r071,2006,Total,All R&D expenditures,,2,13218
4576,r072,2006,Total,Basic research,Amount,3,5197
4576,r073,2006,Total,Basic research,Percent,3,39.3
4576,r074,2006,Total,Applied research,Amount,3,na
4576,r075,2006,Total,Applied research,Percent,3,na
4576,r076,2006,Total,Experimental development,Amount,3,na
4576,r077,2006,Total,Experimental development,Percent,3,na
4576,r078,2006,Federally financed,All R&D expenditures,,2,12825
4576,r079,2006,Federally financed,Basic research,Amount,3,5048
4576,r080,2006,Federally financed,Basic research,Percent,3,39.4
4576,r081,2006,Federally financed,Applied research,Amount,3,na
4576,r082,2006,Federally financed,Applied research,Percent,3,na
4576,r083,2006,Federally financed,Experimental development,Amount,3,na
4576,r084,2006,Federally financed,Experimental development,Percent,3,na
4576,r085,2007<sup>a</sup>,Total,All R&D expenditures,,2,13825
4576,r086,2007<sup>a</sup>,Total,Basic research,Amount,3,5296
4576,r087,2007<sup>a</sup>,Total,Basic research,Percent,3,38.3
4576,r088,2007<sup>a</sup>,Total,Applied research,Amount,3,3479
