table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
6088,r001,All detailed fields,All detailed fields,,,,1,697813,48.4,414478,51.2,283335,44.3,65681,41.8,29661,41.8
6088,r002,All detailed fields -> Science,All detailed fields,Science,,,2,464646,51.1,267904,53.1,196742,48.5,38741,41.2,18212,41.6
6088,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,10800,59.2,6487,62.3,4313,54.6,1678,48.7,964,48.9
6088,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9380,57.7,5589,60.4,3791,53.6,1046,42.4,650,44.2
6088,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1420,69.7,898,74.3,522,61.9,632,59.2,314,58.6
6088,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,94825,60.0,39920,65.1,54905,56.3,21902,45.3,8112,47.3
6088,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5537,51.9,889,55.7,4648,51.2,1863,39.9,800,40.5
6088,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15649,60.2,8381,64.0,7268,55.8,2169,45.4,776,47.4
6088,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10412,62.1,5898,64.5,4514,58.9,1879,48.0,406,43.8
6088,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,868,38.6,8,62.5,860,38.4,147,33.3,66,28.8
6088,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6482,51.4,3143,57.4,3339,45.8,830,39.5,380,42.9
6088,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3244,59.7,3143,59.6,101,65.3,96,39.6,95,40.0
6088,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1631,53.3,376,55.6,1255,52.7,579,43.7,258,45.0
6088,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,5962,56.9,954,60.3,5008,56.2,1661,46.7,548,46.9
6088,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3777,59.5,1052,62.5,2725,58.3,467,48.0,230,42.2
6088,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,5185,73.2,3153,74.3,2032,71.4,307,60.3,126,63.5
6088,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2802,61.6,620,80.5,2182,56.2,1485,43.6,545,46.2
6088,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,5773,60.1,1649,67.0,4124,57.3,2028,48.1,750,52.7
6088,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1618,58.2,378,65.9,1240,55.9,722,40.9,225,36.4
6088,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,5820,57.6,545,65.0,5275,56.9,2075,45.1,789,48.5
6088,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,3359,85.0,2370,87.4,989,79.3,191,62.8,143,57.3
6088,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,858,61.4,105,72.4,753,59.9,1263,43.2,401,55.4
6088,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,2944,60.6,770,67.4,2174,58.2,1026,45.6,394,45.7
6088,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,5802,56.4,3044,58.3,2758,54.2,1804,48.4,731,52.9
6088,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,2047,56.2,869,59.1,1178,54.0,397,42.3,137,45.3
6088,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,5055,62.4,2573,66.2,2482,58.4,913,45.6,312,47.8
6088,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,98864,31.1,80690,32.0,18174,26.9,823,21.4,458,24.5
6088,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",4,4375,37.6,3419,38.4,956,34.6,37,29.7,43,25.6
6088,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,4,29107,25.4,23625,25.8,5482,23.7,187,17.6,104,20.2
6088,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,4,7293,26.7,7023,26.9,270,23.0,6,66.7,2,0.0
6088,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,32328,27.1,22670,28.3,9658,24.4,466,18.9,218,21.1
6088,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,4,12916,47.0,11671,46.8,1245,49.4,40,27.5,21,52.4
6088,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,4,6023,42.5,5618,42.4,405,43.0,18,61.1,14,35.7
6088,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,4,6822,34.2,6664,34.3,158,29.7,69,26.1,56,32.1
6088,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,11792,48.9,5277,50.0,6515,48.1,1790,39.9,2150,31.0
6088,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,4,1305,39.6,458,40.2,847,39.3,266,33.5,461,26.2
6088,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,7726,46.3,3561,46.3,4165,46.4,879,37.7,1046,31.6
6088,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,4,2761,60.6,1258,64.1,1503,57.7,360,49.2,330,40.3
6088,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,ne,ne,ne,ne,ne,ne,285,41.1,313,26.2
6088,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,3,31971,36.2,18284,41.1,13687,29.6,1076,21.0,201,31.3
6088,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,4,8889,36.7,6678,38.2,2211,32.3,207,19.3,50,32.0
6088,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,4,12469,31.3,4380,40.5,8089,26.4,717,20.9,94,28.7
6088,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,4,10613,41.4,7226,44.2,3387,35.5,152,23.7,57,35.1
6088,r044,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,,3,14533,52.4,10980,52.4,3553,52.6,832,45.8,679,39.5
6088,r045,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Biological and physical sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Biological and physical sciences,4,1808,56.8,993,58.2,815,55.1,119,44.5,56,41.1
6088,r046,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Computational science,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Computational science,4,2266,30.4,1968,31.4,298,24.2,26,42.3,38,13.2
6088,r047,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Data science and data analytics,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Data science and data analytics,4,2166,38.2,2124,38.3,42,33.3,57,38.6,22,27.3
6088,r048,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> International and global studies,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,International and global studies,4,1514,54.1,1341,53.3,173,60.1,13,61.5,16,62.5
6088,r049,All detailed fields -> Science -> Multidisciplinary and interdisciplinary studies -> Multidisciplinary and interdisciplinary studies nec,All detailed fields,Science,Multidisciplinary and interdisciplinary studies,Multidisciplinary and interdisciplinary studies nec,4,6779,62.8,4554,66.4,2225,55.3,617,46.5,547,41.0
6088,r050,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,3,12498,58.7,8793,60.0,3705,55.6,845,43.0,573,39.3
6088,r051,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,4,5866,61.7,4067,62.6,1799,59.8,279,47.3,167,43.1
6088,r052,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",4,6632,56.0,4726,57.8,1906,51.7,566,40.8,406,37.7
6088,r053,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,3,42616,35.2,6275,39.5,36341,34.5,6937,24.7,2890,22.7
6088,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,4,1506,43.0,76,39.5,1430,43.1,544,29.0,569,20.7
6088,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,4,22485,43.7,3096,48.9,19389,42.9,3294,27.3,906,27.6
6088,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,4,1492,32.6,464,30.2,1028,33.8,225,24.9,73,20.5
6088,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,4,16126,22.0,2141,23.3,13985,21.8,2676,20.7,1151,19.6
6088,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,4,1007,49.1,498,59.8,509,38.5,198,24.7,191,24.1
6088,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,3,68394,79.0,47279,81.1,21115,74.3,1312,63.9,749,66.5
6088,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,4,22506,79.8,17673,80.8,4833,76.1,92,71.7,64,65.6
6088,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,4,7148,79.5,3480,81.2,3668,77.9,84,67.9,16,75.0
6088,r062,All detailed fields -> Science -> Psychology -> Counseling psychology,All detailed fields,Science,Psychology,Counseling psychology,4,17339,82.0,15979,82.4,1360,77.2,31,77.4,26,73.1
6088,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,4,2241,88.8,1499,91.1,742,84.1,122,76.2,137,83.2
6088,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",4,13427,74.6,6826,76.6,6601,72.6,722,61.5,348,61.5
