table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
2083,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['30,450', '  ']","['2,349', '  ']","['1,629', '  ']","['147', '  ']","['496', '  ']","['224', '  ']"
2083,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['17,235', '  ']","['1,352', '  ']","['984', '  ']","['98', '  ']","['232', '  ']","['137', '  ']"
2083,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,845', '  ']","['35', '  ']","['22', '  ']","['2', 'i ']","['8', '  ']","['5', '  ']"
2083,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['868', '  ']","['7', '  ']","['5', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
2083,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['407', '  ']","['8', '  ']","['3', '  ']","['*', '  ']","['3', '  ']","['2', '  ']"
2083,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['83', '  ']","['3', '  ']","['1', '  ']","['*', '  ']","['2', '  ']","['1', '  ']"
2083,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['395', '  ']","['12', '  ']","['9', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
2083,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['243', '  ']","['3', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['1', '  ']"
2083,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['76', '  ']","['3', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2083,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,211', '  ']","['245', '  ']","['164', '  ']","['38', '  ']","['44', '  ']","['36', '  ']"
2083,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['311', '  ']","['23', '  ']","['13', '  ']","['4', '  ']","['7', '  ']","['3', '  ']"
2083,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['134', '  ']","['7', '  ']","['4', '  ']","['1', '  ']","['2', '  ']","['*', '  ']"
2083,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['84', '  ']","['7', '  ']","['5', '  ']","['1', 'i ']","['2', '  ']","['*', '  ']"
2083,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['889', '  ']","['170', '  ']","['114', '  ']","['29', '  ']","['27', '  ']","['29', '  ']"
2083,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['474', '  ']","['18', '  ']","['14', '  ']","['2', '  ']","['2', '  ']","['2', '  ']"
2083,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['320', '  ']","['20', '  ']","['13', '  ']","['1', '  ']","['5', '  ']","['2', '  ']"
2083,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['695', '  ']","['35', '  ']","['19', '  ']","['3', '  ']","['12', '  ']","['4', '  ']"
2083,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['185', '  ']","['8', '  ']","['5', '  ']","['1', 'i ']","['2', '  ']","['1', '  ']"
2083,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['303', '  ']","['10', '  ']","['5', '  ']","['*', '  ']","['3', '  ']","['3', '  ']"
