table_id,row_id,institution_type_full_path,institution_type_level_1,institution_type_level_2,institution_type_hierarchy_depth,field_public_ecds_sample_total_sample_size,field_public_ecds_sample_number_of_respondents,field_public_ecds_sample_unweighted_response_ratea
3817,r001,Overall,Overall,,1,15465,8713,65.1
3817,r002,Overall -> Academic institution,Overall,Academic institution,2,14489,8030,64.5
3817,r003,Overall ->  Very high research activity university,Overall, Very high research activity university,2,6631,3404,61.1
3817,r004,Overall ->  High research activity university,Overall, High research activity university,2,3359,1895,66.1
3817,r005,Overall ->  Other college or university,Overall, Other college or university,2,4499,2731,68.4
3817,r006,Overall -> FFRDC,Overall,FFRDC,2,976,683,73.4
