table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10472,r001,All tribal institutions ,All tribal institutions ,,1,34174,15863,0,0,12342,5969
10472,r002,All tribal institutions  -> Din&#233; C. ,All tribal institutions ,Din&#233; C. ,2,4809,2606,0,0,1237,966
10472,r003,All tribal institutions  -> Sitting Bull C. ,All tribal institutions ,Sitting Bull C. ,2,3500,1750,0,0,1750,0
10472,r004,All tribal institutions  -> Navajo Technical U. ,All tribal institutions ,Navajo Technical U. ,2,3343,2244,0,0,923,176
10472,r005,All tribal institutions  -> Northwest Indian C. ,All tribal institutions ,Northwest Indian C. ,2,2893,1990,0,0,672,231
10472,r006,All tribal institutions  -> Salish Kootenai C. ,All tribal institutions ,Salish Kootenai C. ,2,2811,1419,0,0,1102,290
10472,r007,All tribal institutions  -> Aaniiih Nakoda C. ,All tribal institutions ,Aaniiih Nakoda C. ,2,2333,1218,0,0,1116,0
10472,r008,All tribal institutions  -> United Tribes Technical C. ,All tribal institutions ,United Tribes Technical C. ,2,1524,955,0,0,228,340
10472,r009,All tribal institutions  -> Keweenaw Bay Ojibwa Community C. ,All tribal institutions ,Keweenaw Bay Ojibwa Community C. ,2,1216,546,0,0,333,337
10472,r010,All tribal institutions  -> Fond du Lac Tribal and Community C. ,All tribal institutions ,Fond du Lac Tribal and Community C. ,2,1169,659,0,0,244,266
10472,r011,All tribal institutions  -> Lac Courte Oreilles Ojibwe C. ,All tribal institutions ,Lac Courte Oreilles Ojibwe C. ,2,1161,273,0,0,663,225
10472,r012,All tribal institutions  -> C. Menominee Nation ,All tribal institutions ,C. Menominee Nation ,2,1089,366,0,0,498,224
10472,r013,All tribal institutions  -> Fort Peck Community C. ,All tribal institutions ,Fort Peck Community C. ,2,1082,713,0,0,129,240
10472,r014,All tribal institutions  -> Blackfeet Community C. ,All tribal institutions ,Blackfeet Community C. ,2,902,48,0,0,201,653
10472,r015,All tribal institutions  -> Stone Child C. ,All tribal institutions ,Stone Child C. ,2,824,68,0,0,332,423
10472,r016,All tribal institutions  -> Nueta Hidatsa Sahnish C. ,All tribal institutions ,Nueta Hidatsa Sahnish C. ,2,684,117,0,0,300,267
10472,r017,All tribal institutions  -> Turtle Mountain Community C. ,All tribal institutions ,Turtle Mountain Community C. ,2,555,219,0,0,337,0
10472,r018,All tribal institutions  -> Little Priest Tribal C. ,All tribal institutions ,Little Priest Tribal C. ,2,500,0,0,0,500,0
10472,r019,All tribal institutions  -> Tohono O'odham Community C. ,All tribal institutions ,Tohono O'odham Community C. ,2,500,250,0,0,250,0
10472,r020,All tribal institutions  -> Leech Lake Tribal C. ,All tribal institutions ,Leech Lake Tribal C. ,2,472,142,0,0,90,240
10472,r021,All tribal institutions  -> Nebraska Indian Community C. ,All tribal institutions ,Nebraska Indian Community C. ,2,463,71,0,0,152,240
10472,r022,All tribal institutions  -> Chief Dull Knife C. ,All tribal institutions ,Chief Dull Knife C. ,2,400,0,0,0,400,0
10472,r023,All tribal institutions  -> Little Big Horn C. ,All tribal institutions ,Little Big Horn C. ,2,369,45,0,0,45,279
10472,r024,All tribal institutions  -> Oglala Lakota C. ,All tribal institutions ,Oglala Lakota C. ,2,369,19,0,0,109,240
10472,r025,All tribal institutions  -> Southwestern Indian Polytechnic Institute ,All tribal institutions ,Southwestern Indian Polytechnic Institute ,2,369,43,0,0,151,174
10472,r026,All tribal institutions  -> Sinte Gleska U. ,All tribal institutions ,Sinte Gleska U. ,2,369,60,0,0,152,157
10472,r027,All tribal institutions  -> Sisseton Wahpeton C. ,All tribal institutions ,Sisseton Wahpeton C. ,2,200,0,0,0,200,0
10472,r028,All tribal institutions  -> Bay Mills Community C. ,All tribal institutions ,Bay Mills Community C. ,2,133,0,0,0,133,0
10472,r029,All tribal institutions  -> C. Muscogee Nation ,All tribal institutions ,C. Muscogee Nation ,2,129,32,0,0,96,0
10472,r030,All tribal institutions  -> Institute of American Indian and Alaska Native Culture and Arts Development ,All tribal institutions ,Institute of American Indian and Alaska Native Culture and Arts Development ,2,10,10,0,0,0,0
