table_id,row_id,subfield_of_study_full_path,subfield_of_study_level_1,subfield_of_study_level_2,subfield_of_study_level_3,subfield_of_study_level_4,subfield_of_study_level_5,subfield_of_study_hierarchy_depth,field_all_doctorate_recipientsa,field_temporary_visa_holders,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1746,r001,All fields,All fields,,,,,1,55195,17604,35404,2582,115,3305,2456,24951,1102,371,522
1746,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12780,3364,9041,663,21,997,587,6277,285,104,107
1746,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1445,609,793,50,1,44,45,608,24,7,14
1746,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,,4,875,444,415,27,0,26,17,322,15,4,4
1746,r005,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,Agricultural economics,5,108,74,33,0,0,2,4,25,2,0,0
1746,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",5,349,173,170,12,0,8,4,135,8,1,2
1746,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal nutrition, poultry science",5,68,29,36,3,0,1,0,29,1,2,0
1746,r008,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal sciences, other",5,121,44,75,3,0,4,1,63,1,1,2
1746,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Food science, food technology-other",5,163,94,67,6,0,11,7,40,3,0,0
1746,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Soil chemistry and microbiology, soil sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Soil chemistry and microbiology, soil sciences-other",5,66,30,34,3,0,0,1,30,0,0,0
1746,r011,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,,4,503,139,340,22,1,16,25,255,9,3,9
1746,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Environmental science,5,223,57,147,13,1,10,17,92,6,2,6
1746,r013,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Fishing and fisheries sciences and management,5,51,8,43,2,0,1,2,37,1,0,0
1746,r014,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Forest biology, forest management, forestry sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,"Forest biology, forest management, forestry sciences-other",5,93,34,58,3,0,2,3,47,0,1,2
1746,r015,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Natural resources policy and environmental economics,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Natural resources policy and environmental economics,5,78,27,50,2,0,3,2,42,1,0,0
1746,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Natural resources and conservation, wildlife and range management",All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,"Natural resources and conservation, wildlife and range management",5,58,13,42,2,0,0,1,37,1,0,1
1746,r017,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences, aggregated",All fields,Life sciences,Agricultural sciences and natural resources ,"Agricultural sciences, aggregated",,4,67,26,38,1,0,2,3,31,0,0,1
1746,r018,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8801,2160,6406,499,11,778,306,4461,210,77,64
1746,r019,"All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy, developmental biology",All fields,Life sciences,Biological and biomedical sciences,"Anatomy, developmental biology",,4,158,43,111,12,0,16,4,73,5,0,1
1746,r020,"All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology, parasitology, and virology",All fields,Life sciences,Biological and biomedical sciences,"Bacteriology, parasitology, and virology",,4,149,37,111,6,0,8,6,84,7,0,0
1746,r021,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,811,244,542,39,0,63,22,383,20,5,10
1746,r022,All fields -> Life sciences -> Biological and biomedical sciences -> Bioinformatics,All fields,Life sciences,Biological and biomedical sciences,Bioinformatics,,4,203,84,112,3,0,28,6,67,5,1,2
1746,r023,All fields -> Life sciences -> Biological and biomedical sciences -> Biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,Biomedical sciences,,4,421,118,297,30,0,39,26,183,12,4,3
1746,r024,All fields -> Life sciences -> Biological and biomedical sciences -> Biometrics and biostatistics,All fields,Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,,4,233,118,113,5,0,33,4,67,1,2,1
