table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12391,r001,All states,All states,,1,"['140,757', '  ']","['137,947', '  ']","['136,206', '  ']"
12391,r002,All states -> Alabama,All states,Alabama,2,"['701', '  ']","['773', '  ']","['467', '  ']"
12391,r003,All states -> Alaska,All states,Alaska,2,"['219', '  ']","['175', '  ']","['148', '  ']"
12391,r004,All states -> Arizona,All states,Arizona,2,"['812', '  ']","['857', '  ']","['961', '  ']"
12391,r005,All states -> Arkansas,All states,Arkansas,2,"['272', 'i ']","['539', 'i ']","['92', '  ']"
12391,r006,All states -> California,All states,California,2,"['19,337', '  ']","['12,868', '  ']","['11,704', '  ']"
12391,r007,All states -> Colorado,All states,Colorado,2,"['1,286', '  ']","['1,496', '  ']","['1,836', '  ']"
12391,r008,All states -> Connecticut,All states,Connecticut,2,"['631', 'i ']","['325', '  ']","['388', '  ']"
12391,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
12391,r010,All states -> District of Columbia,All states,District of Columbia,2,"['6,274', '  ']","['5,159', '  ']","['5,017', '  ']"
12391,r011,All states -> Florida,All states,Florida,2,"['2,954', 'i ']","['4,483', 'i ']","['4,171', 'i ']"
12391,r012,All states -> Georgia,All states,Georgia,2,"['627', '  ']","['618', '  ']","['590', '  ']"
12391,r013,All states -> Hawaii,All states,Hawaii,2,"['567', '  ']","['226', '  ']","['171', '  ']"
12391,r014,All states -> Idaho,All states,Idaho,2,"['116', '  ']","['592', '  ']","['193', '  ']"
12391,r015,All states -> Illinois,All states,Illinois,2,"['2,857', '  ']","['2,513', '  ']","['1,571', '  ']"
12391,r016,All states -> Indiana,All states,Indiana,2,"['168', '  ']","['280', '  ']","['102', '  ']"
12391,r017,All states -> Iowa,All states,Iowa,2,"['10', '  ']","['43', '  ']","['43', '  ']"
12391,r018,All states -> Kansas,All states,Kansas,2,"['72', '  ']","['108', '  ']","['139', '  ']"
12391,r019,All states -> Kentucky,All states,Kentucky,2,"['35', '  ']","['79', '  ']","['40', '  ']"
12391,r020,All states -> Louisiana,All states,Louisiana,2,"['296', 'i ']","['191', '  ']","['743', '  ']"
12391,r021,All states -> Maine,All states,Maine,2,"['1,172', '  ']","['1,358', '  ']","['1,479', '  ']"
12391,r022,All states -> Maryland,All states,Maryland,2,"['5,268', '  ']","['5,837', '  ']","['6,280', '  ']"
12391,r023,All states -> Massachusetts,All states,Massachusetts,2,"['23,813', '  ']","['23,292', '  ']","['24,365', '  ']"
12391,r024,All states -> Michigan,All states,Michigan,2,"['2,386', '  ']","['1,236', '  ']","['1,415', '  ']"
12391,r025,All states -> Minnesota,All states,Minnesota,2,"['7,986', 'i ']","['14,563', 'i ']","['12,269', 'i ']"
12391,r026,All states -> Mississippi,All states,Mississippi,2,"['10', '  ']","['10', '  ']","['12', '  ']"
12391,r027,All states -> Missouri,All states,Missouri,2,"['1,030', 'i ']","['428', '  ']","['943', 'i ']"
12391,r028,All states -> Montana,All states,Montana,2,"['29', '  ']","['37', '  ']","['68', '  ']"
12391,r029,All states -> Nebraska,All states,Nebraska,2,"['154', '  ']","['38', '  ']","['113', '  ']"
12391,r030,All states -> Nevada,All states,Nevada,2,"['46', '  ']","['140', '  ']","['69', '  ']"
12391,r031,All states -> New Hampshire,All states,New Hampshire,2,"['110', '  ']","['98', '  ']","['133', '  ']"
12391,r032,All states -> New Jersey,All states,New Jersey,2,"['442', '  ']","['1,231', '  ']","['1,214', '  ']"
12391,r033,All states -> New Mexico,All states,New Mexico,2,"['506', 'i ']","['143', '  ']","['132', '  ']"
12391,r034,All states -> New York,All states,New York,2,"['12,602', '  ']","['14,278', '  ']","['13,949', '  ']"
12391,r035,All states -> North Carolina,All states,North Carolina,2,"['6,799', '  ']","['2,664', '  ']","['5,415', '  ']"
12391,r036,All states -> North Dakota,All states,North Dakota,2,"['16', '  ']","['4', '  ']","['10', '  ']"
