table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_foreign_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2066,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['61,065', '  ']","['17,494', '  ']","['15,426', '  ']","['2,978', '  ']","['24,277', 'i ']","['121', '  ']","['7', '  ']","['70', 'i ']","['24', 'i ']","['521', 'i ']","['147', '  ']"
2066,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['41,072', '  ']","['6,229', '  ']","['13,315', '  ']","['2,119', '  ']","['18,889', 'i ']","['27', '  ']","['3', '  ']","['50', 'i ']","['22', 'i ']","['293', 'i ']","['126', '  ']"
2066,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['244', '  ']","['6', 'i ']","['232', '  ']","['4', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']"
2066,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['107', '  ']","['*', '  ']","['107', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2066,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1', '  ']","['1', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2066,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['5', '  ']","['*', 'i ']","['5', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2066,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['29', '  ']","['28', '  ']","['1', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
2066,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['11', '  ']","['2', 'i ']","['8', '  ']","['1', 'i ']","['0 - 2', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0 - 2', 'i ']","['0 - 2', 'i ']"
2066,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['15', '  ']","['4', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2066,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,692', '  ']","['2,696', '  ']","['7,115', '  ']","['1,592', '  ']","['205', '  ']","['0 - 26', '  ']","['0 - 4', '  ']","['3', '  ']","['0 - 23', '  ']","['0 - 26', '  ']","['31 - 60', '  ']"
