table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_total
9814,r001,All states,All states,,1,"['147,578', '  ']"
9814,r002,All states -> Alabama,All states,Alabama,2,"['771', '  ']"
9814,r003,All states -> Alaska,All states,Alaska,2,"['175', '  ']"
9814,r004,All states -> Arizona,All states,Arizona,2,"['856', '  ']"
9814,r005,All states -> Arkansas,All states,Arkansas,2,"['538', 'i ']"
9814,r006,All states -> California,All states,California,2,"['12,846', '  ']"
9814,r007,All states -> Colorado,All states,Colorado,2,"['1,494', '  ']"
9814,r008,All states -> Connecticut,All states,Connecticut,2,"['324', '  ']"
9814,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']"
9814,r010,All states -> District of Columbia,All states,District of Columbia,2,"['4,638', '  ']"
9814,r011,All states -> Florida,All states,Florida,2,"['4,477', 'i ']"
9814,r012,All states -> Georgia,All states,Georgia,2,"['617', '  ']"
9814,r013,All states -> Hawaii,All states,Hawaii,2,"['226', '  ']"
9814,r014,All states -> Idaho,All states,Idaho,2,"['592', '  ']"
9814,r015,All states -> Illinois,All states,Illinois,2,"['3,219', '  ']"
9814,r016,All states -> Indiana,All states,Indiana,2,"['280', '  ']"
9814,r017,All states -> Iowa,All states,Iowa,2,"['43', '  ']"
9814,r018,All states -> Kansas,All states,Kansas,2,"['108', '  ']"
9814,r019,All states -> Kentucky,All states,Kentucky,2,"['79', '  ']"
9814,r020,All states -> Louisiana,All states,Louisiana,2,"['190', '  ']"
9814,r021,All states -> Maine,All states,Maine,2,"['1,354', '  ']"
9814,r022,All states -> Maryland,All states,Maryland,2,"['6,337', '  ']"
9814,r023,All states -> Massachusetts,All states,Massachusetts,2,"['23,261', '  ']"
9814,r024,All states -> Michigan,All states,Michigan,2,"['1,234', '  ']"
9814,r025,All states -> Minnesota,All states,Minnesota,2,"['14,544', 'i ']"
9814,r026,All states -> Mississippi,All states,Mississippi,2,"['10', '  ']"
9814,r027,All states -> Missouri,All states,Missouri,2,"['427', '  ']"
9814,r028,All states -> Montana,All states,Montana,2,"['37', '  ']"
9814,r029,All states -> Nebraska,All states,Nebraska,2,"['38', '  ']"
9814,r030,All states -> Nevada,All states,Nevada,2,"['140', '  ']"
9814,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '  ']"
9814,r032,All states -> New Jersey,All states,New Jersey,2,"['1,229', '  ']"
9814,r033,All states -> New Mexico,All states,New Mexico,2,"['142', '  ']"
9814,r034,All states -> New York,All states,New York,2,"['14,255', '  ']"
9814,r035,All states -> North Carolina,All states,North Carolina,2,"['2,658', '  ']"
9814,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '  ']"
9814,r037,All states -> Ohio,All states,Ohio,2,"['8,603', '  ']"
9814,r038,All states -> Oklahoma,All states,Oklahoma,2,"['647', '  ']"
9814,r039,All states -> Oregon,All states,Oregon,2,"['273', '  ']"
9814,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['3,286', '  ']"
9814,r041,All states -> Rhode Island,All states,Rhode Island,2,"['1,784', '  ']"
9814,r042,All states -> South Carolina,All states,South Carolina,2,"['88', '  ']"
9814,r043,All states -> South Dakota,All states,South Dakota,2,"['0', '  ']"
9814,r044,All states -> Tennessee,All states,Tennessee,2,"['4,314', '  ']"
9814,r045,All states -> Texas,All states,Texas,2,"['7,339', '  ']"
9814,r046,All states -> Utah,All states,Utah,2,"['701', '  ']"
9814,r047,All states -> Vermont,All states,Vermont,2,"['120', '  ']"
9814,r048,All states -> Virginia,All states,Virginia,2,"['13,690', '  ']"
9814,r049,All states -> Washington,All states,Washington,2,"['7,108', '  ']"
9814,r050,All states -> West Virginia,All states,West Virginia,2,"['72', '  ']"
9814,r051,All states -> Wisconsin,All states,Wisconsin,2,"['2,309', '  ']"
9814,r052,All states -> Wyoming,All states,Wyoming,2,"['3', '  ']"
