table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_sent_one_form_brdi_1,field_sent_one_form_brdi_1_s_,field_sent_multiple_formsa_companies,field_sent_multiple_formsa_brdi_1,field_sent_multiple_formsa_brdi_1_s_
798,r001,Total,Total,,,1,6717,37443,14,35,9
798,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,6647,10655,14,35,9
798,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,6016,5310,14,35,9
798,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,631,5345,0,0,0
798,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,19,3414,0,0,0
798,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,19,1932,0,0,0
798,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,0,1482,0,0,0
798,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,3,23370,0,0,0
798,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,3,5932,0,0,0
798,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,0,17438,0,0,0
798,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,48,4,0,0,0
