table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_nanotechnology_r_d_total_companiesb_number_,field_nanotechnology_r_d_total_amount,field_nanotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_nanotechnology_r_d_paid_for_by_the_company_amount,field_nanotechnology_r_d_paid_for_by_others_companiesb_number_,field_nanotechnology_r_d_paid_for_by_others_amount
1387,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",31784,"['374,685', '  ']","['1,804', 'i ']","['25,305', 'i ']","['1,677', 'i ']","['23,823', 'i ']","['267', 'i ']","['1,482', 'i ']"
1387,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,19522,"['250,553', '  ']","['987', 'i ']","['23,217', 'i ']","['922', 'i ']","['22,113', 'i ']","['155', 'i ']","['1,105', 'i ']"
1387,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,1185,"['4,828', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
1387,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,2907,"['73,575', '  ']","['320', 'i ']","['1,424', 'i ']","['286', 'i ']","['1,292', 'i ']","['59', 'i ']","['132', 'i ']"
1387,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,346,"['2,545', '  ']","['84', 'i ']","['52', 'i ']","['55', 'i ']","['32', '  ']","['36', 'i ']","['21', 'i ']"
1387,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1089,"['64,628', '  ']","['34', '  ']","['522', 'i ']","['29', '  ']","['412', 'i ']","['17', '  ']","['110', 'i ']"
1387,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals ,All industries,Manufacturing industries,Chemicals,Other chemicals ,,4,other 325,1473,"['6,402', '  ']","['202', 'i ']","['850', 'i ']","['202', 'i ']","['848', 'i ']","['5', '  ']","['2', '  ']"
1387,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,1238,"['3,752', '  ']","['25', '  ']","['22', 'i ']","['15', '  ']","['12', '  ']","['13', 'i ']","['10', 'i ']"
1387,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,416,"['1,289', '  ']","['30', 'i ']","['9', '  ']","['30', 'i ']","['5', '  ']","['D', '  ']","['3', '  ']"
1387,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,2406,"['2,239', '  ']","['10', '  ']","['28', 'i ']","['10', '  ']","['28', 'i ']","['0', '  ']","['0', '  ']"
