table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_organizations_,field_organizations_with_r_d_activity,field_organizations_without_r_d_activity
9798,r001,All organizations ,All organizations ,,1,"['1,609,295,484', '  ']","['885,830,860', '  ']","['723,464,624', '  ']"
9798,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['1,368,594,500', '  ']","['813,783,721', '  ']","['554,810,779', '  ']"
9798,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['23,271,350', '  ']","['21,265,432', '  ']","['2,005,919', '  ']"
9798,r004,All organizations  -> Other nonprofit organizations,All organizations ,Other nonprofit organizations,2,"['217,429,633', '  ']","['50,781,707', '  ']","['166,647,926', '  ']"
