table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10106,r001,All R&D fields,All R&D fields,,,,1,53971468,7978816,2488278,30288941,2044072,6035698,1500988,3634675
10106,r002,All R&D fields -> Science,All R&D fields,Science,,,2,42786338,3785848,1405523,28721809,1372761,4174626,1364342,1961429
10106,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,2184767,1008407,67103,181941,27517,760906,13291,125602
10106,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2478702,265345,131608,77148,525426,793092,35995,650088
10106,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,528068,67762,26741,3330,167338,91734,2732,168431
10106,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,875493,72031,82687,5097,252146,302735,17249,143548
10106,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,785545,113841,11820,13600,75047,338708,2982,229547
10106,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,289596,11711,10360,55121,30895,59915,13032,108562
10106,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,30958717,1398169,252351,26479262,89305,851067,1212975,675588
10106,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,1265977,17689,45362,160253,8354,82090,834540,117689
10106,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,10949628,429447,131060,9384542,29338,606171,206407,162663
10106,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,17494324,829525,22369,16246165,38098,79904,35362,242901
10106,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,480042,100595,47349,21847,11437,59292,115013,124509
10106,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,768746,20913,6211,666455,2078,23610,21653,27826
10106,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,537322,172278,11593,72368,20385,225434,8437,26827
10106,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,4212405,688996,896963,678686,673259,1164641,10243,99617
