table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_doj,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nrc,field_nsf,field_ssa,field_treas,field_usda
10400,r001,All states and outlying areas,All states and outlying areas,,,1,36608,162235,181870,46981,24354825,1395557,9675,5486619,6124,200,1094549
10400,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,40,4107,691,0,346544,13470,1000,44862,25,0,33895
10400,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,0,0,0,0,0,0,0,1363,0,0,9260
10400,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,0,0,0,0,1219,0,0,817,0,0,0
10400,r005,All states and outlying areas -> Alabama -> Athens State U.,All states and outlying areas,Alabama,Athens State U.,3,0,0,0,0,0,0,0,162,0,0,0
10400,r006,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,0,1724,0,0,5519,2420,1000,16396,0,0,21782
10400,r007,"All states and outlying areas -> Alabama -> Lawson State Community C., Birmingham",All states and outlying areas,Alabama,"Lawson State Community C., Birmingham",3,0,0,0,0,0,0,0,79,0,0,0
10400,r008,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,0,0,0,0,1125,0,0,216,0,0,0
10400,r009,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,0,0,0,0,0,0,0,123,0,0,0
10400,r010,All states and outlying areas -> Alabama -> Samford U.,All states and outlying areas,Alabama,Samford U.,3,0,0,0,0,0,0,0,250,0,0,0
10400,r011,All states and outlying areas -> Alabama -> Stillman C.,All states and outlying areas,Alabama,Stillman C.,3,0,0,0,0,220,0,0,175,0,0,0
10400,r012,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,0,180,0,0,3673,0,0,2613,0,0,2704
10400,r013,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,0,457,256,0,317111,5709,0,3093,0,0,0
10400,r014,"All states and outlying areas -> Alabama -> U. Alabama, The, Huntsville",All states and outlying areas,Alabama,"U. Alabama, The, Huntsville",3,40,0,0,0,0,4756,0,4883,0,0,0
