table_id,row_id,broad_degree_field_and_degree_level_full_path,broad_degree_field_and_degree_level_level_1,broad_degree_field_and_degree_level_level_2,broad_degree_field_and_degree_level_hierarchy_depth,field_degree_related_to_job_closely,field_degree_related_to_job_somewhat,field_degree_related_to_job_not
4419,r001,All S&E degree levels,All S&E degree levels,,1,34.9,34.0,31.2
4419,r002,All S&E degree levels -> Bachelor's,All S&E degree levels,Bachelor's,2,28.8,35.6,35.6
4419,r003,All S&E degree levels -> Master's,All S&E degree levels,Master's,2,53.6,28.9,17.5
4419,r004,All S&E degree levels -> Doctorate,All S&E degree levels,Doctorate,2,66.9,24.2,8.9
4419,r005,All S&E-related degree levels,All S&E-related degree levels,,1,45.4,26.5,28.1
4419,r006,All S&E-related degree levels -> Bachelor's,All S&E-related degree levels,Bachelor's,2,32.5,30.3,37.3
4419,r007,All S&E-related degree levels -> Master's,All S&E-related degree levels,Master's,2,62.6,22.5,14.9
4419,r008,All S&E-related degree levels -> Doctorate,All S&E-related degree levels,Doctorate,2,81.2,10.2,8.6
