table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
2113,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,867', '  ']","['0', '  ']","['262', 'i ']","['30', 'i ']","['11', '  ']","['1', '  ']","['0', '  ']","['4', 'i ']","['55', '  ']","['263', '  ']","['3', 'i ']","['0', '  ']","['106', '  ']","['0', '  ']","['23', 'i ']","['11', '  ']","['26', '  ']","['5', '  ']","['5', '  ']","['*', '  ']","['68', '  ']","['3', '  ']","['126', 'i ']","['62', 'i ']"
2113,r013,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['8,822', '  ']","['0 - 81', 'i ']","['283', '  ']","['21', '  ']","['64', 'i ']","['0 - 35', '  ']","['0 - 58', '  ']","['0 - 41', '  ']","['538', '  ']","['2,443', '  ']","['31', '  ']","['7', '  ']","['296', '  ']","['0 - 11', '  ']","['179', 'i ']","['0 - 24', '  ']","['104', '  ']","['4', '  ']","['94', '  ']","['124', '  ']","['71', '  ']","['0 - 8', '  ']","['1,108', '  ']","['55', '  ']"
2113,r014,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['2,787', '  ']","['0 - 81', '  ']","['47 - 159', '  ']","['19', '  ']","['45', '  ']","['0 - 35', 'i ']","['40', '  ']","['0 - 41', '  ']","['128', '  ']","['410', '  ']","['*', '  ']","['188', '  ']","['34', '  ']","['0 - 11', 'i ']","['146', '  ']","['0 - 24', '  ']","['8', 'i ']","['31', '  ']","['14', '  ']","['56', '  ']","['182', '  ']","['6', '  ']","['204', '  ']","['19', '  ']"
2113,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,315', '  ']","['0', '  ']","['0 - 110', '  ']","['4', '  ']","['27', '  ']","['0 - 35', '  ']","['0 - 58', '  ']","['0 - 41', '  ']","['48', '  ']","['42', '  ']","['*', '  ']","['7', '  ']","['31', '  ']","['0 - 11', '  ']","['7', '  ']","['*', '  ']","['4', '  ']","['8', '  ']","['1', '  ']","['5', '  ']","['323', '  ']","['0 - 8', '  ']","['119', '  ']","['61', '  ']"
2113,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['30,258', '  ']","['18', '  ']","['2,413', '  ']","['83', 'i ']","['314', '  ']","['219', '  ']","['152', '  ']","['209', '  ']","['981', '  ']","['1,563', '  ']","['136', '  ']","['1,685', 'i ']","['278', 'i ']","['15', 'i ']","['570', '  ']","['85', '  ']","['300', '  ']","['178', '  ']","['315', 'i ']","['628', '  ']","['1,209', '  ']","['41', '  ']","['4,944', '  ']","['960', 'i ']"
2113,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['37', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2113,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['14,646', '  ']","['0 - 18', '  ']","['1,356', '  ']","['36', '  ']","['119', '  ']","['106', '  ']","['111', '  ']","['163', '  ']","['371', '  ']","['468', '  ']","['60', '  ']","['632', '  ']","['56', '  ']","['9', '  ']","['218', '  ']","['70', '  ']","['139', '  ']","['61', '  ']","['122', '  ']","['557', '  ']","['692', '  ']","['3', '  ']","['2,271', '  ']","['498', '  ']"
2113,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['94', '  ']","['0', '  ']","['0 - 46', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['1', '  ']","['0 - 46', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['1', '  ']","['1', 'i ']","['*', '  ']","['0', '  ']","['17', '  ']","['0 - 46', '  ']"
2113,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['2,272', '  ']","['0 - 18', '  ']","['164', '  ']","['17', '  ']","['3', '  ']","['2', '  ']","['10', '  ']","['5', 'i ']","['46', '  ']","['79', '  ']","['35', '  ']","['253', '  ']","['21', '  ']","['*', '  ']","['56', '  ']","['*', '  ']","['68', '  ']","['21', '  ']","['17', '  ']","['12', '  ']","['19', '  ']","['0', '  ']","['369', '  ']","['163', 'i ']"
2113,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['12,281', '  ']","['0 - 18', '  ']","['1,145 - 1,193', '  ']","['19', 'i ']","['116', '  ']","['104', '  ']","['99', '  ']","['158', '  ']","['325', '  ']","['385', '  ']","['25', '  ']","['375', '  ']","['35', '  ']","['8', '  ']","['115 - 163', '  ']","['69', '  ']","['71', '  ']","['40', '  ']","['104', '  ']","['544', '  ']","['672', '  ']","['3', '  ']","['1,885', '  ']","['288 - 336', '  ']"
2113,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['11,064', '  ']","['0 - 18', 'i ']","['793', '  ']","['44', 'i ']","['170', 'i ']","['110', '  ']","['29', 'i ']","['44', '  ']","['556', '  ']","['760', '  ']","['67', 'i ']","['241', '  ']","['198', 'i ']","['0', '  ']","['266', 'i ']","['12', '  ']","['149', 'i ']","['113', 'i ']","['165', 'i ']","['52', 'i ']","['497', '  ']","['28', 'i ']","['2,201', 'i ']","['413', 'i ']"
2113,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['53', '  ']","['0', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['13', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['*', '  ']","['*', '  ']"
