table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_1993_number,field_1993_percent,field_1998_number,field_1998_percent,field_2003_number,field_2003_percent,field_2008_number,field_2008_percent,field_2013_number,field_2013_percent,field_2018_number,field_2018_percent,field_2023_number,field_2023_percent
11642,r001,All fields,All fields,,,,1,39800,100.0,42636,100.0,40762,100.0,48776,100.0,52703,100.0,55078,100.0,57862,100.0
11642,r002,All fields -> Science and engineering,All fields,Science and engineering,,,2,26486,66.5,28636,67.2,26759,65.6,34765,71.3,39084,74.2,42144,76.5,45533,78.7
11642,r003,All fields -> Science and engineering -> Agricultural sciences and natural resources,All fields,Science and engineering,Agricultural sciences and natural resources,,3,1235,3.1,1315,3.1,1226,3.0,1252,2.6,1391,2.6,1499,2.7,1477,2.6
11642,r004,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural sciences,All fields,Science and engineering,Agricultural sciences and natural resources,Agricultural sciences,4,939,2.4,981,2.3,845,2.1,782,1.6,873,1.7,960,1.7,1007,1.7
11642,r005,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,296,0.7,334,0.8,381,0.9,470,1.0,518,1.0,539,1.0,470,0.8
11642,r006,All fields -> Science and engineering -> Biological and biomedical sciences,All fields,Science and engineering,Biological and biomedical sciences,,3,5212,13.1,6011,14.1,5927,14.5,8145,16.7,8707,16.5,8782,15.9,9575,16.5
11642,r007,All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry and biophysics,All fields,Science and engineering,Biological and biomedical sciences,Biochemistry and biophysics,4,949,2.4,966,2.3,933,2.3,1066,2.2,1005,1.9,963,1.7,893,1.5
11642,r008,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biology and biomedical sciences, general",All fields,Science and engineering,Biological and biomedical sciences,"Biology and biomedical sciences, general",4,305,0.8,399,0.9,375,0.9,418,0.9,657,1.2,888,1.6,1328,2.3
11642,r009,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,74,0.2,75,0.2,84,0.2,269,0.6,426,0.8,580,1.1,794,1.4
11642,r010,"All fields -> Science and engineering -> Biological and biomedical sciences -> Cellular and developmental biology, and anatomy",All fields,Science and engineering,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",4,364,0.9,462,1.1,460,1.1,586,1.2,597,1.1,427,0.8,225,0.4
11642,r011,"All fields -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",All fields,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,297,0.7,458,1.1,578,1.4,922,1.9,1030,2.0,1059,1.9,1118,1.9
11642,r012,All fields -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,All fields,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,172,0.4,197,0.5,226,0.6,413,0.8,396,0.8,363,0.7,459,0.8
11642,r013,All fields -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,All fields,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,633,1.6,657,1.5,645,1.6,1007,2.1,1142,2.2,1042,1.9,1092,1.9
11642,r014,All fields -> Science and engineering -> Biological and biomedical sciences -> Molecular biology,All fields,Science and engineering,Biological and biomedical sciences,Molecular biology,4,582,1.5,736,1.7,615,1.5,786,1.6,646,1.2,596,1.1,851,1.5
11642,r015,All fields -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,All fields,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,276,0.7,413,1.0,474,1.2,883,1.8,1016,1.9,1033,1.9,1086,1.9
11642,r016,All fields -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,All fields,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,374,0.9,410,1.0,397,1.0,461,0.9,418,0.8,361,0.7,409,0.7
11642,r017,"All fields -> Science and engineering -> Biological and biomedical sciences -> Physiology, pathology, and cancer biology",All fields,Science and engineering,Biological and biomedical sciences,"Physiology, pathology, and cancer biology",4,417,1.0,378,0.9,337,0.8,657,1.3,723,1.4,690,1.3,608,1.1
11642,r018,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biology and biomedical sciences, other",All fields,Science and engineering,Biological and biomedical sciences,"Biology and biomedical sciences, other",4,769,1.9,860,2.0,803,2.0,677,1.4,651,1.2,780,1.4,712,1.2
11642,r019,All fields -> Science and engineering -> Computer and information sciences,All fields,Science and engineering,Computer and information sciences,,3,880,2.2,927,2.2,866,2.1,1787,3.7,1843,3.5,2000,3.6,2687,4.6
11642,r020,All fields -> Science and engineering -> Computer and information sciences -> Computer science,All fields,Science and engineering,Computer and information sciences,Computer science,4,825,2.1,821,1.9,699,1.7,1499,3.1,1568,3.0,1628,3.0,1937,3.3
11642,r021,"All fields -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",All fields,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,55,0.1,106,0.2,167,0.4,288,0.6,275,0.5,372,0.7,750,1.3
11642,r022,All fields -> Science and engineering -> Engineering,All fields,Science and engineering,Engineering,,3,5698,14.3,5922,13.9,5279,13.0,7863,16.1,9000,17.1,10164,18.5,11403,19.7
11642,r023,"All fields -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,228,0.6,241,0.6,200,0.5,266,0.5,348,0.7,383,0.7,586,1.0
11642,r024,All fields -> Science and engineering -> Engineering -> Bioengineering and biomedical engineering,All fields,Science and engineering,Engineering,Bioengineering and biomedical engineering,4,171,0.4,208,0.5,281,0.7,762,1.6,1039,2.0,1133,2.1,1302,2.3
11642,r025,All fields -> Science and engineering -> Engineering -> Chemical and petroleum engineering,All fields,Science and engineering,Engineering,Chemical and petroleum engineering,4,737,1.9,777,1.8,649,1.6,966,2.0,977,1.9,1168,2.1,1245,2.2
11642,r026,"All fields -> Science and engineering -> Engineering -> Civil, environmental, and transportation engineering",All fields,Science and engineering,Engineering,"Civil, environmental, and transportation engineering",4,624,1.6,650,1.5,673,1.7,866,1.8,1023,1.9,1178,2.1,1368,2.4
11642,r027,All fields -> Science and engineering -> Engineering -> Electrical and computer engineering,All fields,Science and engineering,Engineering,Electrical and computer engineering,4,1543,3.9,1595,3.7,1465,3.6,2300,4.7,2345,4.4,2393,4.3,2653,4.6
11642,r028,All fields -> Science and engineering -> Engineering -> Industrial engineering and operations research,All fields,Science and engineering,Engineering,Industrial engineering and operations research,4,349,0.9,359,0.8,340,0.8,439,0.9,474,0.9,492,0.9,578,1.0
