table_id,row_id,_b_race_and_ethnicity_b_full_path,_b_race_and_ethnicity_b_level_1,_b_race_and_ethnicity_b_level_2,_b_race_and_ethnicity_b_hierarchy_depth,field_stem_workers,field_s_e_workers,field_s_e_related_workers,field_stem_middle_skill_workers,field_non_stem_workers
11012,r001,All races and ethnicities,All races and ethnicities,,1,68976,90635,72949,49999,49903
11012,r002,All races and ethnicities -> White,All races and ethnicities,White,2,69920,89976,74672,54925,53987
11012,r003,All races and ethnicities -> Asian,All races and ethnicities,Asian,2,98632,107911,95687,49197,52991
11012,r004,All races and ethnicities -> Black or African American,All races and ethnicities,Black or African American,2,57813,76048,59764,44913,39958
11012,r005,All races and ethnicities -> American Indian or Alaska Native,All races and ethnicities,American Indian or Alaska Native,2,51615,67470,58771,47732,39902
11012,r006,All races and ethnicities -> Other race alone or in combination,All races and ethnicities,Other race alone or in combination,2,67899,86560,70510,49927,47982
11012,r007,All races and ethnicities -> Hispanic,All races and ethnicities,Hispanic,2,50000,79103,62458,41985,38956
