table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_male_median_salary,field_male_se,field_female_median_salary,field_female_se
8145,r001,All sectors,All sectors,,,,1,122000,1500,132000,2000,108000,1000
8145,r002,All sectors -> Science,All sectors,Science,,,2,117000,1500,125000,500,105000,1000
8145,r003,"All sectors -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Science,"Biological, agricultural, and environmental life sciences",,3,115000,1000,120000,1500,106000,2000
8145,r004,All sectors -> Science -> Computer and information sciences,All sectors,Science,Computer and information sciences,,3,160000,1000,165000,4500,130000,10500
8145,r005,All sectors -> Science -> Mathematics and statistics,All sectors,Science,Mathematics and statistics,,3,113000,4000,116000,5500,105000,4500
8145,r006,"All sectors -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,125000,500,130000,1500,108000,2000
8145,r007,All sectors -> Science -> Psychology,All sectors,Science,Psychology,,3,106000,1500,114000,2500,101000,1500
8145,r008,All sectors -> Science -> Social sciences,All sectors,Science,Social sciences,,3,109000,2000,119000,2000,100000,1000
8145,r009,All sectors -> Engineering,All sectors,Engineering,,,2,145000,1000,150000,500,130000,500
8145,r010,All sectors -> Health,All sectors,Health,,,2,115000,2000,129000,3500,110000,1000
8145,r011,All sectors -> 4-year educational institution<sup>a</sup>,All sectors,4-year educational institution<sup>a</sup>,,,2,99000,1000,102000,1500,90000,500
8145,r012,All sectors -> 4-year educational institution<sup>a</sup> -> Science,All sectors,4-year educational institution<sup>a</sup>,Science,,3,95000,1000,100000,500,89000,1000
8145,r013,"All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,4-year educational institution<sup>a</sup>,Science,"Biological, agricultural, and environmental life sciences",4,94000,2000,100000,1500,85000,1500
8145,r014,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Computer and information sciences,All sectors,4-year educational institution<sup>a</sup>,Science,Computer and information sciences,4,110000,2500,110000,4000,100000,3000
8145,r015,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Mathematics and statistics,All sectors,4-year educational institution<sup>a</sup>,Science,Mathematics and statistics,4,92000,2500,95000,2500,87000,3500
8145,r016,"All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,4-year educational institution<sup>a</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,91000,2000,96000,2500,82000,1500
8145,r017,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Psychology,All sectors,4-year educational institution<sup>a</sup>,Science,Psychology,4,95000,2000,100000,500,92000,2000
8145,r018,All sectors -> 4-year educational institution<sup>a</sup> -> Science -> Social sciences,All sectors,4-year educational institution<sup>a</sup>,Science,Social sciences,4,98000,2000,105000,2000,90000,1500
8145,r019,All sectors -> 4-year educational institution<sup>a</sup> -> Engineering,All sectors,4-year educational institution<sup>a</sup>,Engineering,,3,109000,1500,110000,1500,103000,3000
8145,r020,All sectors -> 4-year educational institution<sup>a</sup> -> Health,All sectors,4-year educational institution<sup>a</sup>,Health,,3,100000,1000,104000,6000,98000,3000
8145,r021,All sectors -> Other educational institution<sup>b</sup>,All sectors,Other educational institution<sup>b</sup>,,,2,79000,500,80000,2000,79000,1000
8145,r022,All sectors -> Other educational institution<sup>b</sup> -> Science,All sectors,Other educational institution<sup>b</sup>,Science,,3,79000,1000,80000,2500,79000,2000
8145,r023,"All sectors -> Other educational institution<sup>b</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other educational institution<sup>b</sup>,Science,"Biological, agricultural, and environmental life sciences",4,73000,3000,75000,4000,70000,2500
8145,r024,All sectors -> Other educational institution<sup>b</sup> -> Science -> Computer and information sciences,All sectors,Other educational institution<sup>b</sup>,Science,Computer and information sciences,4,78000,3500,72000,10500,94000,16000
8145,r025,All sectors -> Other educational institution<sup>b</sup> -> Science -> Mathematics and statistics,All sectors,Other educational institution<sup>b</sup>,Science,Mathematics and statistics,4,79000,3500,79000,4000,74000,7500
8145,r026,"All sectors -> Other educational institution<sup>b</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other educational institution<sup>b</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,72000,3500,79000,5000,69000,2000
8145,r027,All sectors -> Other educational institution<sup>b</sup> -> Science -> Psychology,All sectors,Other educational institution<sup>b</sup>,Science,Psychology,4,90000,1500,90000,5000,89000,2000
8145,r028,All sectors -> Other educational institution<sup>b</sup> -> Science -> Social sciences,All sectors,Other educational institution<sup>b</sup>,Science,Social sciences,4,85000,5000,90000,4500,79000,2500
8145,r029,All sectors -> Other educational institution<sup>b</sup> -> Engineering,All sectors,Other educational institution<sup>b</sup>,Engineering,,3,70000,13000,70000,15000,70000,17500
8145,r030,All sectors -> Other educational institution<sup>b</sup> -> Health,All sectors,Other educational institution<sup>b</sup>,Health,,3,103000,9000,71000,18500,104000,11500
8145,r031,"All sectors -> Private, for profit<sup>c</sup>",All sectors,"Private, for profit<sup>c</sup>",,,2,156000,1500,161000,2500,140000,1000
8145,r032,"All sectors -> Private, for profit<sup>c</sup> -> Science",All sectors,"Private, for profit<sup>c</sup>",Science,,3,154000,2500,163000,3500,140000,3000
8145,r033,"All sectors -> Private, for profit<sup>c</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, for profit<sup>c</sup>",Science,"Biological, agricultural, and environmental life sciences",4,150000,500,155000,5000,140000,3000
8145,r034,"All sectors -> Private, for profit<sup>c</sup> -> Science -> Computer and information sciences",All sectors,"Private, for profit<sup>c</sup>",Science,Computer and information sciences,4,190000,3000,196000,6000,170000,4000
8145,r035,"All sectors -> Private, for profit<sup>c</sup> -> Science -> Mathematics and statistics",All sectors,"Private, for profit<sup>c</sup>",Science,Mathematics and statistics,4,170000,5500,170000,7500,168000,5500
8145,r036,"All sectors -> Private, for profit<sup>c</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, for profit<sup>c</sup>",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,150000,500,155000,4000,134000,3500
8145,r037,"All sectors -> Private, for profit<sup>c</sup> -> Science -> Psychology",All sectors,"Private, for profit<sup>c</sup>",Science,Psychology,4,125000,4000,148000,3500,119000,4000
8145,r038,"All sectors -> Private, for profit<sup>c</sup> -> Science -> Social sciences",All sectors,"Private, for profit<sup>c</sup>",Science,Social sciences,4,171000,4500,185000,7000,150000,5000
8145,r039,"All sectors -> Private, for profit<sup>c</sup> -> Engineering",All sectors,"Private, for profit<sup>c</sup>",Engineering,,3,160000,500,160000,2500,143000,4000
8145,r040,"All sectors -> Private, for profit<sup>c</sup> -> Health",All sectors,"Private, for profit<sup>c</sup>",Health,,3,150000,6000,163000,8000,135000,10000
8145,r041,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,125000,2000,137000,3500,110000,3000
8145,r042,"All sectors -> Private, nonprofit -> Science",All sectors,"Private, nonprofit",Science,,3,120000,1500,132000,4500,109000,2000
8145,r043,"All sectors -> Private, nonprofit -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, nonprofit",Science,"Biological, agricultural, and environmental life sciences",4,118000,5500,128000,9500,107000,5500
8145,r044,"All sectors -> Private, nonprofit -> Science -> Computer and information sciences",All sectors,"Private, nonprofit",Science,Computer and information sciences,4,125000,8500,120000,9000,130000,28500
8145,r045,"All sectors -> Private, nonprofit -> Science -> Mathematics and statistics",All sectors,"Private, nonprofit",Science,Mathematics and statistics,4,147000,24500,136000,29000,155000,16000
8145,r046,"All sectors -> Private, nonprofit -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, nonprofit",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,138000,5500,144000,7500,107000,10000
8145,r047,"All sectors -> Private, nonprofit -> Science -> Psychology",All sectors,"Private, nonprofit",Science,Psychology,4,109000,1000,120000,9000,108000,4500
8145,r048,"All sectors -> Private, nonprofit -> Science -> Social sciences",All sectors,"Private, nonprofit",Science,Social sciences,4,131000,4500,146000,12000,115000,11000
8145,r049,"All sectors -> Private, nonprofit -> Engineering",All sectors,"Private, nonprofit",Engineering,,3,142000,4500,145000,6000,134000,6500
8145,r050,"All sectors -> Private, nonprofit -> Health",All sectors,"Private, nonprofit",Health,,3,137000,8500,154000,15500,123000,7500
8145,r051,All sectors -> Federal government,All sectors,Federal government,,,2,131000,2500,138000,3000,122000,3000
