table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development_total,field_experimental_development_advanced_technology,field_experimental_development_major_systems
3851,r001,All agencies,All agencies,,,,,1,150884687.7,41755263.7,43507176.5,65622247.5,na,na
3851,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
3851,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2904213.9,1182931.5,1506354.8,214927.7,na,na
3851,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,6952.5,0.0,3476.3,3476.3,na,na
3851,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1414000.0,707000.0,565600.0,141400.0,na,na
3851,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,39542.0,18856.0,0.0,20686.0,na,na
3851,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85257.0,0.0,85257.0,0.0,na,na
3851,r008,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,500.0,0.0,500.0,0.0,na,na
3851,r009,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,305000.0,86075.5,173164.4,45760.1,na,na
3851,r010,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,9013.2,0.0,5407.9,3605.3,na,na
3851,r011,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,1040000.0,371000.0,669000.0,0.0,na,na
3851,r012,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,3949.2,0.0,3949.2,0.0,na,na
3851,r013,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1621817.1,261901.9,1108527.7,251387.5,na,na
3851,r014,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,768393.9,261901.9,486034.6,20457.4,na,na
3851,r015,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,725405.0,0.0,575822.0,149583.0,na,na
3851,r016,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,8180.0,0.0,8180.0,0.0,na,na
3851,r017,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,119838.1,0.0,38491.0,81347.1,na,na
3851,r018,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,62461330.4,2564726.7,5900212.4,53996391.4,7301773.5,46694617.9
3851,r019,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3667188.0,481562.0,1513218.0,1672408.0,1536893.0,135515.0
3851,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,15621751.0,503429.8,1661346.3,13456974.9,942258.3,12514716.6
3851,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10754758.3,550851.8,1261958.7,8941947.8,1498111.8,7443836.0
3851,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,16787023.8,637091.0,909697.8,15240235.0,981995.9,14258239.1
3851,r023,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,15630609.3,391792.1,553991.6,14684825.6,2342514.4,12342311.1
3851,r024,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,242197.6,58656.1,132645.0,50896.5,na,na
3851,r025,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,16136020.8,5482587.4,7199120.3,3454313.1,na,na
3851,r026,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,425000.0,0.0,212500.0,212500.0,na,na
3851,r027,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,153869.0,15404.0,67881.0,70584.0,na,na
3851,r028,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,2566629.0,0.0,1546376.0,1020253.0,na,na
3851,r029,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,11569.9,0.0,3818.1,7751.8,na,na
3851,r030,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,680000.0,34000.0,646000.0,0.0,na,na
3851,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,6319625.9,106658.4,4264122.2,1948845.3,na,na
3851,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,4367770.0,0.0,4131021.0,236749.0,na,na
3851,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1648396.0,0.0,0.0,1648396.0,na,na
3851,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,303459.9,106658.4,133101.2,63700.3,na,na
3851,r035,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,610550.0,0.0,435425.1,175124.9,na,na
3851,r036,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,43857.0,1605.0,22998.0,19254.0,na,na
