table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_fellowships_traineeships_and_training_grants,field_facilities_and_equipment_for_s_e_instruction,field_general_support_for_s_e,field_other_s_e_activities
7243,r001,All HBCUs,All HBCUs,,1,354390.2,264539.7,7249.2,68077.5,839.9,2182.8,11501.2
7243,r002,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,28374.7,20826.5,550.0,4254.8,0.0,0.0,2743.3
7243,r003,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,27940.6,19918.2,329.7,6037.7,569.9,869.1,215.9
7243,r004,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,20035.0,14247.2,6.7,3127.3,120.0,0.0,2533.8
7243,r005,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,19085.1,9741.4,0.0,9343.8,0.0,0.0,0.0
7243,r006,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,18106.9,15257.1,0.0,2849.8,0.0,0.0,0.0
7243,r007,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,18049.1,14404.5,140.0,2088.2,0.0,0.0,1416.4
7243,r008,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,15335.5,14972.6,0.0,223.9,0.0,0.0,139.0
7243,r009,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,15003.2,11169.7,0.0,3196.4,0.0,0.0,637.1
7243,r010,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,11761.2,8959.2,0.0,2575.1,0.0,0.0,226.9
7243,r011,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,10615.4,8480.5,0.0,2129.9,0.0,5.0,0.0
7243,r012,All HBCUs -> U. Virgin Islands,All HBCUs,U. Virgin Islands,2,10409.2,8595.8,0.0,1674.0,0.0,0.0,139.4
7243,r013,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,10375.1,9613.7,359.0,402.4,0.0,0.0,0.0
7243,r014,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,9276.5,8464.3,0.0,812.1,0.0,0.0,0.0
7243,r015,"All HBCUs -> Xavier U., Louisiana",All HBCUs,"Xavier U., Louisiana",2,8893.1,7709.5,0.0,1183.6,0.0,0.0,0.0
7243,r016,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,8380.6,7477.0,0.0,782.9,0.0,0.0,120.7
7243,r017,All HBCUs -> All other HBCUs,All HBCUs,All other HBCUs,2,122749.0,84702.7,5863.8,27395.5,150.0,1308.7,3328.6
