table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_level_4,_b_field_of_study_b_level_5,_b_field_of_study_b_hierarchy_depth,field_all_doctorate_recipientsa,field_temporary_visa_holders,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
4659,r001,All fields,All fields,,,,,1,55283,18482,34492,2851,97,3218,2458,23944,1136,353,435
4659,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12561,3430,8707,710,22,960,558,5988,311,73,85
4659,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1472,633,796,60,5,44,41,602,24,6,14
4659,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,,4,920,447,443,34,3,30,22,329,14,3,8
4659,r005,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,Agricultural economics,5,137,83,44,6,0,6,2,27,3,0,0
4659,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",5,363,167,193,18,1,15,9,140,6,1,3
4659,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal nutrition, poultry science",5,75,33,39,1,0,1,2,33,2,0,0
4659,r008,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Animal sciences, other",5,139,45,87,5,2,3,3,68,2,1,3
4659,r009,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Food science, food technology-other",5,143,94,42,1,0,5,5,29,0,0,2
4659,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences -> Soil chemistry and microbiology, soil sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural sciences,"Soil chemistry and microbiology, soil sciences-other",5,63,25,38,3,0,0,1,32,1,1,0
4659,r011,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,,4,476,152,311,25,1,14,15,241,7,3,5
4659,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Environmental science,5,201,67,126,15,0,9,7,92,3,0,0
4659,r013,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resources and conservation,Fishing and fisheries sciences and management,5,49,12,36,2,1,0,0,30,0,0,3
