table_id,row_id,sex_occupation_and_age_years_full_path,sex_occupation_and_age_years_level_1,sex_occupation_and_age_years_level_2,sex_occupation_and_age_years_level_3,sex_occupation_and_age_years_level_4,sex_occupation_and_age_years_level_5,sex_occupation_and_age_years_level_6,sex_occupation_and_age_years_level_7,sex_occupation_and_age_years_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3404,r014,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,,5,88000,75000,S,100000,70000,S,85000,94000
3404,r015,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,,5,103000,89000,57000,118000,84000,S,100000,86000
3404,r016,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,,5,106000,96000,S,118000,98000,S,105000,122000
3404,r017,"Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",,,5,66000,48000,59000,70000,59000,,69000,57000
3404,r018,"Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 29 and younger",Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",29 and younger,,6,40000,31000,,40000,49000,,41000,49000
3404,r019,"Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 30&#8211;39",Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",30&#8211;39,,6,61000,57000,,55000,59000,,62000,79000
3404,r020,"Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 40&#8211;49",Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",40&#8211;49,,6,91000,69000,,104000,77000,,90000,119000
3404,r021,"Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 50&#8211;75",Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",50&#8211;75,,6,98000,93000,,99000,115000,,98000,
3404,r022,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,,5,100000,82000,S,110000,86000,S,100000,94000
3404,r023,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,,6,75000,58000,,91000,71000,,70000,72000
3404,r024,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,,6,100000,82000,,107000,87000,,99000,105000
3404,r025,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,,6,111000,91000,,120000,84000,,110000,82000
3404,r026,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,,6,110000,101000,,119000,96000,S,110000,138000
3404,r027,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,,5,83000,90000,,94000,S,,78000,92000
3404,r028,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,,6,67000,S,,68000,,,63000,
3404,r029,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,,6,78000,S,,97000,S,,82000,S
3404,r030,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,,6,92000,103000,,88000,S,,79000,S
3404,r031,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,,6,102000,74000,,110000,117000,,102000,S
3404,r032,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,,5,72000,55000,,65000,59000,S,75000,55000
3404,r033,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,,6,38000,31000,,30000,S,,39000,S
3404,r034,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,,6,68000,54000,,65000,50000,,75000,57000
3404,r035,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,,6,90000,49000,,97000,S,,93000,S
3404,r036,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,,6,107000,98000,,110000,96000,,107000,
3404,r037,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,,5,72000,76000,0.05,82000,73000,,71000,67000
3404,r038,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,,6,46000,,,,S,,46000,
3404,r039,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,,6,69000,77000,,74000,72000,,66000,55000
3404,r040,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,,6,78000,70000,,115000,77000,,76000,
3404,r041,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,,6,95000,78000,,107000,74000,,95000,
3404,r042,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,,5,78000,69000,S,79000,85000,S,80000,70000
3404,r043,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,,6,49000,S,,53000,58000,,51000,S
3404,r044,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,,6,73000,71000,,S,85000,,73000,83000
3404,r045,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,,6,80000,68000,,151000,80000,,80000,S
3404,r046,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,,6,103000,81000,,100000,108000,,105000,S
3404,r047,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,,,,4,100000,94000,110000,100000,89000,84000,100000,100000
3404,r048,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,29 and younger,,,5,74000,71000,,78000,67000,S,75000,72000
3404,r049,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,30&#8211;39,,,5,96000,87000,S,98000,86000,S,97000,100000
3404,r050,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,40&#8211;49,,,5,112000,108000,,125000,84000,,110000,100000
3404,r051,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,50&#8211;75,,,5,120000,114000,,120000,105000,,122000,116000
3404,r052,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup>,Both sexes,All occupations,S&E-related occupations<sup>c</sup>,,,,,3,80000,90000,99000,95000,66000,98000,80000,69000
3404,r053,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup> -> 29 and younger,Both sexes,All occupations,S&E-related occupations<sup>c</sup>,29 and younger,,,,4,55000,52000,,60000,50000,S,53000,55000
3404,r054,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup> -> 30&#8211;39,Both sexes,All occupations,S&E-related occupations<sup>c</sup>,30&#8211;39,,,,4,75000,80000,68000,94000,64000,94000,75000,69000
3404,r055,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup> -> 40&#8211;49,Both sexes,All occupations,S&E-related occupations<sup>c</sup>,40&#8211;49,,,,4,95000,100000,73000,110000,77000,S,90000,98000
3404,r056,Both sexes -> All occupations -> S&E-related occupations<sup>c</sup> -> 50&#8211;75,Both sexes,All occupations,S&E-related occupations<sup>c</sup>,50&#8211;75,,,,4,96000,100000,S,110000,79000,S,92000,66000
3404,r057,Both sexes -> All occupations -> Non-S&E occupations<sup>d</sup>,Both sexes,All occupations,Non-S&E occupations<sup>d</sup>,,,,,3,72000,59000,61000,83000,58000,94000,75000,65000
3404,r058,Both sexes -> All occupations -> Non-S&E occupations<sup>d</sup> -> 29 and younger,Both sexes,All occupations,Non-S&E occupations<sup>d</sup>,29 and younger,,,,4,45000,41000,S,49000,42000,S,46000,48000
3404,r059,Both sexes -> All occupations -> Non-S&E occupations<sup>d</sup> -> 30&#8211;39,Both sexes,All occupations,Non-S&E occupations<sup>d</sup>,30&#8211;39,,,,4,68000,60000,87000,88000,53000,89000,70000,71000
3404,r060,Both sexes -> All occupations -> Non-S&E occupations<sup>d</sup> -> 40&#8211;49,Both sexes,All occupations,Non-S&E occupations<sup>d</sup>,40&#8211;49,,,,4,85000,74000,50000,104000,64000,S,90000,74000
3404,r061,Both sexes -> All occupations -> Non-S&E occupations<sup>d</sup> -> 50&#8211;75,Both sexes,All occupations,Non-S&E occupations<sup>d</sup>,50&#8211;75,,,,4,85000,63000,64000,80000,64000,107000,90000,78000
3404,r062,Both sexes -> Female,Both sexes,Female,,,,,,2,,,,,,,,
3404,r063,Both sexes -> Female -> All occupations,Both sexes,Female,All occupations,,,,,3,70000,65000,62000,86000,60000,90000,69000,68000
3404,r064,Both sexes -> Female -> All occupations -> 29 and younger,Both sexes,Female,All occupations,29 and younger,,,,4,50000,45000,29000,65000,42000,64000,50000,50000
3404,r065,Both sexes -> Female -> All occupations -> 30&#8211;39,Both sexes,Female,All occupations,30&#8211;39,,,,4,70000,65000,69000,89000,60000,106000,69000,69000
3404,r066,Both sexes -> Female -> All occupations -> 40&#8211;49,Both sexes,Female,All occupations,40&#8211;49,,,,4,80000,79000,50000,99000,65000,95000,78000,93000
3404,r067,Both sexes -> Female -> All occupations -> 50&#8211;75,Both sexes,Female,All occupations,50&#8211;75,,,,4,80000,77000,94000,95000,71000,S,80000,80000
3404,r068,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup>,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,,,,4,80000,70000,105000,98000,72000,91000,79000,80000
3404,r069,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,5,57000,37000,,80000,62000,,55000,53000
3404,r070,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,5,80000,70000,,89000,60000,S,78000,98000
3404,r071,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,5,92000,80000,S,109000,83000,S,85000,86000
3404,r072,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,5,96000,80000,S,104000,89000,,95000,115000
3404,r073,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,5,80000,68000,102000,98000,69000,82000,75000,75000
3404,r074,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,6,53000,37000,,81000,58000,,50000,50000
3404,r075,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,6,79000,70000,0.05,85000,59000,,72000,95000
3404,r076,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,6,90000,70000,,109000,83000,S,81000,85000
3404,r077,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,6,92000,79000,S,102000,95000,,89000,111000
3404,r078,"Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",,6,68000,54000,0.05,78000,59000,,69000,56000
3404,r079,"Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 29 and younger",Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",29 and younger,7,45000,29000,,53000,29000,,48000,37000
3404,r080,"Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 30&#8211;39",Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",30&#8211;39,7,62000,56000,,60000,59000,,68000,83000
3404,r081,"Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 40&#8211;49",Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",40&#8211;49,7,95000,68000,,107000,72000,,91000,126000
3404,r082,"Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 50&#8211;75",Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",50&#8211;75,7,81000,80000,,98000,117000,,79000,
3404,r083,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,6,90000,80000,,103000,72000,,83000,86000
3404,r084,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,7,68000,56000,,92000,64000,,56000,50000
3404,r085,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,7,90000,91000,,98000,S,,81000,97000
3404,r086,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,7,99000,82000,,110000,83000,,93000,S
3404,r087,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,7,95000,74000,,106000,64000,,93000,S
3404,r088,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,6,73000,88000,,90000,S,,71000,84000
3404,r089,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,7,68000,S,,74000,,,67000,
3404,r090,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,7,71000,84000,,87000,S,,81000,0.05
3404,r091,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,7,65000,S,,96000,0.05,,63000,
3404,r092,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,7,94000,,,101000,S,,85000,
3404,r093,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,6,60000,42000,,63000,60000,,61000,53000
3404,r094,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,7,40000,32000,,34000,,,40000,S
3404,r095,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,7,65000,61000,,58000,60000,,69000,S
3404,r096,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,7,79000,S,,74000,,,80000,
3404,r097,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,7,85000,64000,,98000,96000,,81000,
3404,r098,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,6,68000,77000,,76000,73000,,65000,56000
3404,r099,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,7,46000,S,,,S,,46000,
3404,r100,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,7,66000,77000,,62000,78000,,63000,55000
3404,r101,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,7,74000,70000,,116000,77000,,74000,
3404,r102,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,7,88000,84000,,109000,74000,,88000,
3404,r103,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,6,70000,S,,64000,97000,,78000,61000
3404,r104,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,7,37000,S,,52000,S,,50000,S
3404,r105,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,7,70000,70000,,S,98000,,74000,0.05
3404,r106,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,7,79000,66000,,143000,64000,,79000,S
3404,r107,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,7,98000,0.05,,85000,109000,,98000,S
3404,r108,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,,,5,92000,84000,S,95000,77000,,91000,99000
3404,r109,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 29 and younger,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,29 and younger,,6,71000,71000,,78000,70000,,70000,72000
3404,r110,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 30&#8211;39,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,30&#8211;39,,6,94000,87000,,94000,89000,,93000,98000
3404,r111,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 40&#8211;49,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,40&#8211;49,,6,111000,113000,,101000,87000,,112000,
3404,r112,Both sexes -> Female -> All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 50&#8211;75,Both sexes,Female,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,50&#8211;75,,6,115000,111000,,117000,S,,110000,
