table_id,row_id,sex_occupation_and_age_years_full_path,sex_occupation_and_age_years_level_1,sex_occupation_and_age_years_level_2,sex_occupation_and_age_years_level_3,sex_occupation_and_age_years_level_4,sex_occupation_and_age_years_level_5,sex_occupation_and_age_years_level_6,sex_occupation_and_age_years_level_7,sex_occupation_and_age_years_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3404,r001,Both sexes,Both sexes,,,,,,,1,,,,,,,,
3404,r002,Both sexes -> All occupations,Both sexes,All occupations,,,,,,2,80000,72000,62000,98000,65000,96000,82000,72000
3404,r003,Both sexes -> All occupations -> 29 and younger,Both sexes,All occupations,29 and younger,,,,,3,55000,48000,S,67000,50000,55000,55000,55000
3404,r004,Both sexes -> All occupations -> 30&#8211;39,Both sexes,All occupations,30&#8211;39,,,,,3,79000,72000,50000,97000,62000,105000,78000,72000
3404,r005,Both sexes -> All occupations -> 40&#8211;49,Both sexes,All occupations,40&#8211;49,,,,,3,95000,88000,60000,114000,70000,98000,95000,95000
3404,r006,Both sexes -> All occupations -> 50&#8211;75,Both sexes,All occupations,50&#8211;75,,,,,3,98000,93000,108000,110000,75000,106000,100000,81000
3404,r007,Both sexes -> All occupations -> S&E occupations<sup>b</sup>,Both sexes,All occupations,S&E occupations<sup>b</sup>,,,,,3,95000,80000,S,104000,84000,80000,95000,90000
3404,r008,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,,4,67000,55000,S,78000,64000,S,65000,70000
3404,r009,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,,4,90000,80000,S,100000,73000,122000,90000,99000
3404,r010,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,,4,105000,95000,S,120000,84000,113000,105000,91000
3404,r011,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,Both sexes,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,,4,110000,103000,S,119000,100000,S,110000,120000
3404,r012,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,,4,92000,72000,S,105000,82000,63000,91000,86000
3404,r013,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,,5,62000,47000,S,80000,63000,S,60000,68000
