table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_total,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1766,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
1766,r002,Cumulative debt -> Mean,Cumulative debt,Mean,,2,"['$22,254', '']","['$20,625', '']","['$12,364', '']","['$9,624', '']","['$34,961', '']","['$10,068', '']","['$41,217', '']","['$29,190', '']","['$30,749', '']"
1766,r003,Cumulative debt -> ,Cumulative debt,,,2,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
1766,r004,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['28,747', '57.1']","['6,668', '56.2']","['3,896', '66.0']","['2,764', '74.8']","['3,575', '44.8']","['6,673', '71.4']","['1,753', '39.9']","['2,104', '45.4']","['1,314', '51.5']"
1766,r005,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['4,222', '8.4']","['1,030', '8.7']","['508', '8.6']","['245', '6.6']","['623', '7.8']","['822', '8.8']","['342', '7.8']","['467', '10.1']","['185', '7.3']"
1766,r006,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['3,095', '6.1']","['822', '6.9']","['384', '6.5']","['177', '4.8']","['518', '6.5']","['472', '5.0']","['243', '5.5']","['362', '7.8']","['117', '4.6']"
1766,r007,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['2,473', '4.9']","['712', '6.0']","['300', '5.1']","['124', '3.4']","['395', '5.0']","['356', '3.8']","['200', '4.6']","['261', '5.6']","['125', '4.9']"
1766,r008,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['1,780', '3.5']","['444', '3.7']","['222', '3.8']","['82', '2.2']","['292', '3.7']","['243', '2.6']","['199', '4.5']","['215', '4.6']","['83', '3.3']"
1766,r009,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['1,393', '2.8']","['366', '3.1']","['141', '2.4']","['51', '1.4']","['275', '3.4']","['165', '1.8']","['162', '3.7']","['147', '3.2']","['86', '3.4']"
1766,r010,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['1,009', '2.0']","['233', '2.0']","['77', '1.3']","['48', '1.3']","['210', '2.6']","['106', '1.1']","['127', '2.9']","['140', '3.0']","['68', '2.7']"
1766,r011,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['972', '1.9']","['235', '2.0']","['71', '1.2']","['43', '1.2']","['192', '2.4']","['85', '0.9']","['152', '3.5']","['125', '2.7']","['69', '2.7']"
1766,r012,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,2,"['818', '1.6']","['199', '1.7']","['55', '0.9']","['25', '0.7']","['193', '2.4']","['66', '0.7']","['124', '2.8']","['107', '2.3']","['49', '1.9']"
1766,r013,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,2,"['966', '1.9']","['227', '1.9']","['56', '0.9']","['30', '0.8']","['231', '2.9']","['79', '0.8']","['169', '3.9']","['99', '2.1']","['75', '2.9']"
