table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2022_actuala,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10426,r001,R&D and R&D plant,R&D and R&D plant,,,1,186765,202043,209854,8.2,3.9
10426,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,85299,99395,102280,16.5,2.9
10426,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,45244,47994,49503,6.1,3.1
10426,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,16390,15880,17710,-3.1,11.5
10426,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,14553,15240,16314,4.7,7.0
10426,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,7114,8443,8764,18.7,3.8
10426,r007,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,6090,3460,3132,-43.2,-9.5
10426,r008,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,3155,3322,3626,5.3,9.2
10426,r009,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,3295,3207,3216,-2.7,0.3
10426,r010,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,2314,1986,2178,-14.2,9.7
10426,r011,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1588,1622,1644,2.1,1.4
10426,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,719,687,690,-4.5,0.4
10426,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,714,521,521,-27.0,0.0
10426,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,173,168,168,-2.9,0.0
10426,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,90,90,100,0.0,11.1
10426,r016,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,20,20,0,0.0,-100.0
10426,r017,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,8,8,8,0.0,0.0
10426,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,180196,195135,203180,8.3,4.1
10426,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,83857,97765,100400,16.6,2.7
10426,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,44943,47572,49111,5.8,3.2
10426,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,13246,13819,15449,4.3,11.8
10426,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,14453,15132,16274,4.7,7.5
