table_id,row_id,_b_survey_population_and_highest_degree_granted_b_full_path,_b_survey_population_and_highest_degree_granted_b_level_1,_b_survey_population_and_highest_degree_granted_b_level_2,_b_survey_population_and_highest_degree_granted_b_level_3,_b_survey_population_and_highest_degree_granted_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
5374,r001,All universities and colleges,All universities and colleges,,,1,86435054,127459,0.1
5374,r002,All universities and colleges -> Standard form institutions,All universities and colleges,Standard form institutions,,2,86296178,120807,0.1
5374,r003,All universities and colleges -> Standard form institutions -> Doctorate-granting institutions,All universities and colleges,Standard form institutions,Doctorate-granting institutions,3,85607541,94916,0.1
5374,r004,All universities and colleges -> Standard form institutions -> Nondoctorate-granting institutions,All universities and colleges,Standard form institutions,Nondoctorate-granting institutions,3,688637,25891,3.8
5374,r005,All universities and colleges -> Short form institutions,All universities and colleges,Short form institutions,,2,138876,6652,4.8
5374,r006,All universities and colleges -> Short form institutions -> Doctorate-granting institutions,All universities and colleges,Short form institutions,Doctorate-granting institutions,3,44698,1285,2.9
5374,r007,All universities and colleges -> Short form institutions -> Nondoctorate-granting institutions,All universities and colleges,Short form institutions,Nondoctorate-granting institutions,3,94178,5367,5.7
