table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12572,r001,R&D and R&D plant,R&D and R&D plant,,,,1,10920,11033,10921,1.0,-1.0
12572,r002,R&D and R&D plant -> National Aeronautics and Space Administration,R&D and R&D plant,National Aeronautics and Space Administration,,,2,10920,11033,10921,1.0,-1.0
12572,r003,"R&D and R&D plant -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,National Aeronautics and Space Administration,"Safety, security, and mission services",,3,0,215,216,-,0.5
12572,r004,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep space exploration systems<sup>b</sup>,R&D and R&D plant,National Aeronautics and Space Administration,Deep space exploration systems<sup>b</sup>,,3,1825,1859,1983,1.9,6.7
12572,r005,R&D and R&D plant -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,National Aeronautics and Space Administration,Science,,3,7492,7492,7263,0.0,-3.1
12572,r006,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations<sup>c</sup>,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations<sup>c</sup>,,3,374,266,261,-28.9,-1.9
12572,r007,R&D and R&D plant -> National Aeronautics and Space Administration -> Space technology<sup>d</sup>,R&D and R&D plant,National Aeronautics and Space Administration,Space technology<sup>d</sup>,,3,1150,1168,1146,1.6,-1.9
12572,r008,"R&D and R&D plant -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",,3,79,33,52,-58.2,57.6
12572,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,10841,11000,10869,1.5,-1.2
12572,r010,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,National Aeronautics and Space Administration,,3,10841,11000,10869,1.5,-1.2
12572,r011,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Safety, security, and mission services",4,0,215,216,-,0.5
12572,r012,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep space exploration systems<sup>b</sup>,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep space exploration systems<sup>b</sup>,4,1825,1859,1983,1.9,6.7
12572,r013,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,4,7492,7492,7263,0.0,-3.1
12572,r014,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations<sup>c</sup>,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations<sup>c</sup>,4,374,266,261,-28.9,-1.9
12572,r015,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Space technology<sup>d</sup>,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Space technology<sup>d</sup>,4,1150,1168,1146,1.6,-1.9
12572,r016,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",4,0,0,0,-,-
