table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2020_actuala,field_2021_preliminarya,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5534,r001,All functions conducting R&D,All functions conducting R&D,,1,44331,42520,47399,-4.1,11.5
5534,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,2686,2819,2483,5.0,-11.9
5534,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,21826,21872,24022,0.2,9.8
5534,r004,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,6655,4515,5620,-32.2,24.5
5534,r005,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,10782,10835,12298,0.5,13.5
5534,r006,All functions conducting R&D -> Energy,All functions conducting R&D,Energy,2,51,16,17,-67.6,1.7
5534,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,117,118,209,1.2,76.2
5534,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,1028,1092,1380,6.2,26.4
5534,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,16,16,16,0.0,0.0
5534,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,523,555,584,6.1,5.2
5534,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,241,250,320,3.7,28.0
5534,r012,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,348,366,368,5.2,0.5
5534,r013,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,57,63,80,10.5,27.0
5534,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0,0,0,-,-
5534,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0,0,0,-,-
5534,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,2,2,3,0.0,50.0
5534,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0,0,0,-,-
