table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_core_production,field_distribution_and_logistics,field_marketing_sales_after_sales_services,field_administrative_or_management_functions,field_research_and_development,field_engineering_and_other_technical_services,field_information_and_communication_technology_services,field_all_other_operating_activities
9033,r001,All companies,All companies,,,1,"['4,865,616', '&nbsp;']","['12.6', '&nbsp;']","['11.6', '&nbsp;']","['15.8', '&nbsp;']","['12.4', '&nbsp;']","['3.3', '&nbsp;']","['5.2', '&nbsp;']","['10.8', '&nbsp;']","['7.4', '&nbsp;']"
9033,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9033,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,735,868', '&nbsp;']","['10.7', '&nbsp;']","['9.0', '&nbsp;']","['12.8', '&nbsp;']","['11.4', '&nbsp;']","['2.7', '&nbsp;']","['3.8', '&nbsp;']","['7.4', '&nbsp;']","['6.4', '&nbsp;']"
9033,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['937,171', '&nbsp;']","['14.0', '&nbsp;']","['12.1', '&nbsp;']","['17.2', '&nbsp;']","['12.8', '&nbsp;']","['2.9', '&nbsp;']","['5.1', '&nbsp;']","['11.3', '&nbsp;']","['7.5', '&nbsp;']"
9033,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9033,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['587,934', '&nbsp;']","['15.1', '&nbsp;']","['14.6', '&nbsp;']","['19.4', '&nbsp;']","['13.7', '&nbsp;']","['3.8', '&nbsp;']","['6.5', '&nbsp;']","['14.7', '&nbsp;']","['8.8', '&nbsp;']"
9033,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['393,667', '&nbsp;']","['16.5', '&nbsp;']","['18.3', '&nbsp;']","['22.8', '&nbsp;']","['15.1', '&nbsp;']","['4.7', '&nbsp;']","['8.2', '&nbsp;']","['19.4', '&nbsp;']","['9.6', '&nbsp;']"
9033,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9033,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['113,856', '&nbsp;']","['17.8', '&nbsp;']","['23.2', '&nbsp;']","['25.6', '&nbsp;']","['15.4', '&nbsp;']","['7.1', '&nbsp;']","['12.2', '&nbsp;']","['24.3', '&nbsp;']","['12.4', '&nbsp;']"
9033,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,375', '&nbsp;']","['17.3', '&nbsp;']","['22.3', '&nbsp;']","['25.0', '&nbsp;']","['13.9', '&nbsp;']","['6.6', '&nbsp;']","['12.4', '&nbsp;']","['26.4', '&nbsp;']","['12.3', '&nbsp;']"
9033,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9033,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['17,147', '&nbsp;']","['19.6', '&nbsp;']","['26.8', '&nbsp;']","['28.0', '&nbsp;']","['17.5', '&nbsp;']","['10.1', '&nbsp;']","['17.8', '&nbsp;']","['32.1', '&nbsp;']","['16.1', '&nbsp;']"
9033,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,487', '&nbsp;']","['20.0', '&nbsp;']","['25.9', '&nbsp;']","['24.8', '&nbsp;']","['14.0', '&nbsp;']","['10.3', '&nbsp;']","['16.7', '&nbsp;']","['26.0', '&nbsp;']","['16.8', '&nbsp;']"
9033,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,271', '&nbsp;']","['20.6', '&nbsp;']","['28.9', '&nbsp;']","['27.1', '&nbsp;']","['18.7', '&nbsp;']","['11.5', 'r']","['17.5', '&nbsp;']","['31.3', '&nbsp;']","['21.0', '&nbsp;']"
9033,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['980', '&nbsp;']","['19.6', '&nbsp;']","['28.6', '&nbsp;']","['27.7', '&nbsp;']","['19.6', '&nbsp;']","['13.7', '&nbsp;']","['21.9', '&nbsp;']","['32.0', '&nbsp;']","['20.8', '&nbsp;']"
